,Title,MolecularFormula,CanonicalSMILES,InChIKey,Database IDs,Formula Score,Structure Score,Consensus Score
55,SCHEMBL12683715,C10H18O3,CC(C)(O)C1=CC(O)C(C)(O)CC1,CYSRURFSGZEJNU-UHFFFAOYSA-N,PMHub:MS000135155,0.9999999999998473,0.5547246133503841,0.688307229345223
56,Clesidren,C10H18O3,CC1(C)OC2(C)C(O)CC1CC2O,JSNQSLSBBZFGBM-UHFFFAOYSA-N,BloodExp:CID1116159;;BloodExp:CID115056;;FDB021306;;HMDB0041376;;C17620;;PMHub:MS000025948,0.9999999999998473,0.5540983680683699,0.6878688576478131
57,"(3alpha,4beta,6alpha)-p-menth-1-ene-3,6,10-triol",C10H18O3,CC(C)C1CC(O)C(CO)=CC1O,DWVYXCKGILDZSL-UHFFFAOYSA-N,PMHub:MS000140541,0.9999999999998473,0.5533579408708659,0.6873505586095603
58,4-hydroxy-6-pentyloxan-2-one,C10H18O3,CCCCCC1CC(O)CC(=O)O1,WPOYJLMQCBFDQM-UHFFFAOYSA-N,PMHub:MS000132509,0.9999999999998473,0.5517413071896332,0.6862189150326974
59,"trans-p-Menth-2-ene-1??,7,8-triol",C10H18O3,CC(C)(O)C1C=CC(O)(CO)CC1,QDURJIJAJVINHQ-UHFFFAOYSA-N,PMHub:MS000061046,0.9999999999998473,0.5504822646852974,0.6853375852796624
60,olibanumol A,C10H18O3,CC(C)[C@@H]1C[C@@H](O)[C@@](C)(O)[C@H]2O[C@@H]12,FRXVTMDPVUFGKF-CVPUBMOQSA-N,NANPDB:785;;TCMSP:MOL001286,0.9999999999998473,0.5474345169810801,0.6832041618867103
61,"6-Methyl-2-methylene-6-octene-1,3,8-triol",C10H18O3,C=C(CO)C(O)CC/C(C)=C\CO,KSMRZTSAPKWVGY-YVMONPNESA-N,FDB018096;;HMDB0038692,0.9999999999998473,0.5467854440252182,0.6827498108176069
62,(5R)-Dihydro-5-pentyl-4'-methyl-4'-hydroxy-2(3H)-furanone,C10H18O3,CC(C)(O)CCC[C@@H]1CCC(=O)O1,FVRTVJNJLFCPHF-MRVPVSSYSA-N,NPA011999,0.9999999999998473,0.5461160891894059,0.6822812624325383
63,schizonepetoside E_qt,C10H18O3,C[C@H]1CC[C@H]([C@](C)(O)CO)C(=O)C1,IMVDHXIRBNNVFO-OYNCUSHFSA-N,TCMSP:MOL011868,0.9999999999998473,0.5437058015975368,0.68059406111823
64,"(Z)-3-Hydroxymethyl-7-methyl-2,7-octadiene-1,6-diol|(Z)-6-hydroxymethyl-2-methylocta-1,6-diene-3,8-diol",C10H18O3,C=C(C)C(O)CCC(=CCO)CO,RDOGOMPUCIUOGB-UHFFFAOYSA-N,PMHub:MS000187548,0.9999999999998473,0.5407831817234384,0.678548227206361
65,Rhodiolol A,C10H18O3,CC(=CCC(O)C(C)=CCO)CO,RJRARMGNKNPLOJ-UHFFFAOYSA-N,PMHub:MS000248194,0.9999999999998473,0.5407295896926926,0.678510712784839
66,"(1S,4S,8S)-8,9-Dihydroxytetrahydrocarvone",C10H18O3,CC1CCC(C(C)(O)CO)CC1=O,JICIVEUAPHTTNP-UHFFFAOYSA-N,PMHub:MS000050222,0.9999999999998473,0.5401941555936125,0.6781359089154829
67,"(3S,5R,6E,8E)-Deca-6,8-dien-1,3,5-triol",C10H18O3,C/C=C/C=C/[C@H](O)C[C@@H](O)CCO,RDEMBVWNDISGTG-WIGPCGMCSA-N,NPA014103,0.9999999999998473,0.5367707111782216,0.6757394978247093
68,"1,7,8-trihydroxy-octa-2E,6E-diene",C10H18O3,C/C(=C\CO)C/C=C/C(C)(O)CO,IRUIGQKPFNFHOD-DBKVWBBNSA-N,NANPDB:3408,0.9999999999998473,0.5270471202249559,0.6689329841574233
69,CC(CCC(C(CO)=C)O)(C=C)O,C10H18O3,C=CC(C)(O)CCC(O)C(=C)CO,FNIGDKAVQMRSAK-UHFFFAOYSA-N,PMHub:MS000201084,0.9999999999998473,0.5223224415588776,0.6656257090911686
70,linalool 6-hydroperoxide,C10H18O3,C=CC(C)(O)C/C=C(\OO)C(C)C,UVKPTCRFZNDVBI-TWGQIWQCSA-N,CHEBI:134524,0.9999999999998473,0.5211447803930325,0.6648013462750769
71,linalool 7-hydroperoxide,C10H18O3,C=CC(C)(O)C/C=C/C(C)(C)OO,KPPNFQDHKXOGMD-VOTSOKGWSA-N,CHEBI:134525,0.9999999999998473,0.516485501507067,0.6615398510549011
72,"6-Hexyl-1,4-dioxan-2-one",C10H18O3,CCCCCCC1COCC(=O)O1,DDMSZJBFTYIFQQ-UHFFFAOYSA-N,FDB019207;;HMDB0039582,0.9999999999998473,0.5141974457210368,0.65993821200468
73,"5-Hexyl-1,4-dioxan-2-one",C10H18O3,CCCCCCC1COC(=O)CO1,KBOAQIXMCPQXIP-UHFFFAOYSA-N,FDB019212;;HMDB0039587,0.9999999999998473,0.5106029224125481,0.6574220456887379
74,"7-hydroperoxy-5,6-E-dehydro-6,7-dihydronerol",C10H18O3,CC(=CCO)CC=CC(C)(C)OO,UYFVWWJTLUHGLJ-UHFFFAOYSA-N,PMHub:MS000099097,0.9999999999998473,0.5072532564741259,0.6550772795318422
75,"rel-(1R,4alphaS,6S,7R,7alphaS)-octahydro-1-methoxy-7-methylcyclopenta[c]pyran-6-ol|scholarein D",C10H18O3,COC1OCCC2CC(O)C(C)C21,PNSYSPPIOSIJCG-UHFFFAOYSA-N,PMHub:MS000197907,0.9999999999998473,0.5065871832680922,0.6546110282876187
76,,C10H18O3,CC=CCCC1(O)CC(O)CCO1,PGFGQZTWEGYCRM-UHFFFAOYSA-N,PMHub:MS000184605,0.9999999999998473,0.5012599717572831,0.6508819802300523
77,"4-Hydroperoxi-4,5-dihydro-chrysanthem-5-en-ol",C10H18O3,C=C(C)C(OO)C1C(CO)C1(C)C,ZAOUYGMYGIKUPN-UHFFFAOYSA-N,PMHub:MS000225996,0.9999999999998473,0.49472980815630224,0.6463108657093657
78,SCHEMBL12683691,C10H18O3,CC1(O)C=CC(O)(C(C)(C)O)CC1,VSZLGEHZLXBMON-UHFFFAOYSA-N,PMHub:MS000087216,0.9999999999998473,0.4718370799875313,0.6302859559912262
79,"3,7-dimethyl-1,6-octadiene-3,4,5-triol",C10H18O3,C=CC(C)(O)C(O)C(O)C=C(C)C,UBKAPFPNNLGJBH-UHFFFAOYSA-N,NPA012140;;PMHub:MS000122437,0.9999999999998473,0.462409817986689,0.6236868725906365
80,4-alpha-form-4-Peroxyachipendole|4alpha-Peroxyachipendol,C10H18O3,C=CC(C(OO)C(=C)C)C(C)(C)O,UDPIGLZSLDOMRW-UHFFFAOYSA-N,PMHub:MS000104332,0.9999999999998473,0.4447443332820469,0.611321033297387
81,"2,2'-[Oxybis(methylene)]bis(oxolane)",C10H18O3,C1COC(COCC2CCCO2)C1,VBCKYDVWOPZOBA-UHFFFAOYSA-N,BloodExp:CID21997131,0.9999999999998473,0.40681618828448235,0.5847713317990918
