confidenceRank	structurePerIdRank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id	featureId
11	1	1	1	1	0.959699404447887	-187.43627127604637	N/A	9.557021034496966	C9H10NO4	[M]-	CNIUEVQJABPUIJ	InChI=1S/C9H11NO4/c11-7-3-1-6(2-4-7)5-8(10-14)9(12)13/h1-4,8,10-11,14H,5H2,(H,12,13)/p-1	null	O=C([O-])[C@H](Cc1ccc(O)cc1)NO	0.6361871998804014	""	""	0	195.053157768	NaN	403_challenge_460_	N/A
12	1	1	1	1	0.9570573335022273	-3.346174988147166	N/A	106.08311358648795	C14H29NO	[M + H]+	QEALYLRSRQDCRA	InChI=1S/C14H29NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-13H2,1H3,(H2,15,16)	Myristamide	CCCCCCCCCCCCCC(=O)N	4.77852583	69492	SuperNatural:(SN00362595);PubMed;NORMAN:(NS00020015);COCONUT:(CNP0178369);Natural Products:(UNPD122086);database;PubChem:(69492);YMDB Mine;CHEBI:(137125);PubChem class - bio and metabolites;EcoCyc Mine;PubChem class - safety and toxic;Biocyc:(CPD6666-2);KEGG Mine	128936347746	228.232190548	NaN	61_challenge_152_	N/A
13	1	1	1	1	0.9418255119719855	-54.58036755546814	N/A	38.53634872422691	C21H26O6	[M - H]-	LFMVGCLSSWANEO	InChI=1S/C21H26O6/c1-12(5-4-6-13(2)8-10-17(22)23)7-9-15-19(24)14(3)16-11-27-21(26)18(16)20(15)25/h6-7,24-25H,4-5,8-11H2,1-3H3,(H,22,23)	null	C/C(=C\Cc1c(O)c(C)c2c(c1O)C(=O)OC2)CC/C=C(\C)CCC(=O)O	4.250281853320087	""	""	0	373.1656625519999	NaN	111_challenge_198_	N/A
14	1	1	1	1	0.9253663289756437	-57.91052272213096	N/A	46.01517316096776	C15H28N2O4	[M + Cl]-	XTEZFKMYWPYZSV	InChI=1S/C15H28N2O4/c1-2-3-4-5-6-7-8-9-10-14(19)17-12(15(20)21)11-13(16)18/h12H,2-11H2,1H3,(H2,16,18)(H,17,19)(H,20,21)	null	CCCCCCCCCCC(=O)NC(CC(N)=O)C(=O)O	2.3215603202958675	""	""	0	335.174309376	NaN	62_challenge_153_	N/A
15	1	1	1	1	0.9250074666402918	-17.403023709946513	N/A	32.828086698957115	C16H13ClN2O2	[M + H]+	SEQDDYPDSLOBDC	InChI=1S/C16H13ClN2O2/c1-19-13-8-7-11(17)9-12(13)14(18-15(20)16(19)21)10-5-3-2-4-6-10/h2-9,15,20H,1H3	Crisonar	CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3	3.16160583	5391;12325868;12325869;46782987;76973559;76973560;76974616;118245180;118937465;137699845;138402766	HMDB:(14376);ZINC bio:(ZINC00000740 ZINC00896634);additional;MeSH:(5391);PubMed;NORMAN:(NS00010416);COCONUT:(CNP0347753);database;PubChem:(5391 12325868 12325869 46782987 76973559 76973560 76974616 118245180 118937465 137699845 138402766);CHEBI:(9435);PubChem class - bio and metabolites;KEGG:(C07125);PubChem class - safety and toxic;PubChem class - drug	68839809390	301.073831336	NaN	326_challenge_391_	N/A
16	1	1	1	1	0.9063921996286037	-13.277830394827127	N/A	17.21055475018891	C7H6N2S	[M + H]+	YHMYGUUIMTVXNW	InChI=1S/C7H6N2S/c10-7-8-5-3-1-2-4-6(5)9-7/h1-4H,(H2,8,9,10)	Antigen MB	C1=CC=C2C(=C1)NC(=S)N2	1.79917991	707035;23169285;45039702;91168545;101417634;101417635;138396219	NORMAN:(NS00007923);database;PubChem:(707035 23169285 45039702 91168545 101417634 101417635 138396219);SuperNatural:(SN00132462);ZINC bio:(ZINC12341568);additional;MeSH:(707035);PubChem class - safety and toxic;PubMed	68788428870	151.03244519199998	NaN	268_challenge_339_	N/A
17	1	1	1	1	0.8945827580818295	-49.322115363980124	N/A	17.910950469988634	C11H13NO4	[M + H]+	DMJYNLHZLIZUQE	InChI=1S/C11H13NO4/c1-5-7-4-10(14)9(13)3-6(7)2-8(12-5)11(15)16/h3-5,8,12-14H,2H2,1H3,(H,15,16)	Carboxysalsolinol	CC1C2=CC(=C(C=C2CC(N1)C(=O)O)O)O	-1.60000002	162692;12146808;90645671;92150033;92150034;92256312;102399986	COCONUT:(CNP0298841);KNApSAcK:(50433);Natural Products:(UNPD54662 UNPD62378);database;PubChem:(162692 12146808 90645671 92150033 92150034 92256312 102399986);SuperNatural:(SN00316651);ZINC bio:(ZINC01601687 ZINC01601689 ZINC01601690 ZINC05158941);additional;MeSH:(162692);Training Set;PubMed	68723204182	224.091733896	NaN	415_challenge_471_	N/A
18	1	1	1	1	0.8906363227691662	-12.00224396370498	N/A	52.773185216399156	C16H12O5	[M + H]+	HUKSJTUUSUGIDC	InChI=1S/C16H12O5/c17-8-1-2-9-12(3-8)18-6-11-10-4-14-15(20-7-19-14)5-13(10)21-16(9)11/h1-5,11,16-17H,6-7H2	Inermine	C1C2C(C3=C(O1)C=C(C=C3)O)OC4=CC5=C(C=C24)OCO5	2.5	91510;161298;363863;36689162;36689163;138107352	HMDB:(36629);SuperNatural:(SN00001855 SN00002377 SN00002378 SN00002379);ZINC bio:(ZINC00899884 ZINC01620280 ZINC01620281 ZINC01620282);additional;MeSH:(91510 161298 363863);Plantcyc:(CPD-3631 CPD-4462);PubMed;NORMAN:(NS00015825);COCONUT:(CNP0366241);KNApSAcK:(2546);Natural Products:(UNPD220821 UNPD23867 UNPD67605);database;PubChem:(91510 161298 363863 36689162 36689163 138107352);CHEBI:(99 73030 73029);PubChem class - bio and metabolites;KEGG:(C10502 C16229);Training Set;Biocyc:(CPD-4462 CPD-3631)	68740376958	285.07574948399997	NaN	423_challenge_479_	N/A
19	1	1	1	1	0.8834448367598905	-93.63028925715628	N/A	115.39868030777193	C32H44O10	[M + H]+	VMLMEZINUVEFME	InChI=1S/C32H44O10/c1-16-26(35)27(36)28(37)29(40-16)42-20-9-11-30(3)19(13-20)6-7-22-21(30)10-12-31(4)25(18-5-8-24(34)39-15-18)23(41-17(2)33)14-32(22,31)38/h5,8,13,15-16,20-23,25-29,35-38H,6-7,9-12,14H2,1-4H3	null	CC1C(C(C(C(O1)OC2CCC3(C4CCC5(C(C(CC5(C4CCC3=C2)O)OC(=O)C)C6=COC(=O)C=C6)C)C)O)O)O	1.5	101426253;101985988	COCONUT:(CNP0258860);Natural Products:(UNPD107426);database;PubChem:(101426253 101985988);SuperNatural:(SN00394865)	68722655234	589.3007236079999	NaN	161_challenge_242_	N/A
20	1	1	1	1	0.857469007144841	-8.162632260850492	N/A	5.971515595896705	C24H30O8	[M - H]-	FJAZVHYPASAQKM	InChI=1S/C24H30O8/c1-24-9-8-14-13-5-3-12(10-11(13)2-4-15(14)16(24)6-7-17(24)25)31-23-20(28)18(26)19(27)21(32-23)22(29)30/h3,5,10,14-16,18-21,23,26-28H,2,4,6-9H2,1H3,(H,29,30)	Estrone glucuronide	CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OC5C(C(C(C(O5)C(=O)O)O)O)O	2.22491431	115255;3616752;3616753;13783434;13783435;18602704;40473222;67518397;71316492;102255419;131705451;133688318;134081560;138114514;138402691	HMDB:(4483);SuperNatural:(SN00007006);ZINC bio:(ZINC04099004 ZINC13538750);additional;MeSH:(115255);PubMed;NORMAN:(NS00014415);COCONUT:(CNP0177844 CNP0297667);database;PubChem:(115255 3616752 3616753 13783434 13783435 18602704 40473222 67518397 71316492 102255419 131705451 133688318 134081560 138114514 138402691);CHEBI:(136634 28919);PubChem class - bio and metabolites;KEGG:(C11133);Training Set	68740211054	445.1867919199999	NaN	206_challenge_283_	N/A
21	1	1	1	1	0.8553367300294559	-158.93331522510394	N/A	149.08268232423998	C24H30O3	[M + H]+	METQSPRSQINEEU	InChI=1S/C24H30O3/c1-22-6-3-12(25)9-17(22)13-10-14(13)20-16(22)4-7-23(2)21(20)15-11-18(15)24(23)8-5-19(26)27-24/h9,13-16,18,20-21H,3-8,10-11H2,1-2H3	Drospirenona	CC12CCC(=O)C=C1C3CC3C4C2CCC5(C4C6CC6C57CCC(=O)O7)C	3.5	68873;9951073;10067489;12803450;12803452;12803453;12803454;10338923;15986040;16656995;16657043;16760220;25218068;25263909;29927451;42617631;42617632;44512167;46781435;51021104;54670068;54670639;60024596;60024597;57552469;59689404;59779299;58092668;58308523;58308544;66607599;71587332;73265396;72698141;72698144;71105907;71105908;71120019;71120029;70821416;70822267;70822345;70887290;70887320;76973090;76973450;76974672;89703641;89475576;99565284;100943568;102552705;118849716;117956889;122541268;122130574;122172981;124604723;124637722;124290216;124290217;124290218;124290219;129010035;129317878;129361396;129366902;133112917;133269685;131698771;131705373;133688220;133688221;134832489;138106942;137795433	HMDB:(15467);SuperNatural:(SN00350195);ZINC bio:(ZINC03927200);additional;HSDB:(67392-87-4);MeSH:(68873);PubMed;NORMAN:(NS00002775);COCONUT:(CNP0278884);Natural Products:(UNPD149352);database;PubChem:(68873 9951073 10067489 12803450 12803452 12803453 12803454 10338923 15986040 16656995 16657043 16760220 25218068 25263909 29927451 42617631 42617632 44512167 46781435 51021104 54670068 54670639 60024596 60024597 57552469 59689404 59779299 58092668 58308523 58308544 66607599 71587332 73265396 72698141 72698144 71105907 71105908 71120019 71120029 70821416 70822267 70822345 70887290 70887320 76973090 76973450 76974672 89703641 89475576 99565284 100943568 102552705 118849716 117956889 122541268 122130574 122172981 124604723 124637722 124290216 124290217 124290218 124290219 129010035 129317878 129361396 129366902 133112917 133269685 131698771 131705373 133688220 133688221 134832489 138106942 137795433);CHEBI:(50838);PubChem class - bio and metabolites;PubChem class - safety and toxic;PubChem class - drug	68840890990	367.22677081999996	NaN	352_challenge_414_	N/A
22	1	1	1	1	0.8365019358827291	-18.02330231280813	N/A	15.158169608720863	C15H12N2O2	[M - H]-	CTRLABGOLIVAIY	InChI=1S/C15H12N2O2/c16-15(19)17-12-7-3-1-5-10(12)9-14(18)11-6-2-4-8-13(11)17/h1-8H,9H2,(H2,16,19)	Barzepin	C1C2=CC=CC=C2N(C3=CC=CC=C3C1=O)C(=O)N	1.70000005	34312;25207763;25235615;25235653;25235654;25235656;25235658;25235698;49849601	HMDB:(14914);SuperNatural:(SN00000223);ZINC bio:(ZINC00004724);additional;HSDB:(28721-07-5);MeSH:(34312);PubMed;NORMAN:(NS00010016);COCONUT:(CNP0275100);database;PubChem:(34312 25207763 25235615 25235653 25235654 25235656 25235658 25235698 49849601);CHEBI:(7824);PubChem class - bio and metabolites;KEGG:(C07492);PubChem class - safety and toxic;Training Set;PubChem class - drug	68840874862	251.082601624	NaN	194_challenge_272_	N/A
23	1	1	1	1	0.8314451258461799	-123.12353269643003	N/A	187.14643120810763	C36H42O8	[M + H3N + H]+	ULYZLNNPRNDNFD	InChI=1S/C36H42O8/c1-22-17-18-35(5,6)30(38)20-29(43-33(39)26-13-9-7-10-14-26)23(2)19-28-31(44-34(40)27-15-11-8-12-16-27)24(3)21-36(28,41)32(22)42-25(4)37/h7-19,22,24,28-29,31-32,41H,20-21H2,1-6H3	null	CC(=O)OC1C(C)/C=C/C(C)(C)C(=O)C[C@@H](OC(=O)c2ccccc2)/C(C)=C\C2[C@@H](OC(=O)c3ccccc3)[C@H](C)C[C@]12O	6.078485165444466	""	""	0	620.3217983039999	NaN	30_challenge_124_	N/A
24	1	1	1	1	0.830506329242572	-25.576426376931607	N/A	28.22241636721636	C9H9NO	[M + H]+	APEJMQOBVMLION	InChI=1S/C9H9NO/c10-9(11)7-6-8-4-2-1-3-5-8/h1-7H,(H2,10,11)	Cinnamic amide	C1=CC=C(C=C1)C=CC(=O)N	1.33730483	12135;5273472;15554919;102327281;138396103	ZINC bio:(ZINC01665286 ZINC13533964);additional;MeSH:(5273472);PubMed;NORMAN:(NS00014396);COCONUT:(CNP0277735);Natural Products:(UNPD226399 UNPD195599);database;PubChem:(12135 5273472 15554919 102327281 138396103);YMDB Mine;CHEBI:(76320 23246 76321);PubChem class - bio and metabolites;EcoCyc Mine;PubChem class - safety and toxic;KEGG Mine	128935829606	148.075689908	NaN	283_challenge_352_	N/A
25	1	1	1	1	0.8137912007392466	-9.6786570811302	N/A	26.912384776745707	C12H10OS	[M + H]+	JJHHIJFTHRNPIK	InChI=1S/C12H10OS/c13-14(11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10H	Phenyl sulfoxide	C1=CC=C(C=C1)S(=O)C2=CC=CC=C2	2.77714682	13679;12219884;71309032;101840944	NORMAN:(NS00014383);COCONUT;database;PubChem:(13679 12219884 71309032 101840944);ZINC bio:(ZINC00013563);additional;MeSH:(13679);PubChem class - safety and toxic;PubMed;Biocyc:(CPD0-2089)	68789479494	203.05251194	NaN	309_challenge_376_	N/A
26	1	1	1	1	0.8125998960468381	-44.33773509337852	N/A	43.81546094777727	C16H33NO3	[M + H]+	AOMUHOFOVNGZAN	InChI=1S/C16H33NO3/c1-2-3-4-5-6-7-8-9-10-11-16(20)17(12-14-18)13-15-19/h18-19H,2-15H2,1H3	Lalmin D	CCCCCCCCCCCC(=O)N(CCO)CCO	3.5	8430;138396113	HMDB:(32358);PubChem class - food;Maconda:(CON00046);additional;HSDB:(120-40-1);MeSH:(8430);PubMed;NORMAN:(NS00010591);COCONUT:(CNP0388189);database;PubChem:(8430 138396113);CHEBI:(143726);PubChem class - bio and metabolites;PubChem class - safety and toxic;PubChem class - drug	68974020206	288.253319916	NaN	386_challenge_445_	N/A
27	1	1	1	1	0.8104285654651426	-82.86888247115726	N/A	42.13201888354513	C12H9N3O	[M + H]+	PZRHRDRVRGEVNW	InChI=1S/C12H9N3O/c1-8-11(9-2-4-14-5-3-9)6-10(7-13)12(16)15-8/h2-6H,1H3,(H,15,16)	Corotrop	CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2	0.996524036	4197;102044774;102044775	HMDB:(14380);ZINC bio:(ZINC09224016);additional;MeSH:(4197);PubMed;NORMAN:(NS00007740);COCONUT:(CNP0158781);database;PubChem:(4197 102044774 102044775);CHEBI:(50693);PubChem class - bio and metabolites;KEGG:(C07224);PubChem class - safety and toxic;Training Set;PubChem class - drug	68839825774	212.08183790799998	NaN	49_challenge_141_	N/A
28	1	1	1	1	0.7966430664436395	-9.688850031698454	N/A	26.959366451994224	C4H10N2O	[M + H]+	LZMATGARSSLFMQ	InChI=1S/C4H10N2O/c1-3(2)6-4(5)7/h3H,1-2H3,(H3,5,6,7)	Isopropyl-urea	CC(C)NC(=O)N	-0.200000003	12725	NORMAN:(NS00036809);COCONUT:(CNP0331187);Natural Products:(UNPD95988);database;PubChem:(12725);SuperNatural:(SN00290667);ZINC bio:(ZINC01652952);PubChem class - safety and toxic;Training Set;PubMed	68790050882	103.08658894	NaN	115_challenge_200_	N/A
29	1	1	1	1	0.7868902330646019	-61.74316999953234	N/A	1.471801374077926	C13H16N2S	[M + H]+	UPWPIFMHSFSVLE	InChI=1S/C13H16N2S/c1-2-6-10(7-3-1)14-13-15-11-8-4-5-9-12(11)16-13/h4-5,8-10H,1-3,6-7H2,(H,14,15)	benzothiazolyl-cyclohexyl-amine	C1CCC(CC1)NC2=NC3=CC=CC=C3S2	4.13366795	591790;138396128	NORMAN:(NS00014432);database;PubChem:(591790 138396128);additional	68720263170	233.11069551199998	NaN	311_challenge_378_	N/A
30	1	1	1	1	0.771753033950832	-6.319178765061044	N/A	31.52287844828232	C15H10O2	[M + H]+	VHBFFQKBGNRLFZ	InChI=1S/C15H10O2/c16-13-10-15(11-6-2-1-3-7-11)17-14-9-5-4-8-12(13)14/h1-10H	Cromaril	C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2	3.50333166	10680;157155;12261162;10082479;21535179;132522907;129684679	HMDB:(3075);SuperNatural:(SN00000559);ZINC bio:(ZINC00057674);additional;MeSH:(10680);PubMed;NORMAN:(NS00007856);COCONUT:(CNP0097214 CNP0216699);KNApSAcK:(1040);Natural Products:(UNPD33417);database;PubChem:(10680 157155 12261162 10082479 21535179 132522907 129684679);CHEBI:(42491);PubChem class - bio and metabolites;KEGG:(C15608 C10043);PubChem class - safety and toxic;Biocyc:(CPD-8485)	68807338366	223.07535556	NaN	353_challenge_415_	N/A
31	1	1	1	1	0.7629389519347565	-9.616996913461035	N/A	28.655971070958866	C12H10O2S	[M + H]+	KZTYYGOKRVBIMI	InChI=1S/C12H10O2S/c13-15(14,11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10H	Sulfobenzide	C1=CC=C(C=C1)S(=O)(=O)C2=CC=CC=C2	2.90453959	31386;102013124	NORMAN:(NS00008550);COCONUT:(CNP0330784);Natural Products:(UNPD95410);database;PubChem:(31386 102013124);CHEBI:(78360);additional;EcoCyc Mine;PubChem class - safety and toxic;PubMed	85969371234	219.04742656	NaN	310_challenge_377_	N/A
32	1	1	1	1	0.7572847563882773	-57.783270869328746	N/A	15.82403009012168	C17H25N3O2S	[M + H]+	WKEMJKQOLOHJLZ	InChI=1S/C17H25N3O2S/c1-19(2)10-7-15-12-18-17-6-5-14(11-16(15)17)13-23(21,22)20-8-3-4-9-20/h5-6,11-12,18H,3-4,7-10,13H2,1-2H3	Almogran	CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3	2.21023059	123606;25272022;45358906;59253420;59253426	HMDB:(15054);ZINC bio:(ZINC00018087);additional;MeSH:(123606);PubMed;NORMAN:(NS00014315);COCONUT:(CNP0021737);database;PubChem:(123606 25272022 45358906 59253420 59253426);CHEBI:(520985);PubChem class - bio and metabolites;PubChem class - safety and toxic;PubChem class - drug	68839809134	336.17402404	NaN	478_challenge_8_	N/A
33	1	1	1	1	0.7334585881830552	-10.200404899355156	N/A	51.5123816242971	C10H18N4O5	[M + H]+	UMOXFSXIFQOWTD	InChI=1S/C10H18N4O5/c11-10(12)13-5-1-2-6(9(18)19)14-7(15)3-4-8(16)17/h6H,1-5H2,(H,14,15)(H,16,17)(H,18,19)(H4,11,12,13)	N2-succinylarginine	C(CC(C(=O)O)NC(=O)CCC(=O)O)CN=C(N)N	-2.20000005	463;439968;17754183;25245674	HMDB:(32764);SuperNatural:(SN00404611);additional;MeSH:(463);PubMed;COCONUT:(CNP0273687);Natural Products:(UNPD164541);database;PubChem:(463 439968 17754183 25245674);CHEBI:(58241 17705);PubChem class - bio and metabolites;KEGG:(C03296);Training Set;Biocyc:(CPD-421)	68739975534	275.134995676	NaN	417_challenge_473_	N/A
