"","Br10_3_1","Br10_3_2","Br10_3_3","Br15_3_1","Br15_3_2","Br15_3_3","Br3_3_1","Br3_3_2","Br3_3_3","Br7_3_1","Br7_3_2","Br7_3_3","MG_3_1","MG_3_2","MG_3_3","QC1","QC2","QC3"
"Resorcinol","1143519"," 219601","1195392","1124176"," 659970"," 680604"," 759000"," 302907"," 282165"," 390190"," 771126"," 660465"," 291400"," 109499"," 283920","1175202","1190411","1046574"
"Pyrrole-2-carboxylic acid"," 8179069"," 5461069"," 4607153","11380008"," 7212619"," 7356912"," 4613530"," 2775638"," 2030157"," 4960869"," 5272575"," 3021207"," 1025041","  719421","  543271"," 3496489"," 2819478"," 3198962"
"Histamine"," 839253","1355229"," 705144","1787143","1430201","1660167","1324517"," 789644"," 601254","1138313"," 559369"," 629888"," 874648"," 265783"," 433619","1361662","1596174","1550806"
"Uracil","4752455","3374178","2896967","7488114","4305935","3730338","2739618","1588271","1249511","2924201","3546114","1822884"," 572055"," 997263"," 341010","3463097","1325661","1431734"
"sorbate","1305470"," 850222","2199327","1292423","3021209","1642141","2892583"," 491582","1426162","1576374"," 973794"," 543041","1293553","1063129","1455028","1714637","1595014","1944359"
"N-Methylhydantoin"," 6896387"," 5162728"," 8353644"," 6518709"," 5755884"," 7485087","16675785"," 7224471"," 8383276"," 7867174"," 5130678"," 9149422","14892872"," 8556966","13908154","14227379","15473568","14797604"
"3-(Hydroxymethyl)cyclopentanone","3121162","5312884","5077414","3937899","2863047","5953961","3889444","3190554","3590022","2888219","2801012","3820414","3460524","4552050","5426363","1926575","1646885","1945541"
"maleamate"," 9841126"," 8504275"," 8602721"," 8216120"," 8791577"," 8978852","10388681"," 4558264"," 5293126"," 9659932"," 6020209"," 7854526"," 8646575"," 4893748"," 9102547","10656077","12562028","12032917"
"3-methyl-2-oxobutyrate","4892932","5813118","5565721","6759012","5180736","5311016","7574927","4095411"," 965555","5042360","4614870","4019872","6203936","3547973","3645138","1201619","3943159","4616881"
"Glutarate semialdehyde","10436631.5","14286887.7","12570576.0"," 6761219.2"," 4922254.8"," 4778674.4"," 6733019.1"," 1376967.2","  910968.5"," 4927301.9"," 4551473.8"," 3962220.7"," 1856194.5"," 1635151.2"," 1608612.7"," 4758762.7"," 8874930.4"," 4219301.9"
"2-keto valeric acid","4892932","5813118","5565721","6759012","5180736","5311016","7574927","4095411"," 965555","5042360","4614870","4019872","6203936","3547973","3645138","1201619","3943159","4616881"
"Indole","3543017","4080304","3409270","6791775","4567704","6781884","2480349","1328707","1575622","2313062","1434272","1945692","2847927","2292764","2022179","2816524","2602354","2579108"
"Cysteine","1417407","1005218","351494","3106945","2028935","1154206","368395","69284","57996","553756","1134200","297400","41887","N/F","N/F","180979","86999","169055"
"Benzamide","2194224","1870851","1152238","3926260","2194035","2635840","1490916"," 614715"," 536934","1345841"," 810104"," 816307"," 541135"," 434877"," 456647"," 883489"," 921205","1083037"
"3-hydroxybenzyl alcohol","1500753"," 768350","1651571","2009505","2507833","1949134","1801840","1657488","1349074","1096295"," 893668","1034629","1507509"," 711872","1564679","1163770","1111545","1892128"
"Orcinol","1506306.9","1453908.9","1658918.9","2000257.8","2426210.8","1941331.9","8344516.3","1676984.3","1514752.9","1095277.5","4546233.9","4002560.8","1451616.6"," 861908.4","1508130.5","1450326.7","1517392.7","1880103.1"
"Salicyl alcohol","1506306.9","1453908.9","1658918.9","2000257.8","2426210.8","1941331.9","8344516.3","1676984.3","1514752.9","1095277.5","4546233.9","4002560.8","1451616.6"," 861908.4","1508130.5","1450326.7","1517392.7","1880103.1"
"m-Methoxyphenol","1506306.9","1453908.9","1658918.9","2000257.8","2426210.8","1941331.9","8344516.3","1676984.3","1514752.9","1095277.5","4546233.9","4002560.8","1451616.6"," 861908.4","1508130.5","1450326.7","1517392.7","1880103.1"
"4-Hydroxybenzyl alcohol","1500753"," 768350","1651571","2009505","2507833","1949134","1801840","1657488","1349074","1096295"," 893668","1034629","1507509"," 711872","1564679","1163770","1111545","1892128"
"(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate/D-1-Piperideine-2-carboxylic acid","1099344","1247197"," 604168"," 475390","1178768","2350293"," 758622"," 144286"," 125103"," 870743"," 730518"," 726418"," 458727"," 233791"," 102702"," 767904","1870711","1814927"
"Pipecolic acid","72498","106010","194154","318249","106847","430809","115572","97639","110269","149398","80321","118595","N/F","711372","626103","276060","N/F","171642"
"N4-Acetylaminobutanal","72498","106010","194154","318249","106847","430809","115572","97639","110269","149398","80321","118595","N/F","711372","626103","276060","N/F","171642"
"Ketoleucine","1241431"," 915802"," 824726","1201586"," 661688"," 681775"," 289694"," 280285"," 116093"," 823269"," 538318"," 395326"," 173108"," 105192"," 171848"," 430794"," 449228"," 324462"
"Methyl levulinate","2599260","1434279","1448349","2186329","1215285","2450307","1214473","1082965"," 220112","1633128","1541848","1383177"," 558083"," 101921"," 496847"," 705271"," 545163"," 907702"
"3-Methyl-2-oxovaleric acid/2-Ketohexanoic acid","2599260","1434279","1448349","2186329","1215285","2450307","1214473","1082965"," 220112","1633128","1541848","1383177"," 558083"," 101921"," 496847"," 705271"," 545163"," 907702"
"Butoxyacetic acid","4975247","7242773","3440157","10449618","4653128","9760108","1176541","N/F","N/F","3479017","2469701","905516","406397","464506","N/F","1112296","1055730","1092280"
"Leucinic acid;Hydroxyisocaproic acid","10427344","15977326"," 6624234","21659339"," 9193479","18364629"," 2980290"," 2067387","  710525"," 6631589"," 6513926"," 2339638"," 1934698"," 2197657"," 1503987"," 2731154"," 2791546"," 2642452"
"6-Hydroxyhexanoic acid","10427344","15977326"," 6624234","21659339"," 9193479","18364629"," 2980290"," 2067387","  710525"," 6631589"," 6513926"," 2339638"," 1934698"," 2197657"," 1503987"," 2731154"," 2791546"," 2642452"
"D-Ornithine"," 5751866"," 5161277"," 5747716"," 5770092"," 3770808"," 5137389","10994031"," 4369002"," 6361040"," 7108130"," 4454961"," 5364334"," 6548742"," 5113383"," 5420155"," 4004735"," 3887721"," 3855510"
"L-Ornithine"," 5751866"," 5161277"," 5747716"," 5770092"," 3770808"," 5137389","10994031"," 4369002"," 6361040"," 7108130"," 4454961"," 5364334"," 6548742"," 5113383"," 5420155"," 4004735"," 3887721"," 3855510"
"5-Methoxyresorcinol","3721551","3924638","3449714","8526178","5947350","4265365","3933506","3073342","3073578","2265050","2499956","2370671","2232764","1881711","2402758","1697267","2654332","3033451"
"2-aminomuconic acid semialdehyde","1982259","1688299","1284234","2747482","1895875","1726287","1334485"," 749688"," 557340","1249776","1308554"," 779702"," 311848"," 322926"," 310264","1338056"," 732976"," 816039"
"Methyl L-pyroglutamate","130736875","120441838"," 76773306","188779489","148736646","147931172"," 24737051"," 14519064"," 14620470"," 88787641"," 77338068"," 50872318","  4424767","  5353645","  6102654"," 24238183"," 19259892"," 21277440"
"1,4:3,6-Dianhydro-?-D-glucopyranose","N/F","256450094","298229010","216072132","274206551","235795498","250518602","215069816","255353567","222103061","219961547","232569624","152172365","158602674","170432565","156177322","149842759","143061376"
"4-acetamidobutanoate","1038903","1999384","2133854","2197880"," 426304","1188646","1502876"," 941504"," 932575","1664751"," 170074"," 775869","1700362"," 773851","1058821","1640111","1383049","1625807"
"2-Keto-6-aminocaproate","1038903","1999384","2133854","2197880"," 426304","1188646","1502876"," 941504"," 932575","1664751"," 170074"," 775869","1700362"," 773851","1058821","1640111","1383049","1625807"
"Phenylpropiolic acid","3558940","3867623","1976645","3140145","2185173","1820648","6070002","3232446","3557394","3159836","3705891","2775015"," 551011"," 744266"," 548340","4979998","4876207","5069621"
"3-methyglutaric acid","2526503","2888310","3362139","3049909","1933258","2753626","5176782","2613211","5871896","3526338","3304733","1687792","1665892","1126382","4941459","1923775","2667120","1235320"
"Adipic acid","2365414.9","2755492.1","1198761.5","2322434.5","2449395.5","1803964.6","1667574.3","1737839.0","5323757.9","1253500.3","1543286.8","1094536.1","1491956.0","1310289.1","1755491.9"," 870441.3","1094557.4","1305982.0"
"Conduritol A","2365414.9","2755492.1","1198761.5","2322434.5","2449395.5","1803964.6","1667574.3","1737839.0","5323757.9","1253500.3","1543286.8","1094536.1","1491956.0","1310289.1","1755491.9"," 870441.3","1094557.4","1305982.0"
"2-Dehydropantoate/4-Hydroxy-2-oxohexanoic acid/(S)-2-Aceto-2-hydroxybutanoic acid/3-Hydroxy-5-oxohexanoate","2526503","2888310","3362139","3049909","1933258","2753626","5176782","2613211","5871896","3526338","3304733","1687792","1665892","1126382","4941459","1923775","2667120","1235320"
"(RS)-Mevalonic acid","1184126","1365165","1927885","1216136"," 863268","1607491","5062680","2084229","2260876","1905801","1480465","2015261","4620099","2164182","3081895","4909090","4059656","4504864"
"Venoterpine","3238654","2499837","2374327","3693691","3736777","5139707"," 615846"," 338171"," 327254","1791910","1175792"," 906144"," 231956"," 177927"," 198624"," 852559"," 584757"," 725081"
"2-Phenylglycine"," 684887"," 346395","2170217","2409293","2032982","1005181","1962011"," 215603"," 225751","1796996","1389641","1016287","1359550"," 574672"," 377019"," 960589","2445483","2673755"
"3-hydroxyanthranilate","2462731","1784524","1322198","3647621","2476530","1857941","1268971","759281","555393","1485711","1702631","934434","233955","N/F","N/F","1139895","820044","1070419"
"3-amino-4-hydroxybenzoic acid","2462731","1784524","1322198","3647621","2476530","1857941","1268971","759281","555393","1485711","1702631","934434","233955","N/F","N/F","1139895","820044","1070419"
"3-amino-5-hydroxybenzoic acid","2535887","1832447","1406657","3669003","2584938","1982493","1408214"," 848712"," 625583","1530692","1748156"," 973281"," 257175"," 246418"," 214050","1219529"," 858504","1170634"
"3-Hydroxy-2-methylpyridine-5-carboxylate","2535887","1832447","1406657","3669003","2584938","1982493","1408214"," 848712"," 628120","1530692","1748156"," 973281"," 257175"," 246418"," 214050","1219529"," 858504","1170634"
"octopamine","200400","339589","107726","712601","272791","327726","523022","125879","110957","312255","100255","102723","183782","66378","N/F","491372","603372","569344"
"3,4-Dimethoxyphenol","139126","425285","120718","261081","322522","123888","232897"," 89955"," 64502","120898"," 58460"," 28516"," 63631"," 70192","102333","324312","263392","208953"
"3,5-Dimethoxyphenol","139126","425285","120718","261081","322522","123888","232897"," 89955"," 64502","120898"," 58460"," 28516"," 63631"," 70192","102333","324312","263392","208953"
"Cleroindicin F","139126","425285","120718","261081","322522","123888","232897"," 89955"," 64502","120898"," 58460"," 28516"," 63631"," 70192","102333","324312","263392","208953"
"Marilactone","139126","425285","120718","261081","322522","123888","232897"," 89955"," 64502","120898"," 58460"," 28516"," 63631"," 70192","102333","324312","263392","208953"
"3,4-Dihydroxyphenylethanol","139126","425285","120718","261081","322522","123888","232897"," 89955"," 64502","120898"," 58460"," 28516"," 63631"," 70192","102333","324312","263392","208953"
"Allantoin","N/F","N/F","223175","N/F","N/F","N/F","217296","N/F","624931","N/F","N/F","N/F","1382523","361740","470597","1020943","1318884","1091763"
"5-Acetamidovalerate","33335028","36586253","36948973","39527959","30195243","43778095","30617641","31842573","31765065","31525274","25711046","34117924","30685216","33669271","38632721","19611810","18189254","18737262"
"6-Methylcoumarin","1756035","13000","273584","N/F","563342","N/F","N/F","17421","10549","1031276","199217","86568","254615","30153","34915","348240","241809","283426"
"Coixol","N/F","N/F","N/F","227581","N/F","N/F","N/F","84437","N/F","74191","N/F","N/F","109413","90899","N/F","N/F","55788","78709"
"L-Xylonate","199329079","181868394","193143313","180032656","174366988","157823769","198802858","216584732","201226960","186482927","198982648","187601744","170263398","154584474","178295722","153831159","143813578","146226916"
"L-lyxonate","199329079","181868394","193143313","180032656","174366988","157823769","198802858","216584732","201226960","186482927","198982648","187601744","170263398","154584474","178295722","153831159","143813578","146226916"
"Arabinonic acid","199329079","181868394","193143313","180032656","174366988","157823769","198802858","216584732","201226960","186482927","198982648","187601744","170263398","154584474","178295722","153831159","143813578","146226916"
"phosphoenol pyruvate","10433513"," 8836944"," 9921784"," 7184326","11777269","10295571"," 8908969"," 8755627"," 8422707"," 8672014","13157872"," 7464897"," 9259295"," 8725772","11251366"," 8143451"," 6472029"," 5779250"
"Homogentisic acid","4811562","7030345","3885250","5274672","5158074","4747854","4596840","6582862","3765847","4269340","4949994","3668829","4079325","8572137","4725753","3264025","3351174","3138133"
"Veratryl alcohol","407323","719032","311548","1740537","639411","528328","284199","98826","N/F","436686","527403","247247","N/F","43902","34807","1631325","1378754","1513498"
"Homovanillyl alcohol","407323","719032","311548","1740537","639411","528328","284199","98826","N/F","436686","527403","247247","N/F","43902","34807","1631325","1378754","1513498"
"Pyridoxine","3053221","3599128","1022143","1882981","1935638"," 915526","4038880","2069252","1391760","4243117","2806613"," 748445","2986608","2200140","2180171","4712344","4069412","4558212"
"Norepinephrine","3053221","3599128","1022143","1882981","1935638"," 915526","4038880","2069252","1391760","4243117","2806613"," 748445","2986608","2200140","2180171","4712344","4069412","4558212"
"3,4-dihydroxyphenyl glycol"," 4006278"," 4400241"," 5836287"," 3075164","10470453"," 4802480"," 3982943"," 3063194","  871706"," 2023246"," 3387062"," 1393589","  371275"," 2294872"," 1384660"," 1982859","  835026"," 1703811"
"3,4-Dihydroxyphenylglycol"," 4006278"," 4400241"," 5836287"," 3075164","10470453"," 4802480"," 3982943"," 3063194","  871706"," 2023246"," 3387062"," 1393589","  371275"," 2294872"," 1384660"," 1982859","  835026"," 1703811"
"glycerol 2-phosphate","27221569","22291383","21448602","23773865","22180913","14600434"," 7942486"," 8551267"," 9579534","19462231","19557723","12799051"," 6306726"," 8070601","10268545"," 6168427"," 7073946"," 5812595"
"Glycerol 3-phosphate","27221569","22291383","21448602","23773865","22180913","14600434"," 7942486"," 8551267"," 9579534","19462231","19557723","12799051"," 6306726"," 8070601","10268545"," 6168427"," 7073946"," 5812595"
"3-dehydroshikimate","1562207","1324532","1449202"," 941603","2305847"," 709304"," 583246"," 689775","1259257"," 897421","2204543","1513974"," 772857"," 564736","1537293","1758340","2986839","2495796"
"Cleroindicin D","3070717","3001333","2874707","3157901","2391154","2913302","3092855","3069084","3091062","2687565","2720054","3072684","2406395","2413054","2499844","3011468","2385409","2676049"
"Pro-Gly","N/F","N/F","N/F","277271","N/F","N/F","373219","454788","233970","N/F","N/F","316894","653713","324198","278069","1898376","2127486","1528383"
"Gly-Pro","N/F","N/F","N/F","277271","N/F","N/F","373219","454788","233970","N/F","N/F","316894","653713","324198","278069","1898376","2127486","1528383"
"1,6-Dioxaspiro[4.5]decan-2-methanol","14898936","13028572","11084596"," 2779165"," 1338790"," 2089316","  581076","  257391","  179124"," 4834338"," 2921609"," 3411024","  572239","  237573","  370978","  304288","  329086","  383662"
"Cerberidol","8852910","6257240","4819916","1571026"," 928986","1405183"," 373698"," 253301"," 179124","1999356","2081900","1452531"," 556562"," 237573"," 371034"," 304288"," 328976"," 383662"
"L-Arginine"," 7092269"," 7111492"," 6143784","10325646"," 6334546"," 9763749"," 4876314"," 2507868"," 3725548"," 5526462"," 3371243"," 4095135"," 4687403"," 3691786"," 4048614"," 4762763"," 4493733"," 4666116"
"monodehydroascorbate","1406418","1435303","1081326","2036717","1951628","1848376"," 241935"," 256335"," 370723","1019129","1524443"," 798181"," 177836"," 128730"," 167517"," 359645"," 220997"," 341855"
"Citrulline","2197340","1561570","3078326","1706835","1337781","1847531","9261743","3600443","4568578","4433334","3323534","4338379","5375024","3743403","3986575","2338904","2306733","2749407"
"2-Isopropylmalic acid/3-Propylmalate","39316060","36374062","33903584","56781452","38277609","43011753","21762068","15509070","22011616","27633931","33526827","30386175"," 5193415","12759883","17860253","16302003","16351250","17032415"
"4-Methoxycinnamic acid","6001429","5243737","3552616","6486178","9113163","5332443","2500727","1143109","1603823","3327683","7597729","2827860"," 263960"," 225636"," 855764"," 730280"," 524687"," 832916"
"(+)-Mellein","6001429","5243737","3552616","6486178","9113163","5332443","2500727","1143109","1603823","3327683","7597729","2827860"," 263960"," 225636"," 855764"," 730280"," 524687"," 832916"
"3,4-Dihydro-3,4-dihydroxynaphthalen-1(2H)-one","6001429","5243737","3552616","6486178","9113163","5332443","2500727","1143109","1603823","3327683","7597729","2827860"," 263960"," 225636"," 855764"," 730280"," 524687"," 832916"
"5-Hydroxymethyl-7-methoxybenzofuran","6001429","5243737","3552616","6486178","9113163","5332443","2500727","1143109","1603823","3327683","7597729","2827860"," 263960"," 225636"," 855764"," 730280"," 524687"," 832916"
"Coniferaldehyde","6001429","5243737","3552616","6486178","9113163","5332443","2500727","1143109","1603823","3327683","7597729","2827860"," 263960"," 225636"," 855764"," 730280"," 524687"," 832916"
"Ferulaldehyde","6001429","5243737","3552616","6486178","9113163","5332443","2500727","1143109","1603823","3327683","7597729","2827860"," 263960"," 225636"," 855764"," 730280"," 524687"," 832916"
"Mellein","6001429","5243737","3552616","6486178","9113163","5332443","2500727","1143109","1603823","3327683","7597729","2827860"," 263960"," 225636"," 855764"," 730280"," 524687"," 832916"
"Methyl 4-hydroxycinnamate","6001429","5243737","3552616","6486178","9113163","5332443","2500727","1143109","1603823","3327683","7597729","2827860"," 263960"," 225636"," 855764"," 730280"," 524687"," 832916"
"Regiolone","6001429","5243737","3552616","6486178","9113163","5332443","2500727","1143109","1603823","3327683","7597729","2827860"," 263960"," 225636"," 855764"," 730280"," 524687"," 832916"
"S-carboxymethyl-L-cysteine","3482561","4322237","2857652","2192286","3373648","2519347","N/F","N/F","N/F","2299811","2761996","1450167","N/F","N/F","N/F","991917","800349","N/F"
"3,5-dimethyl-p-anisic acid","422634","158734","367683","280165","192589","224386","N/F","20304","19687","270156","114053","91998","N/F","17718","N/F","26741","46424","72697"
"8,9-Didehydro-7-hydroxydolichodial","422634","158734","367683","280165","192589","224386","N/F","20304","19687","270156","114053","91998","N/F","17718","N/F","26741","46424","72697"
"Propylparaben","422634","158734","367683","280165","192589","224386","N/F","20304","19687","270156","114053","91998","N/F","17718","N/F","26741","46424","72697"
"4-(3,4-Dihydroxyphenyl)-2-butanone","422634","158734","367683","280165","192589","224386","N/F","20304","19687","270156","114053","91998","N/F","17718","N/F","26741","46424","72697"
"3,4-Dimethoxybenzamide"," 8650931","13306193","11148103","15871627","10976061","18951766","11107950"," 5714301","10554841"," 9049664"," 6090742"," 8304993","18000187","16887486","16325904","16889930","16692622","15776616"
"L-Tyrosine"," 8650931","13306193","11148103","15871627","10976061","18951766","11107950"," 5714301","10554841"," 9049664"," 6090742"," 8304993","18000187","16887486","16325904","16889930","16692622","15776616"
"N-(2-Hydroxy-4-methoxyphenyl)acetamide"," 8650931","13306193","11148103","15871627","10976061","18951766","11107950"," 5714301","10554841"," 9049664"," 6090742"," 8304993","18000187","16887486","16325904","16889930","16692622","15776616"
"Hydroxyphenyllactic acid","1485410","1704795"," 279297"," 604616","1053454","2698395"," 853604"," 594028"," 862898"," 746889"," 464511","1554077","1340585"," 586967"," 494360","1128947"," 816629"," 863485"
"Sorbitol","2831883","6882480","6586441","4108254","2557136","4118684","7418597","4058092","6412992","5071173","5053036","4243053","3327815","4085324","6090169","5642365","3105007","4715260"
"Theobromine/Paraxanthine/Theophylline","2831883","6882480","6586441","4108254","2557136","4118684","7418597","4058092","6412992","5071173","5053036","4243053","3327815","4085324","6090169","5642365","3105007","4715260"
"Galactitol","2831883","6882480","6586441","4108254","2557136","4118684","7418597","4058092","6412992","5071173","5053036","4243053","3327815","4085324","6090169","5642365","3105007","4715260"
"Iditol/Mannitol/Dulcitol","2831883","6882480","6586441","4108254","2557136","4118684","7418597","4058092","6412992","5071173","5053036","4243053","3327815","4085324","6090169","5642365","3105007","4715260"
"Mannitol","2831883","6882480","6586441","4108254","2557136","4118684","7418597","4058092","6412992","5071173","5053036","4243053","3327815","4085324","6090169","5642365","3105007","4715260"
"Epinephrine","264978","286042","197921","572446","497435","517414","140887"," 44624"," 82207"," 80107","111893"," 91215"," 34920"," 52118"," 65986","391520","178580","217403"
"normetanephrine","264978","286042","197921","572446","497435","517414","140887"," 44624"," 82207"," 80107","111893"," 91215"," 34920"," 52118"," 65986","391520","178580","217403"
"Aucubigenin","14943334"," 9825955","15951070"," 7886153","11370387","14727537"," 6479758"," 5717906"," 7955432"," 5562725"," 8376251"," 7297371"," 5015945"," 6443689"," 5265167"," 3970196"," 3244445"," 3603393"
"Buergerinin G","14943334"," 9825955","15951070"," 7886153","11370387","14727537"," 6479758"," 5717906"," 7955432"," 5562725"," 8376251"," 7297371"," 5015945"," 6443689"," 5265167"," 3970196"," 3244445"," 3603393"
"4-(2-Hydroxy-1-methoxyethyl)-1,2-benzenediol","14943334"," 9825955","15951070"," 7886153","11370387","14727537"," 6479758"," 5717906"," 7955432"," 5562725"," 8376251"," 7297371"," 5015945"," 6443689"," 5265167"," 3970196"," 3244445"," 3603393"
"2-Keto-6-acetamidocaproate","2604890","2691110"," 910906","2785834","1261389","3750719","2059728"," 763581"," 489258"," 210471"," 593127","1335355","2433519","1824485","1205325","5301895","4860835","4726316"
"plumbapin","1847278","1051939","2583934","385738","1012181","787212","6531650","5681183","4802467","4393123","5534583","5982628","N/F","N/F","22877","877666","1263482","1093916"
"N-Acetylglutamic acid","8194609","8616451","6864583","6999146","7491154","7286160","1885305","1999429","1043534","5575159","3194078","3311185","873423","N/F","334072","4104865","3311662","4040784"
"Stachydrine_HCOO","2955449","1646191","1921301","2141369","1821208","3506334","1142827"," 947609"," 956447","1066260","2129293","1341970"," 894250","1050238"," 734899","1525348","1493109","1361155"
"p-Coumaric acid ethyl ester"," 3076425"," 5850310"," 6210065"," 3040164","10396661"," 6050125","11722160"," 1877990"," 4453135"," 7989953","10849505"," 8259582"," 4738245"," 1588910","  682924"," 2496157"," 7233120"," 8123252"
"Myristicin"," 3076425"," 5850310"," 6210065"," 3040164","10396661"," 6050125","11722160"," 1877990"," 4453135"," 7989953","10849505"," 8259582"," 4738245"," 1588910","  682924"," 2496157"," 7233120"," 8123252"
"Senkyunolide A","1191158","593518","1493461","902943","747442","2079017","611656","N/F","749763","740857","N/F","N/F","473702","N/F","N/F","237800","517345","N/F"
"Phenaceturic acid","1135684","1381713","2514488","1771622","614008","N/F","602800","396541","2737865","2440788","1505564","259573","724296","154252","267709","1571400","1989635","2465396"
"Phenylacetylglycine","2221293.3","2219804.7","1683895.0"," 396817.6","2461265.4","4327800.1","3325242.9"," 400818.8","2320754.5","1569414.5","1417065.6","1852487.1"," 798704.9"," 230626.6"," 463517.8","1324209.0","1994414.8","2178211.6"
"Ferulamide","1135684","1381713","2514488","1771622","614008","N/F","602800","396541","2737865","2440788","1505564","259573","724296","152165","267709","1571400","1989635","2465396"
"Phosphoguanidinoacetate","1812444","1676653","1007199","1759005","1909469","1193813","2157036"," 599956","1370184","1144725"," 808744","1066667","3835621","2550227","3101757","1463950","3774861","3626769"
"3,4-Dihydroxy-L-phenylalanine(Levodopa)"," 535180"," 676182"," 275735","3017479"," 993770","1655835","1874427"," 560707","1128362","2218921"," 172558"," 406256"," 965268"," 153395"," 119181"," 255790","1175570"," 543848"
"Syringic acid","  69561"," 149126","  70597"," 438008"," 653635"," 263925"," 127019"," 220406"," 632598"," 605483","  58578"," 381248"," 851172"," 774352","1030625"," 793643"," 759898"," 912361"
"Ethyl 2,4,6-trihydroxybenzoate"," 823933.9","1946660.2","1064261.6","1987023.5","2010616.3","1593277.1","1628422.2","1595081.7","3631170.7","2124164.5","2268608.5","1077419.7","2932551.9"," 821262.0"," 763769.2"," 841236.3"," 543049.6"," 849106.4"
"Ethyl gallate"," 823933.9","1946660.2","1064261.6","1987023.5","2010616.3","1593277.1","1628422.2","1595081.7","3631170.7","2124164.5","2268608.5","1077419.7","2932551.9"," 821262.0"," 763769.2"," 841236.3"," 543049.6"," 849106.4"
"Danshensu","  69561"," 149126","  70597"," 438008"," 653635"," 263925"," 127019"," 220406"," 632598"," 605483","  58578"," 381248"," 851172"," 774352","1030625"," 793643"," 759898"," 912361"
"5-O-Ethylcleroindicin D","4721681","3986889","4712513","5683697","4949427","4388198","9367124","5324562","5492843","5027527","4065711","4759927","7113826","4665657","5315710","5045153","4670794","4785662"
"Gelsemiol","4721681","3986889","4712513","5683697","4949427","4388198","9367124","5324562","5492843","5027527","4065711","4759927","7113826","4665657","5315710","5045153","4670794","4785662"
"4-Epialyxialactone","4721681","3986889","4712513","5683697","4949427","4388198","9367124","5324562","5492843","5027527","4065711","4759927","7113826","4665657","5315710","5045153","4670794","4785662"
"Ala-Leu","1308381","1753662"," 639946","5028778","2599361","3524494"," 162195"," 200349"," 266422"," 482169"," 351457"," 298745"," 274248"," 208024"," 330891"," 508109"," 437561"," 485585"
"Ile-Ala","1308381","1753662"," 639946","5028778","2599361","3524494"," 162195"," 200349"," 266422"," 482169"," 351457"," 298745"," 274248"," 208024"," 330891"," 508109"," 437561"," 485585"
"Leu-Ala","1308381","1753662"," 639946","5028778","2599361","3524494"," 162195"," 200349"," 266422"," 482169"," 351457"," 298745"," 274248"," 208024"," 330891"," 508109"," 437561"," 485585"
"Ala-Ile","1308381","1753662"," 639946","5028778","2599361","3524494"," 162195"," 200349"," 266422"," 482169"," 351457"," 298745"," 274248"," 208024"," 330891"," 508109"," 437561"," 485585"
"L-Acetylcarnitine"," 492563"," 657871","  59664","1542461"," 456855","1194557","1027875","1334283"," 262714"," 240734"," 114918"," 244235"," 321336","  36156","  35162","1445933"," 740111","1393893"
"Isopentenyladenine"," 492563"," 657871","  59664","1542461"," 456855","1194557","1027875","1334283"," 262714"," 240734"," 114918"," 244235"," 321336","  36156","  35162","1445933"," 740111","1393893"
"Cerbinal","101307","150729","100848","121484","148755","117189","63461","46759","N/F","N/F","62829","N/F","N/F","15103","66887","93867","149539","N/F"
"3-Methoxy-4,5-methylenedioxycinnamaldehyde","1187795"," 837388"," 651680"," 829916","1710285","1809332"," 784228","1030943","1439915"," 850876"," 917539","1250844"," 568922","  87105"," 757259"," 788813","1090113"," 798313"
