,MG_1_1,MG_1_2,MG_1_3,Br3_1_1,Br3_1_2,Br3_1_3,Br7_1_1,Br7_1_2,Br7_1_3,Br10_1_1,Br10_1_2,Br10_1_3,Br15_1_1,Br15_1_2,Br15_1_3,QC1,QC2,QC3
N-Benzoylaspartic acid.1,74932,140283,247548,776749,603244,601670,253019,307777,290494,259504,389345,400453,472846,428500,414223,228392,204148,233493
CNP0444347,69068,24526,15501,45278,83565,81863,141715,250429,120854,188309,267772,215718,78474,61107,57605,12936,37542,35584
PubChem_126169371,125453,56585,35138,220786,222928,237664,276611,170090,334975,326538,209261,315324,227641,172099,191057,61626,22276,88790
N-Benzoylaspartic acid.2,41451,46890,80356,248610,304255,285364,211584,289692,215430,243879,382122,352709,448099,443755,385875,56945,100912,119521
"2-hydroxy-N-(1,3,4-trihydroxyoctadecan-2-yl)tridecanamide",569458,180486,146296,718287,1039265,934157,1243127,1360796,1249424,1413767,1498535,1421979,1520716,1497528,1407210,101345,294074,549890
"LysoPA(0:0/18:2(9Z,12Z))",190175,114820,101060,138980,131156,85463,381509,244382,328056,341602,289127,329177,201174,226449,222359,51308,116440,195498
UNPD2016,0,0,0,0,8997,0,0,16824,0,0,0,0,0,0,0,5828,2900,8404
PubChem_117863609,44647,231446,239769,60739,41123,69458,86142,59871,57492,75460,88796,107162,72866,54241,56053,0,112946,47031
"(1R,2R,8S,13R)-4,11-dioxo-3,5,7,10,12,14,15-heptaoxa-4lambda5,11lambda5-diphosphapentacyclo[9.2.1.14,6.02,6.08,13]pentadecane-1,2,8,9,13-pentol",213593,79595,65792,288210,521530,424409,700017,713646,571104,704888,730888,718213,849310,693739,679495,29388,137044,261027
"PA(18:0/18:2(9Z,12Z))",399075,131768,133268,449073,117105,206441,342236,312588,224547,285050,445863,506331,263060,388256,377315,75804,141462,337371
"1,1'-Ethylidenebistryptophan",300047,480856,436400,303666,255084,267224,214517,234830,271753,180418,177011,186749,139309,140172,156908,742324,351910,271769
Dictamnoside G,0,0,1297,6702,0,0,20190,8770,10611,17887,9382,10685,89964,55321,27512,3349,2160,6302
"2,4-bis[1,1,1,3,3,3-hexafluoro-2-(trifluoromethyl)propan-2-yl]-6-(morpholin-4-yl)-1,3,5-triazine",214611,142818,119016,281042,466562,440299,773276,782470,690793,745232,831075,791547,738227,738401,571041,82902,155031,212755
1-(4-bromo-2-fluorophenyl)-3-(3-chlorophenyl)urea,351114,372408,464283,488396,195025,338253,116810,68713,261587,225359,185558,253517,158598,109075,75634,286897,424698,402872
PubChem_140227789,62943,122605,124388,58337,47972,50489,29213,27113,34872,19387,20146,20956,25576,19074,12199,133042,89734,73188
"PC(18:3(6Z,9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",1124264,2113742,1839969,980193,1135667,1161867,1302680,1329386,1259663,1344961,1261052,1210038,702879,567137,734556,2900358,1284588,1050088
PubChem_53470528,49374,0,0,147641,36206,103269,126444,364426,338412,175330,108642,155605,100261,88367,162626,0,46541,68559
PubChem_83580,139344,64250,45273,275342,280267,239099,259034,344325,379344,359095,316904,348678,379886,354644,333319,35371,91460,130738
Tridecylbenzenesulfonic acid,539700,709536,779904,503682,290965,532076,371485,385669,377624,459346,540135,367613,554079,524747,373938,971399,328712,331086
PubChem_71721409,41390,62130,84120,182688,257618,241758,196126,225493,198482,177346,204729,225633,77269,102389,104872,25878,43286,54574
PubChem_20467693,712562,715934,813653,556006,294758,278100,205026,232942,232781,307020,316577,236356,257496,180279,151317,781844,742582,548981
PubChem_134860106,185234,332687,288634,149736,126825,129133,76941,78533,94878,76127,74793,70773,67733,66417,59058,275986,233118,187449
UNPD19530,0,0,0,4719,0,11812,378959,202963,16493,106994,275280,205567,2673688,2490775,1228327,18004,10802,25379
Melongoside F,59343,74062,89444,25371,53194,8865,0,0,0,0,0,0,7053,0,0,74089,51755,46867
UNPD212869,88748,49043,39176,68638,33294,74984,284844,418556,135495,473013,443348,660957,488648,377655,223414,15968,61347,106090
"PA(18:2(9Z,12Z)/18:3(6Z,9Z,12Z))",1009512,298041,334122,956870,932275,934394,2324007,1523478,1899557,1608006,1663884,1728612,987971,1103736,1034090,72274,553029,1104818
"7-methyl-7,8-dihydroguanosine-5'-diphosphate",21954,29500,29227,29587,47709,35045,109063,201716,91296,25364,79960,57060,268915,91803,144538,43566,19695,58915
Alloside B,133990,53777,62672,55103,41739,59216,166447,153598,113342,306991,262591,285149,179928,112174,85828,18954,49991,84152
N-Benzoylaspartic acid.3,87078,102273,182273,597085,535859,551220,247235,313960,256371,291680,404782,383829,482697,463482,433493,185061,198790,248472
UNPD33087,17706,28421,39116,89123,56612,113116,417577,261428,77765,399374,290097,360668,366932,356184,222278,22143,44689,65029
N-Acryloylglycine.1,248424,152936,189104,725863,884092,717014,529961,573742,506601,574573,683730,646402,1170102,1076431,993189,109769,289240,347050
PubChem_165781119,55161,45033,62792,125190,200437,170148,137539,158027,147140,139694,152623,158887,59024,80269,80764,24498,35930,36417
"1,2-Di-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phosphate",4988404,877387,988228,4076014,2976482,3393974,7998526,6386512,5281558,5572090,6494108,6562570,4120042,3468700,3420171,239641,1987802,4981340
Benzyl O-[arabinofuranosyl-(1->6)-glucoside],6303,0,532,3028,7257,8827,36875,16760,13213,27740,28682,11873,66579,85406,60409,5395,5976,8407
"N-[2-(2,4-dichlorophenyl)ethyl]-1-(3,4-dimethoxyphenyl)-9H-pyrido[3,4-b]indole-3-carboxamide",0,0,0,7755,7821,0,56746,41880,14469,71027,43450,43364,121266,69948,82094,0,3864,5438
"ethyl 3-(3,4-dimethoxyphenyl)-7-(3-nitrobenzoyloxy)-4-oxo-4H-chromene-2-carboxylate",0,0,0,3414,6624,0,56746,37015,14469,71027,29715,43364,121266,69948,82094,0,3864,5438
PGP(i-12:0/i-12:0),168618,92462,92621,133808,65218,233984,338499,392874,522343,318063,370493,407681,74850,49714,98644,14771,7342,19082
"PE(20:3(8Z,11Z,14Z)/16:1(9Z))",1310530,1704420,2173550,1602969,872972,1208881,567744,885153,755343,787668,379096,527905,831764,835062,588338,877625,1439220,1965288
Tricin 7-glucoside,0,0,0,7864,4488,11524,154357,100682,20579,210421,132668,160851,552899,392958,326144,8237,11215,5254
"PG(18:3(6Z,9Z,12Z)/15:1(9Z))",400976,243044,252573,322002,211241,223328,378869,346083,480942,387723,489895,675437,274155,172865,217350,46151,311128,501545
PubChem_141690956,117510,72340,82111,117590,202341,183493,394168,432176,306624,408288,344353,396955,405768,371215,294831,62057,83119,122724
PG(15:0/17:0),1132750,1169396,1334959,1152960,1206576,920357,546748,626080,1058884,951553,654408,603430,961003,888126,1474829,15294,1335988,1656357
"2,4-bis[1,1,1,3,3,3-hexafluoro-2-(trifluoromethyl)propan-2-yl]-6-(morpholin-4-yl)-1,3,5-triazine.1",201156,96527,103600,281042,466562,440299,662575,782470,690793,745232,831075,791547,605118,616620,571041,82902,155031,212755
PubChem_101579480,126876,228212,198420,202701,134036,252804,251363,320504,290300,304224,229065,253229,238053,213755,195996,263574,192929,155981
LSM-39981,5562,0,45292,0,24965,32514,15539,119065,31078,19710,74867,81875,462612,568380,280412,5735,7817,19954
Aminotrihydroxybacteriohopane,603600,204795,176311,855906,1149274,1078015,1418535,1496897,1388344,1498126,1736176,1575129,1708968,1599635,1689618,133951,329886,628365
"5-(5-bromo-2-chlorophenyl)-3-pyridin-4-yl-1,2,4-oxadiazole",69474,56019,83260,166583,231304,194274,175698,219625,208690,177964,213819,209711,78277,91559,111402,26898,40818,68164
"4,5-dimethyl-2-[[oxo(thiophen-2-yl)methyl]amino]-3-thiophenecarboxylic acid ethyl ester",296549,468235,329423,127250,215299,177519,180762,257269,60554,84332,191016,164565,74860,233498,140662,244029,33805,148036
PubChem_140454186,137560,81110,83956,121740,178869,173077,394168,432176,331876,391684,378078,396955,405768,385339,332687,72345,101576,122724
"N-(carbamoylimino)-3,5-dichloro-4-methoxybenzen-1-amine oxide.1",12807,6401,0,37097,42467,51277,151100,113142,133285,151477,140560,145557,55592,53846,72095,28920,5726,25552
N'-{[5-(4-bromophenyl)furan-2-yl]methylidene}-3-nitrobenzohydrazide,568937,224945,242620,222600,619730,415210,609675,749732,622869,237478,645209,525303,312920,808501,563061,94856,132854,442166
Tomatoside A,48207,40474,34035,0,92631,40319,0,0,0,0,0,0,0,7384,3047,12527,10952,0
"2,3-Dibromo-1,4-naphthoquinone",386028,453623,405766,447836,300916,357754,125030,104783,144269,66844,61854,50815,115729,90260,117803,468324,429823,378746
"(1R,2R,8S,13R)-4,11-dioxo-3,5,7,10,12,14,15-heptaoxa-4lambda5,11lambda5-diphosphapentacyclo[9.2.1.14,6.02,6.08,13]pentadecane-1,2,8,9,13-pentol.1",213593,61919,65792,249409,492295,382922,700017,713646,509396,603237,572682,617571,679360,616306,679495,36037,137044,261027
"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-heptadecafluoro-N,N-dimethylnonanamide",327239,52333,50617,120095,253512,129046,340927,500510,298086,386061,367078,376919,307196,298428,352225,21328,127158,182796
"(3R,3'R,4'S,5'R)-5'-(2-hydroxyethyl)-4'-[(4-methoxyphenyl)-dimethylsilyl]-3'-methyl-1-[[4-(2-oxo-1-azetidinyl)phenyl]methyl]-2-spiro[indole-3,2'-oxolane]one",0,0,0,0,0,0,0,0,0,0,0,0,97366,89089,31730,6523,5572,10280
PubChem_60350145,366601,75642,31568,129521,249754,93255,369534,463555,203999,379516,285897,272310,343757,634447,239235,29579,92496,228240
PubChem_134860106.1,76212,167878,63465,169762,95798,79799,54606,47819,68698,72979,50167,45674,9304,22777,13934,110907,121714,72790
"1,2-Di-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phosphate.1",3854762,746269,878748,3381010,2697458,2616834,6421945,5454286,4380138,4737008,5417919,5980086,3745266,2976222,2965953,189662,1719752,4167248
"4-(4-bromo-2-fluorophenyl)-6,18-dioxa-4-azatetracyclo[8.8.0.0?,?.0??,??]octadeca-1,7,9,11,13,15-hexaen-17-one",58573,47496,48823,172624,129890,105355,99496,114905,294998,239389,65295,128275,152203,306724,118468,35408,85240,81361
N-{[4-hydroxy-5-(hydroxymethyl)-3-{4-[3-(trifluoromethyl)phenyl]piperazin-1-yl}oxolan-2-yl]methyl}benzenesulfonamide,0,0,0,0,0,0,0,0,5341,1017,0,3409,40722,63519,24680,5456,15054,13630
Plantaricin BN,0,0,0,0,12662,23428,12713,5893,0,6732,0,0,5391,12757,2686,14567,6752,6469
"PS(17:0/22:2(13Z,16Z))",408386,560246,500671,377360,118349,297415,72123,90411,109173,102372,93844,145908,243221,154924,119673,353579,394967,442456
"7-[7-(2,3-dihydroxypropyl)-4-{2-hydroxy-1-[4-hydroxy-2-(2-hydroxyethyl)phenyl]propan-2-yl}-8-(3-hydroxyoct-1-en-1-yl)-1,2-didehydro-3,4,5,6,9,10-hexahydro-5-benzazacyclododecin-6-yl]-4-(ethylamino)heptanoic acid",46775,39390,40248,43683,26449,61411,71035,95552,130192,109491,154039,113734,120257,48802,57035,5923,9659,20606
(2S)-2-Butanol O-[b-D-Apiofuranosyl-(1->6)-b-D-glucopyranoside],2698,0,0,0,0,0,16482,5180,804,0,0,7296,48187,62387,23447,2906,3044,13554
Myricetin 3-galactoside,66811,103741,88803,92915,62319,99916,54456,59865,67349,58035,60574,42186,13594,30081,15489,4230,45578,21239
PubChem_134860106.2,214275,317231,300330,168334,142266,145641,83776,78533,86021,81765,74424,71385,67733,61565,61426,269853,232192,184950
"PE(20:3(8Z,11Z,14Z)/16:1(9Z)).1",1283155,1651904,2110692,1602969,869051,1208881,567744,831154,727903,737982,358207,523493,815614,835062,572436,846867,1349864,1884226
3-Phenylpropyl glucosinolate,320542,193759,248830,415892,913444,674670,559195,986986,832413,1066870,1223247,848229,1310542,2496363,1212513,300565,439279,342245
PubChem_138005712,161500,111088,108237,133320,165224,167127,289514,277837,221874,340402,357276,350409,365105,372273,394249,108605,104332,159712
sodium myristyl sulfate,6072112,135598,103541,8191452,5788753,7597180,9583559,8447613,8889111,8017818,8954225,8655415,8553180,8565940,7950528,46433,8259737,5959442
"24-Nor-5beta-cholane-3alpha,7alpha,12alpha,22,23-pentol",0,9741,5513,30772,16683,9840,81820,71191,36062,94658,89352,101704,0,0,0,9902,6143,10658
"PE(18:2(9Z,12Z)/18:2(9Z,12Z))",2094076,2376135,2715490,2685426,1452312,2054730,1069364,1240586,1169229,1243682,588904,840758,1527356,1699028,960815,1017416,1880873,2858494
"1-{1-hydroxy-6-methoxy-3-methyl-8-[(3,4,5-trihydroxy-6-{[(1H-indol-3-yl)methoxy]methyl}oxan-2-yl)oxy]naphthalen-2-yl}-4-(1H-pyrrol-3-yl)butane-1,4-dione",6558,3119,6143,39705,24878,22159,935267,748152,87724,3220526,1669686,1396438,673950,620192,664963,2691,2630,6660
N-Benzoylaspartic acid.4,46224,51150,95788,278030,315513,313149,214178,303144,212703,255937,372584,345814,437604,410241,409737,56474,101938,127925
"PA(18:0/18:2(9Z,12Z)).1",394398,279159,247810,457159,282125,271393,563919,603609,455581,545928,495272,511642,484599,348981,408154,4381,313670,392692
2-Dodecylbenzenesulfonic acid,11870954,5116766,3444784,8231432,5250618,8622952,5793311,6469742,6323258,6509072,7020597,5191350,8955149,8432240,5670416,520401,5103181,4706364
PubChem_6330567.1,174170,299340,288745,148952,111142,107853,55175,69342,97552,51633,54090,75058,83187,80010,75069,362161,238039,181044
N-Undecylbenzenesulfonic acid,701153,619437,559135,589735,393450,593352,543082,600233,548372,585797,636491,510674,756135,785993,533933,1425076,333410,378151
PubChem_85776225,593689,559764,612143,550575,368147,354677,193242,196882,228250,197178,213968,181973,184120,149554,152143,650610,607387,445056
"4-[[(3aR,5aR,5bR,7aR,9S,11aR,11bR,13aS)-5a,5b,8,8,11a-pentamethyl-3a-[(5-methylpyridine-3-carbonyl)amino]-2-oxo-1-propan-2-yl-4,5,6,7,7a,9,10,11,11b,12,13,13a-dodecahydro-3H-cyclopenta[a]chrysen-9-yl]oxy]-2,2-dimethyl-4-oxobutanoic acid",52866,24120,17744,24244,76600,36232,46962,159236,119485,99435,182585,136626,66580,25901,31405,25330,20191,18533
"PS(19:0/18:2(9Z,12Z))",464475,696621,649010,584191,533551,473871,172013,255449,53849,178023,125357,78390,254947,315079,167349,530669,597256,668713
PubChem_117167908,275074,737515,588631,325190,313417,411196,203307,148590,275191,234588,607855,286833,157788,109317,215968,803803,419490,311732
PubChem_88586713,99188,132107,118340,110705,68326,136394,158557,120253,127606,163518,158859,146145,111644,130042,89562,205562,101714,94278
PubChem_80580140,447933,727546,757816,392265,356237,414700,238692,241790,269160,256071,260964,244505,203895,196496,183054,787827,581761,474993
PubChem_3730755,1761802,656713,670127,640674,2061263,1470634,1787361,2632141,1838850,2071788,2124255,1784401,1801713,2902907,1590599,227031,358679,1199147
"N-cyclohexyl-2,3,3,3-tetrafluoro-2-[1,1,2,3,3,3-hexafluoro-2-(1,1,2,2,3,3,3-heptafluoropropoxy)propoxy]propanamide",28390,0,7059,6480,29548,8363,29727,82289,18879,57898,27496,45784,73094,92474,21548,4811,30409,33410
UNPD215331,66295,235816,273648,29719,32515,24308,25468,0,0,0,9100,16631,0,10565,0,113923,49790,53813
"PI(20:4(5Z,8Z,11Z,14Z)/18:3(6Z,9Z,12Z))",73632,54865,41684,46161,43915,73573,137625,192786,165942,235766,248253,223253,254987,195524,91859,26377,15773,9410
MSJ00057 L-gamma-Glutamyl-S-4-(2-hydroxybutyl)-L-cysteinyl-glycine,685,2399,3434,262862,253719,227810,238475,381609,489869,883623,391304,262021,494754,742767,253164,213681,135428,134757
2-Dodecylbenzenesulfonic acid.1,1200086,1661076,1908643,1038935,562572,1113385,789255,688714,786728,885427,977197,695611,1120751,911221,703827,1941812,600455,581502
PubChem_23239247,345657,809227,662772,482564,363289,315045,117149,199347,414036,254765,242141,234175,69565,79100,63746,416169,322258,212403
"7-(12'-{3-[9-(2-benzofuran-4-yl)-8-benzyl-2-imino-1,3-diazacyclodec-6-yn-4-yl]cyclopentyl}-4',12'-dimethyl-9'-methylidene-5'-oxaspiro[cyclopentane-1,7'-tricyclo[8.2.0.0?,?]dodecan]-4-yl)-decahydronaphthalene-2,8a-diol",38059,3207,12875,30582,20676,32127,77904,168709,129853,83463,152165,178052,215426,199416,130187,12046,13729,19789
PubChem_54182309,281176,425171,393097,200389,162212,164646,166869,165956,167181,173567,174453,154463,166326,165913,163233,514697,365520,264585
"PA(18:0/18:2(9Z,12Z)).2",407492,259343,224780,385633,283151,297999,563919,623420,455581,567051,477715,523119,514944,380622,423887,6719,313670,392692
"(1R,2R,8S,13R)-4,11-dioxo-3,5,7,10,12,14,15-heptaoxa-4lambda5,11lambda5-diphosphapentacyclo[9.2.1.14,6.02,6.08,13]pentadecane-1,2,8,9,13-pentol.2",150476,53433,47358,176809,330224,244826,481754,438982,374691,450750,400164,375458,468885,415366,439853,2366,92148,172624
PubChem_71387193,237485,282051,260754,216992,156995,173547,98440,85397,110100,92397,80384,89315,60075,64901,54292,245683,246507,228900
Ustiloxin D,0,0,0,0,0,0,4965,703,0,16026,14034,7955,147819,153764,56120,620,2471,5420
PubChem_11205,48124,3496,0,120172,98477,93859,97832,103711,146286,109883,121091,121580,98222,88520,78434,0,46435,66228
PubChem_134860106.3,406307,451952,443862,417878,323329,375694,174889,179627,239918,173942,169686,160971,125098,120126,123544,375078,468796,410947
"20-[(2-aminopyridin-4-yl)methyl]-7-hydroxy-18-(1-hydroxypentan-2-yl)-8-methoxy-4-phenyltricyclo[14.5.0.0?,??]henicosa-5(10),6,8-trien-2-yne-13,15-dione",24312,39906,21196,0,31518,252586,9925,267206,28382,286285,53299,42422,0,332126,16527,17113,19693,36674
PubChem_129961729,118697,118930,160126,343411,535383,465660,384572,467303,431690,395595,436754,463093,166084,227783,214380,59684,85632,121364
Decylbenzenesulfonic acid,4355886,220919,172499,3273186,2943656,2905373,3812422,3388308,2671844,4803118,3788232,2637218,6397729,5113792,4733880,109746,1475194,2037823
Verbesinoside D;(+)-Verbesinoside D,0,0,0,322686,481015,604316,363216,883149,1222428,155222,348566,448629,9549,10839,152811,7763,0,15405
"3-[22'-amino-31'-(cyclopentyloxy)-11',32'-dihydroxy-35'-(methoxymethyl)-6'-methyl-21',23'-diazaspiro[cyclohexane-1,20'-heptacyclo[22.11.1.1?,??.1??,??.0?,?.0?,??.0??,??]octatriacontan]-2',9',11',13'(38'),15'(37'),16',18',22',28',30',32'-undecaen-26'-yn-29'-yl]-1-[3-ethyl-2,4-bis(hydroxymethyl)cyclohex-1-en-1-yl]propan-1-one",68661,50293,31282,26807,77470,48355,81100,72186,58697,41529,60001,40400,88865,119718,89620,56474,44811,55095
Kaempferol 3-(2G-xylosylrutinoside)-7-glucoside,263529,87851,226455,101423,118309,86570,516204,430946,99934,156411,503528,387303,243082,357376,712819,114094,56985,123611
Leucyl-Cysteine,5529,2797,6592,1642,4208,4204,32007,18714,4458,62534,27007,30849,330670,422222,161168,2313,5161,9114
"7-{[4,5-dihydroxy-6-(hydroxymethyl)-3-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy]oxan-2-yl]oxy}-2H-chromen-2-one",0,0,0,4218,12748,13547,75378,39690,19062,56956,34508,29664,47619,67417,50187,2939,0,9228
PubChem_135051604,272293,277463,234402,181137,154759,170874,85719,100343,130986,105867,121192,79237,83467,65369,83330,282134,269147,223504
"PA(18:0/18:2(9Z,12Z)).3",396043,359859,451390,423456,202194,191696,589718,653196,614370,812953,582170,659415,567802,560266,472755,143399,315586,259873
"2-(3,5'-dihydroxy-4'-{7-hydroxy-2-[3-(2-methoxyethyl)-3,6-dimethyl-4-azabicyclo[9.3.1]pentadeca-1(14),6,11(15),12-tetraen-9-yl]dodeca-1,3,5-trien-6-yl}-8-(2-hydroxyethyl)-3-[2-(methylamino)ethyl]spiro[bicyclo[3.3.1]nonane-2,1'-cyclopentan]-6-en-9-ylidene)propanal",123703,575030,133369,282471,197502,191417,519987,199767,317059,322363,274600,262380,529385,687576,242097,397847,147932,293006
"5-(5-bromo-2-chlorophenyl)-3-pyridin-4-yl-1,2,4-oxadiazole.1",89497,85842,99575,227208,312612,296812,265681,321779,267918,246555,275184,284954,104792,152196,146475,36918,57962,89656
"5-(5-bromo-2-chlorophenyl)-3-pyridin-4-yl-1,2,4-oxadiazole.2",89497,85842,99575,227208,312612,296812,265681,321779,267918,201552,275184,284954,104792,122987,146475,36918,57962,89656
"1,2-Di-O-palmitoyl-3-O-(6-sulfoquinovopyranosyl)glycerol",551216,557909,1008907,763846,713786,1056563,1434139,2135979,1264793,1466134,3427905,1813475,1689140,509956,969712,305725,1390713,1456940
N-Benzoylaspartic acid.5,77780,112599,181140,584093,512714,532938,247235,323549,263303,284910,405727,407500,473588,463482,409002,185061,210800,240967
"PG(18:3(6Z,9Z,12Z)/15:1(9Z)).1",459899,264517,251110,341521,205964,243824,421287,327082,479633,397886,519240,675437,282949,187588,238247,45527,345374,501545
UNPD220694,0,1670,3515,0,0,0,21437,29076,0,1795,10682,10172,34739,21713,16331,54558,46174,20617
PubChem_117167890,348976,736762,774403,331700,309955,423868,218525,215775,297532,226388,273743,253286,185136,195506,198965,845450,450346,351764
UNPD104654,91618,47931,31200,153501,200077,211432,245447,271958,225405,316693,321311,318442,320559,289459,302322,11512,83264,100443
PubChem_19362160,977520,418170,471961,2271383,2519842,2589849,2356426,2990347,3568722,2918826,2891942,3154109,2718718,2827436,2487908,224833,650799,936451
"(1R,2R,8S,13R)-4,11-dioxo-3,5,7,10,12,14,15-heptaoxa-4lambda5,11lambda5-diphosphapentacyclo[9.2.1.14,6.02,6.08,13]pentadecane-1,2,8,9,13-pentol.3",199951,64246,73689,213493,377714,386433,563039,530398,450566,535542,435793,553983,606221,477900,505258,19919,98149,180357
Buddlejoside A10,0,28098,11705,34608,0,12925,165963,148427,25141,155706,66263,89945,86646,22434,56862,4060,8406,11774
"3,6,9,12,15,18,21,24,27,30-decaoxaoctatetracont-39-enoic acid",1171665,975547,1118120,1122642,1285202,1048252,890449,1009854,1759763,1365430,915815,809582,1309748,1142726,2095617,1621,1172159,1966922
LQA00328 PI(16:1/13-HODE),70712,90276,72080,115435,70639,227914,96720,91614,126384,96747,253071,165184,212573,96572,125239,84036,159526,201979
(R)-Rutaretin 1'-(6''-sinapoylglucoside),435087,478864,602799,786609,897796,567590,258650,238150,713209,1121417,171634,311501,389733,428896,104845,591543,525656,555058
dicloromezotiaz,2615128,1003171,991687,1968797,3213206,2172818,2725804,4006071,2766622,3079954,3174507,2694634,2705872,4360292,2381871,341792,545027,1814590
Ammonificin C,81960,20340,10205,23744,25562,20464,52551,55546,32315,54227,30688,39760,41408,88611,26707,6930,37545,58844
N-Benzoylaspartic acid.6,49875,140283,181778,776749,544593,601670,253019,307777,290494,255394,423066,351939,511607,428237,414223,239746,240370,207719
UNPD133949,882228,1260081,1436141,909283,1291459,902916,2915156,5333790,1208387,687860,2141948,1416729,2187031,1075326,3715165,1010251,677906,2435427
UNPD130293,8640,0,0,0,0,12796,0,22437,0,25942,13423,16828,115689,125906,49126,27135,24406,19939
PubChem_129963728,516157,714053,676216,420760,385740,406821,236636,245014,267424,241640,233459,225478,193828,203017,193670,795124,592425,455880
Tridecylbenzenesulfonic acid.1,8269803,1259433,678509,6008926,3600115,5490658,3948913,4248826,4407984,4392421,4495951,2876652,6234777,5361178,3837313,280982,3754154,3468216
4-{[(1-hydroxy-9-oxo-9H-xanthen-3-yl)oxy]methyl}benzoic acid,7890,144226,65505,355460,416556,138466,95838,118641,219962,294450,51169,127021,289828,409491,99720,273562,391952,305233
"N-[1-(benzenesulfonyl)-2,2-dichloroethenyl]-4-methylbenzamide",280317,296154,250405,284074,170431,365348,314713,84206,281522,165848,134315,112472,128122,234396,95492,326890,539437,616102
UNPD11450,0,0,0,0,0,0,0,0,0,5156,0,0,74960,127518,20554,7277,6937,3602
