Score,InChI,FragmenterScore_Values,MaximumTreeDepth,MonoisotopicMass,Identifier,MolecularFormula,InChIKey3,SMILES,FormulasOfExplPeaks,InChIKey2,InChIKey1,FragmenterScore,ExplPeaks,InChIKey,NoExplPeaks,NumberPeaksUsed
1.0,"InChI=1S/C8H8O4/c1-12-5-2-3-7(9)6(4-5)8(10)11/h2-4,9H,1H3,(H,10,11)",348.0;360.0,2,168.0422587,36148,C8H8O4,N,COc1ccc(O)c(C(=O)O)c1,123.0455:[C7H7O2]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,IZZIWIAOVZOBLF,200.1022241667642,123.0455_999.0;152.0451_102.9,IZZIWIAOVZOBLF-UHFFFAOYSA-N,2,2
1.0,"InChI=1S/C8H8O4/c9-6-1-5(3-8(11)12)2-7(10)4-6/h1-2,4,9-10H,3H2,(H,11,12)",348.0;360.0,2,168.0422587,37259,C8H8O4,N,O=C(O)Cc1cc(O)cc(O)c1,123.0455:[C7H7O2]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,IOVOJJDSFSXJQN,200.1022241667642,123.0455_999.0;152.0451_102.9,IOVOJJDSFSXJQN-UHFFFAOYSA-N,2,2
1.0,"InChI=1S/C8H8O4/c1-12-6-4-2-3-5(9)7(6)8(10)11/h2-4,9H,1H3,(H,10,11)",348.0;360.0,2,168.0422587,49029,C8H8O4,N,COc1cccc(O)c1C(=O)O,123.0455:[C7H7O2]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,AAUQLHHARJUJEH,200.1022241667642,123.0455_999.0;152.0451_102.9,AAUQLHHARJUJEH-UHFFFAOYSA-N,2,2
1.0,"InChI=1S/C8H8O4/c1-12-5-2-3-6(8(10)11)7(9)4-5/h2-4,9H,1H3,(H,10,11)",348.0;360.0,2,168.0422587,53971,C8H8O4,N,COc1ccc(C(=O)O)c(O)c1,123.0455:[C7H7O2]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,MRIXVKKOHPQOFK,200.1022241667642,123.0455_999.0;152.0451_102.9,MRIXVKKOHPQOFK-UHFFFAOYSA-N,2,2
1.0,"InChI=1S/C8H8O4/c9-6-3-1-2-5(8(6)12)4-7(10)11/h1-3,9,12H,4H2,(H,10,11)",348.0;360.0,2,168.0422587,58533,C8H8O4,N,O=C(O)Cc1cccc(O)c1O,123.0455:[C7H7O2]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,KEQGFEVKJCGTKB,200.1022241667642,123.0455_999.0;152.0451_102.9,KEQGFEVKJCGTKB-UHFFFAOYSA-N,2,2
1.0,"InChI=1S/C8H8O4/c9-7(10)8(11,12)6-4-2-1-3-5-6/h1-5,11-12H,(H,9,10)",348.0;360.0,2,168.0422587,59367,C8H8O4,N,O=C(O)C(O)(O)c1ccccc1,123.0455:[C7H7O2]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,VKVOJYUPJRVDPP,200.1022241667642,123.0455_999.0;152.0451_102.9,VKVOJYUPJRVDPP-UHFFFAOYSA-N,2,2
1.0,"InChI=1S/C8H8O4/c9-6-2-1-5(3-8(11)12)7(10)4-6/h1-2,4,9-10H,3H2,(H,11,12)",348.0;360.0,2,168.0422587,72163,C8H8O4,N,O=C(O)Cc1ccc(O)cc1O,123.0455:[C7H7O2]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,FSQDURCMBCGCIK,200.1022241667642,123.0455_999.0;152.0451_102.9,FSQDURCMBCGCIK-UHFFFAOYSA-N,2,2
1.0,"InChI=1S/C8H8O4/c9-6-1-3-7(4-2-6)12-5-8(10)11/h1-4,9H,5H2,(H,10,11)",348.0;360.0,2,168.0422587,86800,C8H8O4,N,O=C(O)COc1ccc(O)cc1,123.0455:[C7H7O2]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,PKGWLCZTTHWKIZ,200.1022241667642,123.0455_999.0;152.0451_102.9,PKGWLCZTTHWKIZ-UHFFFAOYSA-N,2,2
1.0,"InChI=1S/C8H8O4/c9-6-1-3-8(12,4-2-6)5-7(10)11/h1-4,12H,5H2,(H,10,11)",348.0;360.0,2,168.0422587,257665,C8H8O4,N,O=C1C=CC(O)(CC(=O)O)C=C1,123.0455:[C7H7O2]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,RFJUCKOEXRTZPN,200.1022241667642,123.0455_999.0;152.0451_102.9,RFJUCKOEXRTZPN-UHFFFAOYSA-N,2,2
1.0,"InChI=1S/C8H8O4/c9-7(10)5-3-1-2-4-6(5)8(11)12/h1-6H,(H,9,10)(H,11,12)",348.0;360.0,2,168.0422587,305403,C8H8O4,N,O=C(O)C1C=CC=CC1C(=O)O,123.0455:[C7H7O2]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,OYUWHGGWLCJJNP,200.1022241667642,123.0455_999.0;152.0451_102.9,OYUWHGGWLCJJNP-UHFFFAOYSA-N,2,2
1.0,"InChI=1S/C8H8O4/c1-2-5-3-6(8(10)11)12-7(9)4-5/h3-4H,2H2,1H3,(H,10,11)",348.0;360.0,2,168.0422587,320731,C8H8O4,N,CCc1cc(C(=O)O)oc(=O)c1,123.0455:[C7H7O2]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,MLQUXOCAFOIUKM,200.1022241667642,123.0455_999.0;152.0451_102.9,MLQUXOCAFOIUKM-UHFFFAOYSA-N,2,2
1.0,"InChI=1S/C8H8O4/c1-2-6(9)4-3-5-7(10)8(11)12/h2-5,10H,1H2,(H,11,12)",348.0;360.0,2,168.0422587,352435,C8H8O4,N,C=CC(=O)C=CC=C(O)C(=O)O,123.0455:[C7H7O2]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,BJIODCHLKBGSCT,200.1022241667642,123.0455_999.0;152.0451_102.9,BJIODCHLKBGSCT-UHFFFAOYSA-N,2,2
1.0,"InChI=1S/C8H8O4/c1-4-2-5(9)7(8(11)12)6(10)3-4/h2-3,9-10H,1H3,(H,11,12)",348.0;360.0,2,168.0422587,364308,C8H8O4,N,Cc1cc(O)c(C(=O)O)c(O)c1,123.0455:[C7H7O2]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,YBZAVRDNSPUMFK,200.1022241667642,123.0455_999.0;152.0451_102.9,YBZAVRDNSPUMFK-UHFFFAOYSA-N,2,2
1.0,"InChI=1S/C8H8O4/c1-12-7-4-5(9)2-3-6(7)8(10)11/h2-4,9H,1H3,(H,10,11)",348.0;360.0,2,168.0422587,413005,C8H8O4,N,COc1cc(O)ccc1C(=O)O,123.0455:[C7H7O2]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,GWYPJBKNXSRAPX,200.1022241667642,123.0455_999.0;152.0451_102.9,GWYPJBKNXSRAPX-UHFFFAOYSA-N,2,2
1.0,"InChI=1S/C8H8O4/c1-12-7-3-2-5(9)4-6(7)8(10)11/h2-4,9H,1H3,(H,10,11)",348.0;360.0,2,168.0422587,432127,C8H8O4,N,COc1ccc(O)cc1C(=O)O,123.0455:[C7H7O2]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,FXMQSVMVTHLCSF,200.1022241667642,123.0455_999.0;152.0451_102.9,FXMQSVMVTHLCSF-UHFFFAOYSA-N,2,2
1.0,"InChI=1S/C8H8O4/c1-12-7-5(8(10)11)3-2-4-6(7)9/h2-4,9H,1H3,(H,10,11)",348.0;360.0,2,168.0422587,460539,C8H8O4,N,COc1c(O)cccc1C(=O)O,123.0455:[C7H7O2]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,DSMHCSBCMFQGAZ,200.1022241667642,123.0455_999.0;152.0451_102.9,DSMHCSBCMFQGAZ-UHFFFAOYSA-N,2,2
1.0,"InChI=1S/C8H8O4/c1-12-7-3-5(8(10)11)2-6(9)4-7/h2-4,9H,1H3,(H,10,11)",348.0;360.0,2,168.0422587,467742,C8H8O4,N,COc1cc(O)cc(C(=O)O)c1,123.0455:[C7H7O2]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,TUUBOHWZSQXCSW,200.1022241667642,123.0455_999.0;152.0451_102.9,TUUBOHWZSQXCSW-UHFFFAOYSA-N,2,2
1.0,"InChI=1S/C8H8O4/c9-6-3-5(7(10)4-6)1-2-8(11)12/h1-3,7,10H,4H2,(H,11,12)",348.0;360.0,2,168.0422587,469859,C8H8O4,N,O=C(O)C=CC1=CC(=O)CC1O,123.0455:[C7H7O2]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,WONDPHGHRLIPCB,200.1022241667642,123.0455_999.0;152.0451_102.9,WONDPHGHRLIPCB-UHFFFAOYSA-N,2,2
1.0,"InChI=1S/C8H8O4/c9-4-6-2-1-5(8(11)12)3-7(6)10/h1-3,9-10H,4H2,(H,11,12)",348.0;360.0,2,168.0422587,475661,C8H8O4,N,O=C(O)c1ccc(CO)c(O)c1,123.0455:[C7H7O2]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,LUQAZOYFYBTSKU,200.1022241667642,123.0455_999.0;152.0451_102.9,LUQAZOYFYBTSKU-UHFFFAOYSA-N,2,2
1.0,"InChI=1S/C8H8O4/c1-4-6(9)3-2-5(7(4)10)8(11)12/h2-3,9-10H,1H3,(H,11,12)",348.0;360.0,2,168.0422587,507741,C8H8O4,N,Cc1c(O)ccc(C(=O)O)c1O,123.0455:[C7H7O2]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,KZCSDJKWEYGAIX,200.1022241667642,123.0455_999.0;152.0451_102.9,KZCSDJKWEYGAIX-UHFFFAOYSA-N,2,2
1.0,"InChI=1S/C8H8O4/c1-4-6(9)2-5(8(11)12)3-7(4)10/h2-3,9-10H,1H3,(H,11,12)",348.0;360.0,2,168.0422587,514680,C8H8O4,N,Cc1c(O)cc(C(=O)O)cc1O,123.0455:[C7H7O2]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,KMRRXSZDSGYLCD,200.1022241667642,123.0455_999.0;152.0451_102.9,KMRRXSZDSGYLCD-UHFFFAOYSA-N,2,2
1.0,"InChI=1S/C8H8O4/c1-4-3-6(9)12-5(2)7(4)8(10)11/h3H,1-2H3,(H,10,11)",348.0;360.0,2,168.0422587,532582,C8H8O4,N,Cc1cc(=O)oc(C)c1C(=O)O,123.0455:[C7H7O2]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,QOADIMYPCZMZSG,200.1022241667642,123.0455_999.0;152.0451_102.9,QOADIMYPCZMZSG-UHFFFAOYSA-N,2,2
1.0,"InChI=1S/C8H8O4/c9-7(10)5-3-1-2-4-6(5)8(11)12/h1,3H,2,4H2,(H,9,10)(H,11,12)",348.0;360.0,2,168.0422587,542033,C8H8O4,N,O=C(O)C1=C(C(=O)O)CCC=C1,123.0455:[C7H7O2]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,GOWHHUDNXNDUAS,200.1022241667642,123.0455_999.0;152.0451_102.9,GOWHHUDNXNDUAS-UHFFFAOYSA-N,2,2
1.0,"InChI=1S/C8H8O4/c1-4-6(8(11)12)2-5(9)3-7(4)10/h2-3,9-10H,1H3,(H,11,12)",348.0;360.0,2,168.0422587,557095,C8H8O4,N,Cc1c(O)cc(O)cc1C(=O)O,123.0455:[C7H7O2]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,SHHIMUFCXCXSMK,200.1022241667642,123.0455_999.0;152.0451_102.9,SHHIMUFCXCXSMK-UHFFFAOYSA-N,2,2
0.7943368241360416,"InChI=1S/C8H8O4/c9-4-8(12)5-1-2-6(10)7(11)3-5/h1-4,8,10-12H/t8-/m0/s1",708.0;360.0,2,168.0422587,44650,C8H8O4,N,O=C[C@H](O)c1ccc(O)c(O)c1,123.0455:[C7H6O2]+H+;152.0451:[C8H7O3]+H+,QMMMGPOBSA,YUGMCLJIWGEKCK,158.94856524718574,123.0455_999.0;152.0451_102.9,YUGMCLJIWGEKCK-QMMMGPOBSA-N,2,2
0.7943368241360416,"InChI=1S/C8H8O4/c1-12-6-3-2-5(4-9)7(10)8(6)11/h2-4,10-11H,1H3",708.0;360.0,2,168.0422587,74876,C8H8O4,N,COc1ccc(C=O)c(O)c1O,123.0455:[C7H6O2]+H+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,OJZYLUUHIAKDJT,158.94856524718574,123.0455_999.0;152.0451_102.9,OJZYLUUHIAKDJT-UHFFFAOYSA-N,2,2
0.7943368241360416,"InChI=1S/C8H8O4/c1-12-7-3-5(4-9)2-6(10)8(7)11/h2-4,10-11H,1H3",708.0;360.0,2,168.0422587,84759,C8H8O4,N,COc1cc(C=O)cc(O)c1O,123.0455:[C7H6O2]+H+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,RRKMWVISRMWBAL,158.94856524718574,123.0455_999.0;152.0451_102.9,RRKMWVISRMWBAL-UHFFFAOYSA-N,2,2
0.7943368241360416,"InChI=1S/C8H8O4/c1-12-8-6(10)2-5(4-9)3-7(8)11/h2-4,10-11H,1H3",708.0;360.0,2,168.0422587,98684,C8H8O4,N,COc1c(O)cc(C=O)cc1O,123.0455:[C7H6O2]+H+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,UAFQVVYJCLAIGY,158.94856524718574,123.0455_999.0;152.0451_102.9,UAFQVVYJCLAIGY-UHFFFAOYSA-N,2,2
0.7943368241360416,"InChI=1S/C8H8O4/c9-3-5-1-6(11)2-8(12)7(5)4-10/h1-2,4,9,11-12H,3H2",708.0;360.0,2,168.0422587,393310,C8H8O4,N,O=Cc1c(O)cc(O)cc1CO,123.0455:[C7H6O2]+H+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,QCDFFGWKIQHYBT,158.94856524718574,123.0455_999.0;152.0451_102.9,QCDFFGWKIQHYBT-UHFFFAOYSA-N,2,2
0.7943368241360416,"InChI=1S/C8H8O4/c1-5(4-9)7-2-6(10)3-8(11)12-7/h2-5,10H,1H3",708.0;360.0,2,168.0422587,397418,C8H8O4,N,CC(C=O)c1cc(O)cc(=O)o1,123.0455:[C7H6O2]+H+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,XVKTWSZJQDOMMI,158.94856524718574,123.0455_999.0;152.0451_102.9,XVKTWSZJQDOMMI-UHFFFAOYSA-N,2,2
0.7943368241360416,"InChI=1S/C8H8O4/c1-12-8-2-5(4-9)6(10)3-7(8)11/h2-4,10-11H,1H3",708.0;360.0,2,168.0422587,546113,C8H8O4,N,COc1cc(C=O)c(O)cc1O,123.0455:[C7H6O2]+H+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,ZFZAFNQYRZGWNK,158.94856524718574,123.0455_999.0;152.0451_102.9,ZFZAFNQYRZGWNK-UHFFFAOYSA-N,2,2
0.7902533647110169,"InChI=1S/C8H8O4/c1-4-2-5(9)7-8(6(4)10)12-3-11-7/h2,9-10H,3H2,1H3",720.0;360.0,2,168.0422587,431079,C8H8O4,N,Cc1cc(O)c2c(c1O)OCO2,123.0455:[C7H6O2]+H+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,BVWJFDHKOJMNQI,158.13145593394356,123.0455_999.0;152.0451_102.9,BVWJFDHKOJMNQI-UHFFFAOYSA-N,2,2
0.7630906411588303,"InChI=1S/C8H8O4/c1-5(9)2-7-3-6(10)4-8(11)12-7/h3-4,10H,2H2,1H3",808.0;360.0,2,168.0422587,38814,C8H8O4,N,CC(=O)Cc1cc(O)cc(=O)o1,123.0455:[C7H8O2-H]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,STVPTNMFKNDFLX,152.69613453672406,123.0455_999.0;152.0451_102.9,STVPTNMFKNDFLX-UHFFFAOYSA-N,2,2
0.7630906411588303,"InChI=1S/C8H8O4/c1-4-3-6(10)7(5(2)9)8(11)12-4/h3,10H,1-2H3",808.0;360.0,2,168.0422587,64181,C8H8O4,N,CC(=O)c1c(O)cc(C)oc1=O,123.0455:[C7H8O2-H]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,PKLPQOJFHFGVBS,152.69613453672406,123.0455_999.0;152.0451_102.9,PKLPQOJFHFGVBS-UHFFFAOYSA-N,2,2
0.7630906411588303,"InChI=1S/C8H8O4/c1-5(10)7-3-2-6(4-9)8(11)12-7/h2-3,9H,4H2,1H3",808.0;360.0,2,168.0422587,316949,C8H8O4,N,CC(=O)c1ccc(CO)c(=O)o1,123.0455:[C7H8O2-H]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,XDVHNDSJLILZDR,152.69613453672406,123.0455_999.0;152.0451_102.9,XDVHNDSJLILZDR-UHFFFAOYSA-N,2,2
0.7630906411588303,"InChI=1S/C8H8O4/c1-4(9)3-6-7(10)5(2)8(11)12-6/h3,10H,1-2H3",808.0;360.0,2,168.0422587,371989,C8H8O4,N,CC(=O)C=C1OC(=O)C(C)=C1O,123.0455:[C7H8O2-H]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,UHBRGPQMMUQLOR,152.69613453672406,123.0455_999.0;152.0451_102.9,UHBRGPQMMUQLOR-UHFFFAOYSA-N,2,2
0.7630906411588303,"InChI=1S/C8H8O4/c9-5-1-2-8(11)4-7(10)12-6(8)3-5/h1-2,6,11H,3-4H2",808.0;360.0,2,168.0422587,388979,C8H8O4,N,O=C1C=CC2(O)CC(=O)OC2C1,123.0455:[C7H8O2-H]+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,USTIRZSUTZHBAK,152.69613453672406,123.0455_999.0;152.0451_102.9,USTIRZSUTZHBAK-UHFFFAOYSA-N,2,2
0.7630906411588303,"InChI=1S/C8H8O4/c9-5-2-1-4-3-6(10)12-8(4)7(5)11/h1-3,5,7-9,11H/t5-,7+,8+/m0/s1",808.0;360.0,2,168.0422587,551633,C8H8O4,N,O=C1C=C2C=C[C@H](O)[C@@H](O)[C@@H]2O1,123.0455:[C7H8O2-H]+;152.0451:[C8H7O3]+H+,UIISKDMLSA,VXWUBYBAUIHOHG,152.69613453672406,123.0455_999.0;152.0451_102.9,VXWUBYBAUIHOHG-UIISKDMLSA-N,2,2
0.7370631418725875,"InChI=1S/C8H8O4/c9-4-8(12)6-2-1-5(10)3-7(6)11/h1-3,9-11H,4H2",908.0;360.0,2,168.0422587,57959,C8H8O4,N,O=C(CO)c1ccc(O)cc1O,123.0455:[C7H4O2+2H]+H+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,DYKBONVDLJHZLM,147.48797404004802,123.0455_999.0;152.0451_102.9,DYKBONVDLJHZLM-UHFFFAOYSA-N,2,2
0.7370631418725875,"InChI=1S/C8H8O4/c9-4-8(12)5-1-2-6(10)7(11)3-5/h1-3,9-11H,4H2",908.0;360.0,2,168.0422587,396888,C8H8O4,N,O=C(CO)c1ccc(O)c(O)c1,123.0455:[C7H4O2+2H]+H+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,LNZSKFZHPHBUDI,147.48797404004802,123.0455_999.0;152.0451_102.9,LNZSKFZHPHBUDI-UHFFFAOYSA-N,2,2
0.7342228270884457,"InChI=1S/C8H8O4/c1-12-8(11)5-2-3-6(9)7(10)4-5/h2-4,9-10H,1H3",920.0;360.0,2,168.0422587,37843,C8H8O4,N,COC(=O)c1ccc(O)c(O)c1,123.0455:[C7H4O2+2H]+H+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,CUFLZUDASVUNOE,146.9196207344075,123.0455_999.0;152.0451_102.9,CUFLZUDASVUNOE-UHFFFAOYSA-N,2,2
0.7342228270884457,"InChI=1S/C8H8O4/c1-4-3-5(9)8(12-2)7(11)6(4)10/h3,11H,1-2H3",920.0;360.0,2,168.0422587,42554,C8H8O4,N,COC1=C(O)C(=O)C(C)=CC1=O,123.0455:[C7H4O2+2H]+H+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,GSNBWTFAGXSQCO,146.9196207344075,123.0455_999.0;152.0451_102.9,GSNBWTFAGXSQCO-UHFFFAOYSA-N,2,2
0.7342228270884457,"InChI=1S/C8H8O4/c1-12-8(11)6-3-2-5(9)4-7(6)10/h2-4,9-10H,1H3",920.0;360.0,2,168.0422587,86520,C8H8O4,N,COC(=O)c1ccc(O)cc1O,123.0455:[C7H4O2+2H]+H+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,IIFCLXHRIYTHPV,146.9196207344075,123.0455_999.0;152.0451_102.9,IIFCLXHRIYTHPV-UHFFFAOYSA-N,2,2
0.7342228270884457,"InChI=1S/C8H8O4/c1-4-3-5(9)7(11)8(12-2)6(4)10/h3,11H,1-2H3",920.0;360.0,2,168.0422587,371628,C8H8O4,N,COC1=C(O)C(=O)C=C(C)C1=O,123.0455:[C7H4O2+2H]+H+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,ULWVTWVOKKFTIW,146.9196207344075,123.0455_999.0;152.0451_102.9,ULWVTWVOKKFTIW-UHFFFAOYSA-N,2,2
0.7342228270884457,"InChI=1S/C8H8O4/c1-12-8(11)7-5(9)3-2-4-6(7)10/h2-4,9-10H,1H3",920.0;360.0,2,168.0422587,375394,C8H8O4,N,COC(=O)c1c(O)cccc1O,123.0455:[C7H4O2+2H]+H+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,WCQZCKUNZVMBDC,146.9196207344075,123.0455_999.0;152.0451_102.9,WCQZCKUNZVMBDC-UHFFFAOYSA-N,2,2
0.7342228270884457,"InChI=1S/C8H8O4/c1-12-8(11)5-2-6(9)4-7(10)3-5/h2-4,9-10H,1H3",920.0;360.0,2,168.0422587,405105,C8H8O4,N,COC(=O)c1cc(O)cc(O)c1,123.0455:[C7H4O2+2H]+H+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,RNVFYQUEEMZKLR,146.9196207344075,123.0455_999.0;152.0451_102.9,RNVFYQUEEMZKLR-UHFFFAOYSA-N,2,2
0.7342228270884457,"InChI=1S/C8H8O4/c1-4-7(10)5(9)3-6(12-2)8(4)11/h3,10H,1-2H3",920.0;360.0,2,168.0422587,408917,C8H8O4,N,COC1=CC(=O)C(O)=C(C)C1=O,123.0455:[C7H4O2+2H]+H+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,KGGCKPCQFGNZTC,146.9196207344075,123.0455_999.0;152.0451_102.9,KGGCKPCQFGNZTC-UHFFFAOYSA-N,2,2
0.7342228270884457,"InChI=1S/C8H8O4/c1-4-5(9)3-6(12-2)8(11)7(4)10/h3,10H,1-2H3",920.0;360.0,2,168.0422587,409874,C8H8O4,N,COC1=CC(=O)C(C)=C(O)C1=O,123.0455:[C7H4O2+2H]+H+;152.0451:[C8H7O3]+H+,UHFFFAOYSA,BFOTXRXRHJHTDX,146.9196207344075,123.0455_999.0;152.0451_102.9,BFOTXRXRHJHTDX-UHFFFAOYSA-N,2,2
