File path	File name	Title	MS1 count	MSMS count	PRECURSORMZ	PRECURSORTYPE	Formula rank 1	Theoretical mass	Mass error	Formula score	Databases	Formula rank 2	Theoretical mass	Mass error	Formula score	Databases	Formula rank 3	Theoretical mass	Mass error	Formula score	Databases	Formula rank 4	Theoretical mass	Mass error	Formula score	Databases	Formula rank 5	Theoretical mass	Mass error	Formula score	Databases	Formula rank 6	Theoretical mass	Mass error	Formula score	Databases	Formula rank 7	Theoretical mass	Mass error	Formula score	Databases	Formula rank 8	Theoretical mass	Mass error	Formula score	Databases	Formula rank 9	Theoretical mass	Mass error	Formula score	Databases	Formula rank 10	Theoretical mass	Mass error	Formula score	Databases	
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_124.msp	challenge_124	challenge124	0	32	339.159085184	[M+H]+	C21H22O4	338.151809184	5E-07	3.687	HMDB,KNApSAcK,ChEBI,DrugBank,T3DB,FooDB,LipidMAPS,UNPD,BLEXP,COCONUT,MINE	C13H26N2O6S	338.151157552	-0.0006512	3.183	COCONUT	C12H24FN4O4P	338.151920098	0.0001114	2.844		C13H30N2O2S2Si	338.15179673	-1.2E-05	2.839		C10H24F2N6OSi2	338.151818888	1.02E-05	2.825		C13H23F5O4	338.151650316	-0.0001584	2.824		C10H34N2OSi5	338.151746358	-6.24E-05	2.819		C12H30N2O3SSi2	338.15156688	-0.0002419	2.818		C13H32ClFO2S2	338.151628164	-0.0001806	2.813		C11H26ClF3N4S	338.151880172	7.14E-05	2.807		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_126.msp	challenge_126	challenge126	0	103	839.405976524	[M+H]+	C42H62O17	838.398700524	5E-07	3.842	HMDB,KNApSAcK,FooDB,UNPD,BLEXP,COCONUT,MINE	C26H78N4O13S4Si2	838.398675616	-2.45E-05	3.097		C34H70N2O15S2Si	838.39868807	-1.2E-05	3.097		C27H66N8O17S2	838.398734652	3.46E-05	3.096		C25H80F2N4O9S6Si	838.39868911	-1.1E-05	3.094		C27H73N6O13P3Si2	838.398699346	-7E-07	3.094		C29H63FN12O9S3	838.398712816	1.27E-05	3.094		C31H64F2N6O14Si2	838.398710228	1.02E-05	3.094		C23H62F4N12O12S2	838.398770304	7.02E-05	3.094		C33H72F2N2O11S4	838.398701564	1.5E-06	3.094		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_128.msp	challenge_128	challenge128	0	22	401.1230936	[M+H]+	C21H20O8	400.1158176	5E-07	3.937	HMDB,KNApSAcK,ChEBI,SMPDB,FooDB,LipidMAPS,PlantCyc,UNPD,BLEXP,NPA,COCONUT,MINE	C13H28N2O6S2Si	400.115805146	-1.2E-05	3.01		C11H24ClF3N4O4S	400.115888588	7.14E-05	3.007		C10H24F3N4O5PS	400.115712158	-0.000105	3.005		C14H20N6O6S	400.11650336	0.0006862	3	MINE	C9H21ClN10O4S	400.115647832	-0.0001693	2.996		C11H32N2O4SSi4	400.115984624	0.0001675	2.996		C14H28N2O5S3	400.116034996	0.0002178	2.987		C10H22F2N6O5Si2	400.115827304	1.02E-05	2.986		C6H24N8O8S2	400.115851728	3.46E-05	2.985		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_132.msp	challenge_132	challenge132	0	19	309.112134992	[M+H]+	C19H16O4	308.104858992	5E-07	4.317	HMDB,KNApSAcK,ChEBI,DrugBank,SMPDB,T3DB,FooDB,STOFF,BMDB,LipidMAPS,Urine,Serum,PubChem,PlantCyc,UNPD,BLEXP,NPA,COCONUT,MINE	C11H20N2O6S	308.10420736	-0.0006512	3.53	COCONUT	C12H16N6O2S	308.105544752	0.0006862	3.519	ChEBI,BLEXP	C14H17ClN4O2	308.104003464	-0.0008551	3.399	BLEXP	C10H18FN4O4P	308.104969906	0.0001114	3.191		C11H24N2O2S2Si	308.104846538	-1.2E-05	3.181		C11H17F5O4	308.104700124	-0.0001584	3.153		C10H24N2O3SSi2	308.104616688	-0.0002419	3.152		C11H18ClFN4O3	308.105146336	0.0002878	3.14		C11H26ClFO2S2	308.104677972	-0.0001806	3.133		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_135.msp	challenge_135	challenge135	0	66	885.484226844	[M+H]+	C45H72O17	884.476950844	5E-07	3.92	HMDB,KNApSAcK,ChEBI,FooDB,UNPD,BLEXP,COCONUT,MINE	C22H73FN18O10SSi3	884.476959346	9E-06	3.089		C33H76F4N6O10S2Si	884.476974042	2.37E-05	3.089		C32H73FN12O9S3	884.476963136	1.27E-05	3.089		C36H82F2N2O11S4	884.476951884	1.5E-06	3.089		C41H77ClN4O10S2	884.476964344	1.4E-05	3.089		C37H80N2O15S2Si	884.47693839	-1.2E-05	3.089		C38H81N4O9PSSi3	884.476967392	1.7E-05	3.089		C24H81FN14O7S5Si	884.476950682	3E-07	3.088		C25H76FN16O7P3SSi	884.476974412	2.4E-05	3.088		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_137.msp	challenge_137	challenge137	0	61	579.149702272	[M+H]+	C30H26O12	578.142426272	5E-07	4.022	HMDB,KNApSAcK,ChEBI,FooDB,NANPDB,LipidMAPS,Urine,PubChem,UNPD,BLEXP,NPA,COCONUT,MINE	C30H31BrN2O5	578.141634192	-0.0007916	3.323	COCONUT	C15H30N8O12S2	578.1424604	3.46E-05	3.098		C22H34N2O10S2Si	578.142413818	-1.2E-05	3.097		C16H33F3N2O13SSi	578.142471306	4.55E-05	3.096		C15H35F5N2O9S3	578.1424848	5.9E-05	3.095		C19H30F3N4O9PS	578.14232083	-0.000105	3.094		C14H36N4O14P2S	578.142396092	-2.97E-05	3.092		C20H30ClF3N4O8S	578.14249726	7.14E-05	3.091		C15H37N6O8P3Si2	578.142425094	-7E-07	3.09		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_138.msp	challenge_138	challenge138	0	97	801.499482984	[M+H]+	C42H72O14	800.492206984	5E-07	3.811	HMDB,KNApSAcK,ChEBI,DrugBank,FooDB,PubChem,UNPD,BLEXP,COCONUT,MINE	C34H80N2O12S2Si	800.49219453	-1.2E-05	3.047		C29H73FN12O6S3	800.492219276	1.27E-05	3.045		C33H82F2N2O8S4	800.492208024	1.5E-06	3.045		C35H81N4O6PSSi3	800.492223532	1.7E-05	3.045		C44H69FN4O6S	800.492185148	-2.14E-05	3.045		C38H77ClN4O7S2	800.492220484	1.4E-05	3.045		C24H70N18O6P2S	800.49216622	-4.03E-05	3.044		C30H85ClN6O5S4Si	800.49220803	1.5E-06	3.044		C26H67F3N16O5SSi	800.492241434	3.49E-05	3.043		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_14.msp	challenge_14	challenge14	0	76	865.197440312	[M+H]+	C45H36O18	864.190164312	5E-07	3.908	HMDB,KNApSAcK,ChEBI,FooDB,UNPD,COCONUT,MINE	C29H46N4O20P2S	864.190134132	-2.97E-05	3.115		C25H42F4N8O15P2S	864.190169784	5.9E-06	3.115		C21H51F2N8O14P5S	864.190158902	-5E-06	3.115		C22H47ClF5N4O19PS	864.190151694	-1.22E-05	3.115		C23H58F3N2O13P3SSi4	864.190161586	-2.3E-06	3.115		C32H46F4N2O13P2SSi	864.190123202	-4.07E-05	3.114		C25H57Cl3N4O14P2SSi	864.190206334	4.25E-05	3.114		C26H58BrN4O13PS2Si2	864.190131706	-3.22E-05	3.114		C27H52FN2O18P3SSi	864.190198464	3.46E-05	3.114		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_141.msp	challenge_141	challenge141	0	175	305.211120756	[M+H]+	C19H28O3	304.203844756	5E-07	3.655	HMDB,KNApSAcK,ChEBI,SMPDB,FooDB,BMDB,LipidMAPS,Urine,Serum,PubChem,UNPD,BLEXP,NPA,COCONUT,MINE	C11H36N2OS2Si	304.203832302	-1.2E-05	2.556		C11H28N6O2Si	304.204300666	0.0004564	2.541		C16H30F2OSi	304.20339855	-0.0004458	2.467		C12H36N2S3	304.204062152	0.0002178	2.451		C12H28N6OS	304.204530516	0.0006862	2.41		C17H30F2S	304.2036284	-0.0002159	2.396		C18H32Si2	304.204254084	0.0004098	2.276		C14H29ClN4O	304.202989228	-0.0008551	2.252		C14H31F3OS	304.204771272	0.000927	2.244		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_142.msp	challenge_142	challenge142	0	75	605.44118026	[M+H]+	C36H60O7	604.43390426	5E-07	3.626	HMDB,KNApSAcK,FooDB,UNPD,COCONUT	C28H68N2O5S2Si	604.433891806	-1.2E-05	3.022		C27H62FN4O7P	604.434015174	0.0001114	3.018		C32H56F4N4O2	604.433939912	3.61E-05	3.017		C21H55F2N14O2P	604.43381007	-9.37E-05	3.014		C27H70F2N2OS4	604.4339053	1.5E-06	3.013		C24H61ClN10O3S	604.433734492	-0.0001693	3.008		C22H55ClF2N14O	604.4339865	8.27E-05	3.008		C15H57FN18O2S2	604.433733284	-0.0001705	3.004		C32H66F2O2Si3	604.433867382	-3.64E-05	3.002		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_144.msp	challenge_144	challenge144	0	26	329.101964232	[M+H]+	C18H16O6	328.094688232	5E-07	3.831	HMDB,KNApSAcK,ChEBI,FooDB,NANPDB,LipidMAPS,PubChem,PlantCyc,UNPD,BLEXP,NPA,COCONUT,MINE	C13H17ClN4O4	328.093832704	-0.0008551	2.971	COCONUT	C10H24N2O4S2Si	328.094675778	-1.2E-05	2.762		C9H18FN4O6P	328.094799146	0.0001114	2.739		C10H18ClFN4O5	328.094975576	0.0002878	2.721		C9H24N2O5SSi2	328.094445928	-0.0002419	2.716		C7H20F3N4O3PS	328.09458279	-0.000105	2.687		C7H18F2N6O3Si2	328.094697936	1.02E-05	2.684		C8H20ClF3N4O2S	328.09475922	7.14E-05	2.672		C7H24F2N2O4P2Si	328.094863478	0.0001757	2.669		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_145.msp	challenge_145	challenge145	0	38	347.076143408	[M+H]+	C17H14O8	346.068867408	5E-07	3.991	HMDB,KNApSAcK,ChEBI,FooDB,NANPDB,LipidMAPS,PubChem,PlantCyc,UNPD,BLEXP,NPA,COCONUT,MINE	C10H14N6O6S	346.069553168	0.0006862	3.534	DrugBank,MINE	C9H22N2O6S2Si	346.068854954	-1.2E-05	2.988		C8H16FN4O8P	346.068978322	0.0001114	2.953		C13H10F4N4O3	346.06890306	3.61E-05	2.951		C9H16ClFN4O7	346.069154752	0.0002878	2.947		C7H18ClF3N4O4S	346.068938396	7.14E-05	2.935		C8H22N2O7SSi2	346.068625104	-0.0002419	2.93		C11H7FN10O3	346.068662304	-0.0002047	2.924		C10H22N2O5S3	346.069084804	0.0002178	2.915		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_146.msp	challenge_146	challenge146	0	12	419.097272776	[M+H]+	C20H18O10	418.089996776	5E-07	3.949	HMDB,KNApSAcK,ChEBI,FooDB,NANPDB,STOFF,LipidMAPS,UNPD,BLEXP,NPA,COCONUT,MINE	C20H23BrN2O3	418.089204696	-0.0007916	3.261	COCONUT	C9H20F2N6O7Si2	418.09000648	1.02E-05	3.022		C11H28F2N2O4S4	418.089997816	1.5E-06	3.022		C12H26N2O8S2Si	418.089984322	-1.2E-05	3.022		C16H24F2O5Si3	418.089959898	-3.64E-05	3.021		C15H29ClO5P2S	418.089945968	-5.04E-05	3.021		C10H32FO6PS2Si2	418.090048654	5.23E-05	3.021		C8H25Cl2N6O7P	418.08993913	-5.72E-05	3.02		C16H29Cl3O4Si	418.090068978	7.27E-05	3.019		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_148.msp	challenge_148	challenge148	0	18	355.153999804	[M+H]+	C21H22O5	354.146723804	5E-07	4.289	HMDB,KNApSAcK,ChEBI,FooDB,STOFF,LipidMAPS,PubChem,PlantCyc,UNPD,BLEXP,NPA,COCONUT,MINE	C13H30N2O3S2Si	354.14671135	-1.2E-05	3.397		C12H24FN4O5P	354.146834718	0.0001114	3.391		C12H30N2O4SSi2	354.1464815	-0.0002419	3.385		C13H24ClFN4O4	354.147011148	0.0002878	3.356		C13H32ClFO3S2	354.146542784	-0.0001806	3.346		C10H26F3N4O2PS	354.146618362	-0.000105	3.34		C10H24F2N6O2Si2	354.146733508	1.02E-05	3.328		C10H34N2O2Si5	354.146660978	-6.24E-05	3.326		C9H26F3N4O3PSi	354.146388512	-0.0003348	3.324		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_15.msp	challenge_15	challenge15	0	64	217.047129048	[M+H]+	C5H13O7P	216.039889386	3.68E-05	3.215	KNApSAcK,ChEBI,DrugBank,FooDB,ECMDB,PubChem,PlantCyc,COCONUT,MINE	C10H7F3O2	216.039814124	-3.85E-05	2.936	ChEBI	C8H12N2OS2	216.039105004	-0.0007476	2.662	COCONUT	C4H13FN2O3SSi	216.040018026	0.0001654	2.59		C5H13FN2O2S2	216.040247876	0.0003953	2.529		C4H9FN2O7	216.039378848	-0.0004737	2.498		C8H4N6O2	216.039573368	-0.0002792	2.344		C5H17O3PSSi	216.040528564	0.000676	2.32		C7H9F5Si	216.039367918	-0.0004847	2.262		C12H9FOSi	216.040669658	0.0008171	2.24		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_150.msp	challenge_150	challenge150	0	45	195.0651848	[M+H]+	C10H10O4	194.0579088	5E-07	3.762	HMDB,KNApSAcK,ChEBI,DrugBank,YMDB,T3DB,FooDB,NANPDB,STOFF,LipidMAPS,Urine,Saliva,Feces,Serum,PubChem,PlantCyc,UNPD,BLEXP,NPA,COCONUT,MINE	C7H12F2O2Si	194.057462594	-0.0004458	2.451		C3H10N6O2S	194.05859456	0.0006862	2.388		C8H12F2OS	194.057692444	-0.0002159	2.376		C9H14OSi2	194.058318128	0.0004098	2.37		C5H11ClN4O2	194.057053272	-0.0008551	2.356		C5H13F3O2S	194.058835316	0.000927	2.203		C10H14SSi	194.058547978	0.0006396	2.084												
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_152.msp	challenge_152	challenge152	0	14	247.122974448	[M+H]+	C17H14N2	246.115698448	5E-07	3.364	KNApSAcK,ChEBI,PubChem,PlantCyc,UNPD,BLEXP,NPA,COCONUT,MINE	C9H18N4O2S	246.115046816	-0.0006512	2.459	MINE	C9H15F5N2	246.11553958	-0.0001584	2.438		C7H12F2N8	246.115298824	-0.0003992	2.373		C7H22N4Si3	246.115226294	-0.0004717	2.345		C6H19FN4O3S	246.116189688	0.0004917	2.336		C8H24O4P2	246.114982508	-0.0007155	2.224		C4H13F3N8O	246.116441696	0.0007437	2.208		C8H18N4O3Si	246.114816966	-0.000881	2.128							
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_153.msp	challenge_153	challenge153	0	22	193.049534736	[M+H]+	C10H8O4	192.042258736	5E-07	3.812	HMDB,KNApSAcK,ChEBI,DrugBank,FooDB,NANPDB,STOFF,LipidMAPS,PubChem,PlantCyc,UNPD,BLEXP,NPA,COCONUT,MINE	C3H8N6O2S	192.042944496	0.0006862	2.568		C7H10F2O2Si	192.04181253	-0.0004458	2.563		C5H9ClN4O2	192.041403208	-0.0008551	2.452		C8H10F2OS	192.04204238	-0.0002159	2.442		C9H12OSi2	192.042668064	0.0004098	2.384		C5H11F3O2S	192.043185252	0.000927	2.233		C10H12SSi	192.042897914	0.0006396	1.989												
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_154.msp	challenge_154	challenge154	0	27	280.133204784	[M+H]+	C18H17NO2	279.125928784	5E-07	4.104	HMDB,KNApSAcK,ChEBI,FooDB,UNPD,BLEXP,NPA,COCONUT,MINE	C9H19FN5O2P	279.126039698	0.0001114	3.366		C10H18F5NO2	279.125769916	-0.0001584	3.269		C8H25N3O2Si3	279.12545663	-0.0004717	3.267		C9H25N3OSSi2	279.12568648	-0.0002419	3.227		C10H19ClFN5O	279.126216128	0.0002878	3.215		C7H22FN3O5S	279.126420024	0.0004917	3.212		C8H15F2N7O2	279.12552916	-0.0003992	3.204		C8H27FNO2PSSi	279.125341484	-0.0005868	3.191		C10H17N7OSi	279.126384694	0.0004564	3.157		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_156.msp	challenge_156	challenge156	0	24	285.075749484	[M+H]+	C16H12O5	284.068473484	5E-07	4.223	HMDB,KNApSAcK,ChEBI,DrugBank,YMDB,T3DB,FooDB,NANPDB,STOFF,BMDB,LipidMAPS,Urine,Serum,PubChem,PlantCyc,UNPD,BLEXP,NPA,COCONUT,MINE	C11H13ClN4O3	284.067617956	-0.0008551	3.154	COCONUT	C5H16F3N4O2PS	284.068368042	-0.000105	2.931		C7H14FN4O5P	284.068584398	0.0001114	2.93		C5H14F2N6O2Si2	284.068483188	1.02E-05	2.898		C8H14ClFN4O4	284.068760828	0.0002878	2.895		C8H16N2O7S	284.067821852	-0.0006512	2.873	MINE	C8H20N2O3S2Si	284.06846103	-1.2E-05	2.864		C6H10F2N6O5	284.06807386	-0.0003992	2.859		C6H16ClF3N4OS	284.068544472	7.14E-05	2.856		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_158.msp	challenge_158	challenge158	0	26	282.148854848	[M+H]+	C18H19NO2	281.141578848	5E-07	3.787	HMDB,KNApSAcK,ChEBI,SMPDB,FooDB,Urine,Serum,UNPD,BLEXP,COCONUT,MINE	C8H17F2N7O2	281.141179224	-0.0003992	2.962		C9H21FN5O2P	281.141689762	0.0001114	2.962		C9H27N3OSSi2	281.141336544	-0.0002419	2.924		C10H21ClFN5O	281.141866192	0.0002878	2.881		C8H27N3O2Si3	281.141106694	-0.0004717	2.863		C10H27N3S2Si	281.141566394	-1.2E-05	2.862		C10H19N7OSi	281.142034758	0.0004564	2.823		C12H22F3NOSi	281.142275514	0.0006971	2.777		C10H23N3O4S	281.140927216	-0.0006512	2.735		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_159.msp	challenge_159	challenge159	0	15	517.134052208	[M+H]+	C25H24O12	516.126776208	5E-07	3.915	HMDB,KNApSAcK,ChEBI,FooDB,NANPDB,STOFF,LipidMAPS,Serum,PubChem,PlantCyc,UNPD,BLEXP,COCONUT,MINE	C17H30N2O12P2	516.12739766	0.0006219	2.906	MINE	C17H28N2O14S	516.126124576	-0.0006512	2.891	MINE	C17H32N2O10S2Si	516.126763754	-1.2E-05	2.882		C16H26FN4O12P	516.126887122	0.0001114	2.876		C17H25F5O12	516.12661734	-0.0001584	2.87		C9H34N4O14P2S	516.126746028	-2.97E-05	2.868		C9H27Cl2F4N10O4P	516.126754214	-2.15E-05	2.868		C10H32F4N6O4Si5	516.126749034	-2.67E-05	2.868		C10H35N6O8P3Si2	516.12677503	-7E-07	2.868		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_16.msp	challenge_16	challenge16	0	21	230.153940228	[M+H]+	C15H19NO	229.146664228	5E-07	3.541	HMDB,KNApSAcK,ChEBI,FooDB,NANPDB,STOFF,LipidMAPS,UNPD,BLEXP,NPA,COCONUT,MINE	C7H23N3O3S	229.146012596	-0.0006512	2.475		C5H17F2N7O	229.146264604	-0.0003992	2.312		C7H19N7Si	229.147120138	0.0004564	2.179																																
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_160.msp	challenge_160	challenge160	0	22	271.06009942	[M+H]+	C15H10O5	270.05282342	5E-07	4.236	HMDB,KNApSAcK,ChEBI,DrugBank,T3DB,FooDB,NANPDB,STOFF,BMDB,LipidMAPS,Urine,Feces,Serum,PubChem,PlantCyc,UNPD,BLEXP,NPA,COCONUT,MINE	C7H14N2O7S	270.052171788	-0.0006512	3.069	MINE	C7H18N2O3S2Si	270.052810966	-1.2E-05	3.06		C8H18N2O2S3	270.053040816	0.0002178	3.06		C6H12FN4O5P	270.052934334	0.0001114	3.054		C6H18N2O4SSi2	270.052581116	-0.0002419	3.031		C7H12ClFN4O4	270.053110764	0.0002878	3.019		C13H12F2O2S	270.052607064	-0.0002159	3.015		C10H11ClN4O3	270.051967892	-0.0008551	3	MINE	C7H20ClFO3S2	270.0526424	-0.0001806	2.999		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_161.msp	challenge_161	challenge161	0	33	166.049869084	[M+H]+	C8H7NO3	165.042593084	5E-07	3.78	HMDB,KNApSAcK,ChEBI,DrugBank,SMPDB,YMDB,FooDB,BMDB,PubChem,PlantCyc,UNPD,BLEXP,NPA,COCONUT,MINE	C5H9F2NOSi	165.042146878	-0.0004458	2.421		C6H9F2NS	165.042376728	-0.0002159	2.323		C7H11NSi2	165.043002412	0.0004098	2.265		C3H10F3NOS	165.0435196	0.000927	2.108		C3H8ClN5O	165.041737556	-0.0008551	2.092																						
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_162.msp	challenge_162	challenge162	0	10	137.107324384	[M+H]+	C8H12N2	136.100048384	5E-07	3.855	HMDB,KNApSAcK,ChEBI,DrugBank,YMDB,T3DB,FooDB,STOFF,Urine,ECMDB,Serum,PubChem,UNPD,BLEXP,NPA,COCONUT,MINE																																														
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_163.msp	challenge_163	challenge163	0	38	243.101570308	[M+H]+	C15H14O3	242.094294308	5E-07	4.029	HMDB,KNApSAcK,ChEBI,DrugBank,SMPDB,YMDB,T3DB,FooDB,STOFF,BMDB,LipidMAPS,Urine,Serum,PubChem,PlantCyc,UNPD,BLEXP,NPA,COCONUT,MINE	C6H22N2O2SSi2	242.094052004	-0.0002419	3.016		C6H16FN4O3P	242.094405222	0.0001114	3.003		C7H16ClFN4O2	242.094581652	0.0002878	2.976		C7H22N2OS2Si	242.094281854	-1.2E-05	2.956		C6H24FO2PS2	242.093936858	-0.000357	2.874		C5H12F2N6O3	242.093894684	-0.0003992	2.812		C7H14N6O2Si	242.094750218	0.0004564	2.811		C7H18N2O5S	242.093642676	-0.0006512	2.806		C4H16F2N6Si2	242.094304012	1.02E-05	2.755		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_164.msp	challenge_164	challenge164	0	71	801.499482984	[M+H]+	C42H72O14	800.492206984	5E-07	3.874	HMDB,KNApSAcK,ChEBI,DrugBank,FooDB,PubChem,UNPD,BLEXP,COCONUT,MINE	C34H80N2O12S2Si	800.49219453	-1.2E-05	3.051		C29H73FN12O6S3	800.492219276	1.27E-05	3.049		C33H82F2N2O8S4	800.492208024	1.5E-06	3.049		C35H81N4O6PSSi3	800.492223532	1.7E-05	3.049		C38H77ClN4O7S2	800.492220484	1.4E-05	3.049		C44H69FN4O6S	800.492185148	-2.14E-05	3.049		C24H70N18O6P2S	800.49216622	-4.03E-05	3.048		C28H77N10O8PSSi2	800.492270114	6.36E-05	3.047		C30H85ClN6O5S4Si	800.49220803	1.5E-06	3.047		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_165.msp	challenge_165	challenge165	0	27	217.049534736	[M+H]+	C12H8O4	216.042258736	5E-07	3.912	HMDB,KNApSAcK,ChEBI,DrugBank,T3DB,FooDB,NANPDB,STOFF,Urine,Serum,PubChem,PlantCyc,UNPD,BLEXP,COCONUT,MINE	C3H10FN4O4P	216.04236965	0.0001114	2.754		C4H10ClFN4O3	216.04254608	0.0002878	2.719		C4H16N2O2S2Si	216.042246282	-1.2E-05	2.688		C4H8N6O3Si	216.042714646	0.0004564	2.661		C5H8N6O2S	216.042944496	0.0006862	2.55		C4H12N2O6S	216.041607104	-0.0006512	2.513		C9H10F2O2Si	216.04181253	-0.0004458	2.505		C5H16N2OS3	216.042476132	0.0002178	2.489		C5H14ClN2O3P	216.043056618	0.0007983	2.473	MINE	
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_166.msp	challenge_166	challenge166	0	26	433.149308348	[M+H]+	C22H24O9	432.142032348	5E-07	3.723	HMDB,KNApSAcK,ChEBI,FooDB,NANPDB,LipidMAPS,PubChem,PlantCyc,UNPD,BLEXP,NPA,COCONUT,MINE	C23H28O4S2	432.142901376	0.0008695	3.014	UNPD,BLEXP,COCONUT	C14H32N2O7S2Si	432.142019894	-1.2E-05	3.006		C13H34F2N2O3S4	432.142033388	1.5E-06	2.996		C17H29N4O3PS2	432.141869418	-0.0001625	2.993		C12H36N2O5SSi4	432.142199372	0.0001675	2.992		C15H32N2O6S3	432.142249744	0.0002178	2.988		C11H36N2O6Si5	432.141969522	-6.24E-05	2.984		C17H29ClN4O3SSi	432.141815998	-0.0002159	2.983		C13H32N2O8SSi2	432.141790044	-0.0002419	2.977		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_167.msp	challenge_167	challenge167	0	42	237.075749484	[M+H]+	C12H12O5	236.068473484	5E-07	3.815	HMDB,KNApSAcK,ChEBI,FooDB,NANPDB,UNPD,BLEXP,NPA,COCONUT,MINE	C4H12N6O4Si	236.068929394	0.0004564	2.75		C5H20N2O2S3	236.06869088	0.0002178	2.743		C10H14F2O2S	236.068257128	-0.0002159	2.672		C9H14F2O3Si	236.068027278	-0.0004458	2.657		C5H12N6O3S	236.069159244	0.0006862	2.653		C11H16O2Si2	236.068882812	0.0004098	2.614		C8H8F4N4	236.068509136	3.61E-05	2.61		C6H5FN10	236.06826838	-0.0002047	2.59		C7H13ClN4O3	236.067617956	-0.0008551	2.543		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_168.msp	challenge_168	challenge168	0	24	200.070604528	[M+H]+	C12H9NO2	199.063328528	5E-07	3.317	KNApSAcK,ChEBI,T3DB,UNPD,BLEXP,COCONUT,MINE	C6H12F3NOSi	199.064025194	0.0006971	2.805	ChEBI,STOFF,BLEXP	C3H11FN5O2P	199.063439442	0.0001114	2.444		C4H11ClFN5O	199.063615872	0.0002878	2.409		C9H11F2NSi	199.062882322	-0.0004458	2.355		C4H9N7OSi	199.063784438	0.0004564	2.351		C4H13N3O4S	199.062676896	-0.0006512	2.259		C5H9N7S	199.064014288	0.0006862	2.24		C7H10ClN5	199.062473	-0.0008551	2.144		C7H12F3NS	199.064255044	0.000927	2.101		
D:\DeepMASS2_Data_Processing\Example\Anticancer\msfinder\challenge_17.msp	challenge_17	challenge17	0	31	409.200949996	[M+H]+	C25H28O5	408.193673996	5E-07	3.796	HMDB,KNApSAcK,ChEBI,FooDB,LipidMAPS,UNPD,BLEXP,NPA,COCONUT,MINE	C20H29ClN4O3	408.192818468	-0.0008551	3.332	COCONUT,MINE	C17H32N2O7S	408.193022364	-0.0006512	3.268	UNPD,COCONUT	C18H28N6O3S	408.194359756	0.0006862	3.211	COCONUT	C16H30FN4O5P	408.19378491	0.0001114	2.901		C10H32N8O5S2	408.193708124	3.46E-05	2.899		C17H36N2O3S2Si	408.193661542	-1.2E-05	2.897		C9H32N8O6SSi	408.193478274	-0.0001953	2.881		C16H36N2O4SSi2	408.193431692	-0.0002419	2.878		C14H32F3N4O2PS	408.193568554	-0.000105	2.867		
