,Challenge,True Inchikey2D,SIRIUS Ranking,MSFinder Ranking,DeepMASS Ranking,DeepMASS Ranking (Public),MetFrag Ranking,CFM-ID Ranking,SMILES
19,challenge_31,BMQGVNUXMIRLCK,1.0,2.0,1.0,2.0,2.0,1.0,CC1=C([C@@H](OC)C([C@@]2(C)[C@@]3([H])[C@](OC(C)=O)(CO4)[C@H]4C[C@@H]2OC)=O)C(C)(C)[C@@]([C@H]3OC(C5=CC=CC=C5)=O)(O)C[C@@H]1OC([C@H](O)[C@H](C6=CC=CC=C6)NC(OC(C)(C)C)=O)=O
20,challenge_34,CXBGOBGJHGGWIE,1.0,3.0,1.0,1.0,2.0,4.0,CC[C@@]1(C=CCN2CC3)[C@@]2([H])[C@@]3(C4=CC=C(OC)C=C4N5C)[C@]5([H])[C@](C(OC)=O)(O)[C@@H]1OC(C)=O
21,challenge_35,DQULNTWGBBNZSC,4.0,inf,5.0,4.0,37.0,18.0,OC1=CC=CC(O)=C1/C=C/C2=CC(O)=CC(O)=C2
22,challenge_36,UIEGOKVPCRANSU,2.0,inf,10.0,8.0,90.0,10.0,C[C@@]12C([C@@]3([H])[C@@](CC2)(CC[C@H]([C@]3(O)C)C)C(O)=O)=CC[C@@]4([H])[C@]1(CC[C@]5([H])[C@@]4(CC[C@@H]([C@]5(C)C(O)=O)O)C)C
23,challenge_38,TYLVGQKNNUHXIP,1.0,1.0,1.0,2.0,1.0,1.0,CC(O[C@]12[C@@]([C@]3([C@@H](O)C[C@@]1([H])OC2)C)([H])[C@@H]([C@]4(C(C)(C([C@@H](O)C3=O)=C(C)[C@@H](OC([C@H](O)[C@H](C5=CC=CC=C5)NC(C6=CC=CC=C6)=O)=O)C4)C)O)OC(C7=CC=CC=C7)=O)=O
24,challenge_40,ZPVNWCMRCGXRJD,4.0,inf,9.0,9.0,24.0,15.0,O=C1C[C@@H](C2=CC=C(O)C(O)=C2)OC3=C(O)C(O)=CC=C13
25,challenge_41,ZHMBJOBSCRAOAO,2.0,5.0,3.0,14.0,17.0,2.0,OC1=C(C[C@H](OC(C)=O)C(C)(C)O2)C2=CC(OC(C)=C3)=C1C3=O
26,challenge_42,YKPUWZUDDOIDPM,inf,1.0,1.0,2.0,1.0,16.0,CC(C)/C=C/CCCCC(NCC1=CC=C(O)C(OC)=C1)=O
27,challenge_46,BMSPHMYCTYOUPF,6.0,7.0,13.0,12.0,2.0,17.0,O[C@@H]([C@@H]([C@@H](CO)O1)O)[C@@H](O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)O)O)[C@@H]1O[C@H]3[C@H](O)C[C@]4(C)[C@@]5([H])C[C@@H](O)[C@@H]6[C@@H](/C(C)=C/C/C=C(C)\C)CC[C@@]6(C)[C@@](C)5CC[C@@]4([H])C3(C)C
28,challenge_47,KHVMAMXQPVHXTJ,5.0,1.0,3.0,3.0,8.0,6.0,O[C@H]([C@H]([C@@H]([C@@H](C(O)=O)O1)O)O)[C@@H]1OC2=C3C(C(C(O)=C(C4=CC=C(O)C(O)=C4)O3)=O)=C(O)C=C2O
29,challenge_49,QUQPHWDTPGMPEX,1.0,inf,1.0,1.0,12.0,10.0,OC1=C(OC)C=CC([C@@H]2CC(C3=C(C=C(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)C=C3O)O2)=O)=C1
30,challenge_50,ZGHORMOOTZTQFL,1.0,inf,1.0,2.0,35.0,23.0,O=C1C=C(C2=CC=C(OC)C(OC)=C2)OC3=CC=CC=C13
31,challenge_51,VOMDIEGPEURZJO,105.0,inf,102.0,116.0,35.0,90.0,O=C1C(CC/C=C(C)/C)=CC(C2=C1C(O)=CC=C2O)=O
32,challenge_52,AMIDUPFSOUCLQB,5.0,inf,66.0,87.0,60.0,114.0,O=C1C2=C(C=CC=C2)C(C3=CC(O)=C(CO)C(O)=C13)=O
33,challenge_53,ZSYPIPFQOQGYHH,4.0,inf,3.0,4.0,45.0,8.0,O=C1C=C(C2=CC=C(O)C=C2O)OC3=CC(O)=CC(O)=C13
34,challenge_54,KLFJSYOEEYWQMR,2.0,2.0,2.0,2.0,5.0,1.0,O=C1[C@](O)(CC)C2=C(CO1)C(N3CC4=CC5=CC(OC)=CC=C5N=C4C3=C2)=O
35,challenge_56,YRKKJHJIWCRNCW,3.0,inf,85.0,108.0,77.0,4.0,C1(=O)C2=C(C=C(O)C(OC)=C2C/C=C(/C)\C)OC2=C1C(O)=C(C/C=C(/C)\C)C(OC)=C2
36,challenge_59,OKGRRPCHOJYNKX,6.0,,14.0,14.0,7.0,16.0,C[C@]12[C@](CC=C3[C@@]2([H])CC[C@H](O[C@]4([H])O[C@@H]([C@@H](O)[C@H](O)[C@H]4O)CO[C@@H]5O[C@@H]([C@@H](O)[C@H](O)[C@H]5O)CO)C3(C)C)([H])[C@]6([C@@](C)([C@]([C@H](C)CC[C@H](C(C)(O)C)O[C@@H]7O[C@@H]([C@@H](O)[C@H](O)[C@H]7O)CO[C@@H]8O[C@@H]([C@@H](O)[C@H](O)[C@H]8O)CO)([H])CC6)C[C@H]1O)C
37,challenge_60,YXOLAZRVSSWPPT,5.0,9.0,3.0,4.0,27.0,5.0,O=C1C(O)=C(C2=CC=C(O)C=C2O)OC3=CC(O)=CC(O)=C13
38,challenge_61,ZONYXWQDUYMKFB,3.0,3.0,18.0,13.0,26.0,24.0,O=C1CC(C2=CC=CC=C2)OC3=CC=CC=C13
39,challenge_62,IYBLVRRCNVHZQJ,inf,5.0,3.0,4.0,4.0,1.0,O=C1C=C(C2=CC=CC=C2)OC3=CC=CC(O)=C13
40,challenge_63,RBRPTFMVULVGIC,21.0,inf,67.0,59.0,118.0,16.0,C=C1[C@](CC=C2/C=C/C(C)=O)([H])[C@@](OC1=O)([H])C[C@@H]2C
41,challenge_69,OVBPIULPVIDEAO,1.0,1.0,1.0,1.0,1.0,1.0,O=C(O)CC[C@@H](C(O)=O)NC(C1=CC=C(NCC2=CN=C3N=C(N)NC(C3=N2)=O)C=C1)=O
42,challenge_70,LTJZMSTVPKBWKB,16.0,inf,3.0,4.0,15.0,20.0,C[C@]12[C@]3([C@@]([C@@H](C[C@]1([H])[C@@]4([C@@](C(C)([C@H]([C@@H](C4)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O[C@@H]6O[C@@H]([C@H]([C@@H]([C@H]6O)O)O)CO)C)([H])CC2)C)O)([H])[C@@](CC3)([H])[C@](C)(O)CC/C=C(C)\C)C
43,challenge_72,ATEFPOUAMCWAQS,2.0,10.0,2.0,2.0,7.0,7.0,O=C1C=CC2=CC=C(O)C(O)=C2O1
44,challenge_73,FDQAOULAVFHKBX,2.0,4.0,2.0,1.0,9.0,31.0,O=C1[C@H](O)[C@@H](C2=CC=C(O[C@H](C3=CC=C(O)C(OC)=C3)[C@@H](CO)O4)C4=C2)OC5=CC(O)=CC(O)=C15
45,challenge_74,DSSYKIVIOFKYAU,inf,inf,17.0,19.0,58.0,7.0,O=C1C(C2(C)C)(C)CCC2C1
46,challenge_75,XVPBINOPNYFXID,1.0,inf,1.0,1.0,25.0,34.0,O=C1CCC[C@]2([H])[C@@]3([H])CCC[N@@+]4([O-])[C@@]3([H])[C@](CCC4)([H])CN21
47,challenge_76,ABBQHOQBGMUPJH,inf,inf,inf,inf,inf,2.0,O=C(O[Na])C1=CC=CC=C1O
48,challenge_77,QECQJYAIIIIKJB,15.0,inf,24.0,49.0,2.0,32.0,CC1(C)[C@@H](O)CC[C@]2(C)C3=C([C@@]4(C(C[C@H]([C@]4(CC3=O)C)/C(C)=C/C(CC(C)C(O)=O)=O)=O)C)[C@@H](O)CC12
49,challenge_78,WPPPFZJNKLMYBW,1.0,3.0,1.0,3.0,12.0,4.0,O[C@@H](C1)[C@]2(C)[C@]([C@@]3(OC(C)=O)[C@]1([H])OC3)([H])[C@H](OC(C4=CC=CC=C4)=O)[C@]5(O)C[C@H](OC(C)=O)C(C)=C(C(C)5C)[C@@H](OC(C)=O)[C@@H]2O
50,challenge_79,ORKLEZFXASNLFJ,1.0,1.0,1.0,2.0,1.0,1.0,CC(O[C@]([C@@]1([H])C[C@@H]2O[C@@](OC[C@@H](O)[C@@H]3O)([H])[C@@H]3O)(CO1)[C@]([C@@H]([C@]4(C(C)(C)C5=C(C)[C@@H](OC([C@H](O)[C@H](C6=CC=CC=C6)NC(C7=CC=CC=C7)=O)=O)C4)O)OC(C8=CC=CC=C8)=O)([H])[C@@]2(C([C@@H]5O)=O)C)=O
51,challenge_80,NMICSFNNFDNGEL,1.0,1.0,1.0,1.0,8.0,4.0,O=C1C=C(C2=CC=C(OC(C3=CC=C(O)C(OC)=C3)C(CO)O4)C4=C2)OC5=CC(O)=CC(O)=C15
52,challenge_81,QATISCJMIITVAB,22.0,inf,23.0,22.0,11.0,6.0,C[C@]12[C@](CC=C3[C@@]2([H])CC[C@H](O[C@]4([H])O[C@@H]([C@@H](O)[C@H](O)[C@H]4O)CO)C3(C)C)([H])[C@]5([C@@](C)([C@]([C@H](C)CC[C@H](C(C)(O)C)O[C@H]6[C@@H]([C@H]([C@H](O)[C@@H](CO)O6)O)O[C@]7([H])O[C@@H]([C@@H](O)[C@H](O)[C@H]7O)CO)([H])CC5)C[C@H]1O)C
53,challenge_82,KTEXNACQROZXEV,30.0,inf,3.0,1.0,420.0,273.0,C/C1=C\CC[C@@](C)(O2)[C@H]2[C@@H](OC(C3=C)=O)[C@H]3CC1
54,challenge_83,HFODKTZIQVSGJO,26.0,inf,33.0,22.0,43.0,49.0,O=C1C(C2=CC=C(OC)C(O)=C2)=COC3=CC(O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O)=C(OC)C(O)=C13
55,challenge_85,HKIKAXXIWJHWLY,1.0,7.0,1.0,1.0,7.0,7.0,OC1=CC(C)=C(C(C=C(CC(C)=O)O2)=O)C2=C1[C@@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)CO
56,challenge_86,VXZIFOKTSURLNL,93.0,inf,16.0,23.0,110.0,121.0,C=C[C@@]1([C@]2([H])[C@](OC(C2=C)=O)([H])C3=C(OC=C3C)C1)C
57,challenge_87,QCTMYNGDIBTNSK,1.0,5.0,1.0,1.0,2.0,4.0,C[C@H](CC1)CN[C@]21O[C@@]3([H])C[C@@]4([H])[C@]5([H])CC=C6C[C@@H](O[C@@]7([H])[C@H](O[C@@]8([H])[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O8)[C@@H](O[C@@]9([H])[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O9)[C@@H](O)[C@@H](CO)O7)CC[C@]6(C)[C@@]5([H])CC[C@]4(C)[C@@]3([H])[C@@H]2C
58,challenge_88,HRGUSFBJBOKSML,1.0,inf,1.0,22.0,66.0,6.0,O=C1C=C(C2=CC(OC)=C(O)C(OC)=C2)OC3=CC(O)=CC(O)=C13
59,challenge_89,NZYSZZDSYIBYLC,1.0,inf,1.0,1.0,8.0,28.0,O=C1C(C2=CC=C(O)C=C2O)=CC3=C(OC)C(C/C=C(C)\C)=C(O)C=C3O1
60,challenge_90,LUKBXSAWLPMMSZ,1.0,inf,1.0,1.0,3.0,7.0,OC1=CC=C(/C=C/C2=CC(O)=CC(O)=C2)C=C1
61,challenge_92,GWTUHAXUUFROTF,3.0,3.0,3.0,3.0,1.0,15.0,O[C@@H]1[C@H](O)C[C@@](OC(/C=C/C2=CC(O)=C(O)C=C2)=O)(C(O)=O)C[C@H]1O
62,challenge_95,RCINICONZNJXQF,1.0,2.0,1.0,2.0,1.0,1.0,O[C@@H]1C[C@]2([H])[C@](CO2)(OC(C)=O)[C@]3([H])[C@]1(C)C([C@H](OC(C)=O)C4=C(C)[C@@H](OC([C@@H]([C@H](C5=CC=CC=C5)NC(C6=CC=CC=C6)=O)O)=O)C[C@]([C@H]3OC(C7=CC=CC=C7)=O)(O)C4(C)C)=O
63,challenge_96,DRRWBCNQOKKKOL,3.0,inf,2.0,1.0,21.0,4.0,O=C1C=C(C2=CC=C(OC)C(OC)=C2)OC3=CC(O)=C(OC)C(O)=C13
64,challenge_97,TWBWSPDILHVKEV,1.0,inf,2.0,1.0,65.0,2.0,OC1=C([C@H]2[C@@H]([C@@H]([C@@H](O)[C@H](C)O2)O)O)C(O)=C(C(C=C(C3=CC=C(O)C=C3)O4)=O)C4=C1[C@@H]5O[C@@H]([C@@H](O)[C@H](O)[C@H]5O)CO
65,challenge_99,QELDJEKNFOQJOY,2.0,inf,1.0,1.0,15.0,14.0,COC1=C2C3=C(C=C1OC)CCN(C)[C@@]3([H])CC4=CC=C(OC)C(O)=C24
66,challenge_100,HYJVYOWKYPNSTK,inf,inf,inf,inf,inf,inf,O=C(C1=CC=CC=C1)N[C@](C2=CC=CC=C2)([H])[C@@H](O)C(O)=O
67,challenge_101,WBBVXGHSWZIJST,119.0,inf,136.0,107.0,11.0,2.0,C[C@@]1([C@@H]2O)[C@]([C@@]3([C@@H]4O)O)([H])[C@@]([C@](C5)([H])C4=C)(CO3)[C@@](OC5=O)([H])C[C@@]1([H])C(C)=CC2=O
68,challenge_102,WHAAPCGHVWVUEX,1.0,1.0,1.0,2.0,1.0,1.0,O=C(NCC(C)C)/C=C/C=C/C1=CC=C(OCO2)C2=C1
69,challenge_104,GIKVSFNAEBQLGB,1.0,inf,5.0,8.0,103.0,33.0,O=C1C=C(C2=CC(OC)=C(OC)C(OC)=C2)OC3=CC(OC)=CC(OC)=C13
70,challenge_105,DFOCUWZXJBAUSQ,9.0,inf,2.0,2.0,27.0,44.0,COC1=C(OC2=CC([C@]3([H])CC(C=C4)=CC=C4O5)=C(CCN3C)C=C2OC)C([C@@]6([H])CC7=CC=C(O)C5=C7)=C(CCN6C)C=C1OC
71,challenge_106,SRDNLMOBFKJOSD,17.0,inf,11.0,27.0,10.0,24.0,CC1(C)[C@@H](OC(C)=O)CC[C@]2(C)C3=C([C@@]4(C[C@@H](O)[C@@H]([C@]4(CC3)C)[C@H](C(O)=O)CC/C=C(C)\C)C)CC[C@@]12[H]
72,challenge_108,KVAQLXUMUVEKGR,1.0,inf,42.0,1.0,3.0,21.0,C[C@]12[C@@]([C@]([C@H](C(O)=O)CCC(C(C)C)=C)([H])[C@H](O)C1)(CC=C3C2=CC[C@@H](C(C)=C)[C@]3(C)CCC(O)=O)C
73,challenge_109,ZTEVDTFJUUJBLP,1.0,inf,1.0,17.0,26.0,15.0,C[C@@]12[C@]3([H])[C@@]([C@@]4([H])[C@](CC3)([C@@](CC4)([H])[C@@H]([C@@]5([H])CC(C)=C(C(O5)=O)C)C)C)([H])[C@H]6[C@@H]([C@]1(CC=CC2=O)O)O6
74,challenge_110,HQZXCNZZVRAEPO,2.0,inf,6.0,5.0,14.0,2.0,CC(OC1=C2C(O[C@H](C3=CC=C(OC(C)=O)C=C3)CC2=O)=CC(OC(C)=O)=C1)=O
75,challenge_111,KOAPDMKKECXPHX,1.0,6.0,2.0,5.0,3.0,4.0,O=C(C1=C(O)C=CC=C1O)CCCCCCCCC2=CC=C(O)C=C2
76,challenge_112,GPXLRLUVLMHHIK,inf,2.0,1.0,1.0,3.0,5.0,O=C(NC1=CC=CC=C1)NC2=CC(Cl)=NC=C2
77,challenge_115,ZCOLJUOHXJRHDI,1.0,inf,2.0,2.0,56.0,27.0,O=C(C(C1=CC=C(O)C=C1)=COC2=CC(O[C@@H]([C@@H]([C@@H](O)[C@@H]3O)O)O[C@@H]3CO)=C4)C2=C4O
78,challenge_116,PWAACAMQKVIVPZ,1.0,1.0,1.0,1.0,2.0,19.0,O=C1C(C2=CC=C3C(C=CC(C)(C)O3)=C2)=COC4=CC(O)=CC=C14
79,challenge_118,KWDWBAISZWOAHD,2.0,2.0,1.0,1.0,1.0,3.0,C[C@]12[C@@](C[C@@H](O)[C@@]3([H])[C@]2(CC[C@@H]3C(CC/C=C(C)/C)=C)C)([H])[C@@]4([C@@](C(C)([C@@H](O[C@@]5([H])[C@@H]([C@H]([C@H](O)[C@@H](CO)O5)O)O[C@]6([H])O[C@@H]([C@@H](O)[C@H](O)[C@H]6O)CO)CC4)C)([H])CC1)C
80,challenge_119,DKBPTKFKCCNXNH,2.0,6.0,1.0,1.0,5.0,8.0,OC1=CC(O)=C(C(C(C/C=C(C)/C)=C(C2=C(C=C(O)C=C2)O)O3)=O)C3=C1[C@@H]4[C@H]([C@H](C5=C(C=C(O)C=C5)O)CC(C)=C4)C(C6=C(C(C/C=C(C)/C)=C(O)C=C6)O)=O
81,challenge_120,YJGVMLPVUAXIQN,1.0,10.0,1.0,1.0,13.0,1.0,O=C1[C@]([C@]2([H])CO1)([H])[C@@](C(C=C3OC)=CC(OC)=C3OC)([H])C4=CC(OCO5)=C5C=C4[C@H]2O
82,challenge_121,VNONINPVFQTJOC,1.0,inf,3.0,1.0,4.0,5.0,O[C@@H]1[C@@H](O)[C@H](C)O[C@@]([H])(O[C@H]2[C@H](O)[C@@H](O[C@]3([H])O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@](O[C@@H]4CC5=CC[C@]([C@]([H])(C[C@@]6([H])[C@]7([H])[C@H](C)[C@]8(OC[C@H](C)CC8)O6)[C@]7(C)CC9)([H])[C@@]9([H])[C@@]5(C)CC4)([H])O[C@@H]2CO)[C@@H]1O
83,challenge_123,VMMZAMVBGQWOHT,2.0,inf,1.0,1.0,1.0,1.0,COC1=C(C=CC(/C=C/C(C(C)(C)C(/C=C/C2=CC(OC)=C(OC)C=C2)=O)=O)=C1)OC
84,challenge_124,SOVNCTNQAWWYAQ,2.0,5.0,2.0,1.0,2.0,6.0,O=C1C=CC2=CC3=C(OC=C3)C(OC/C=C(C)/CC/C=C(C)/C)=C2O1
85,challenge_126,WBQVRPYEEYUEBQ,1.0,3.0,1.0,2.0,1.0,1.0,C[C@@]1([C@@]2([H])[C@@]3([C@@]([C@](C)([C@@H](O[C@@]4([H])[C@@H]([C@H]([C@H](O)[C@@H](C(O)=O)O4)O)O[C@]5([H])O[C@@H]([C@@H](O)[C@H](O)[C@H]5O)C(O)=O)CC3)CO)([H])CC1)C)[C@]6(C([C@@]7([H])[C@](C)(CC[C@@](C(O)=O)(C)C7)CC6)=CC2=O)C
86,challenge_128,YVCVYCSAAZQOJI,1.0,7.0,1.0,1.0,18.0,1.0,O=C1OC[C@]2([H])[C@H](O)C3=C(C=C4OCOC4=C3)[C@@H](C5=CC(OC)=C(O)C(OC)=C5)[C@]21[H]
87,challenge_132,PREBVFJICNPEKM,1.0,inf,1.0,1.0,6.0,2.0,O=C(CC(/C=C/C1=CC=C(O)C=C1)=O)/C=C/C2=CC=C(O)C=C2
88,challenge_135,OLAMGHNQGZIWHZ,1.0,inf,3.0,2.0,12.0,11.0,C[C@@]12[C@]([C@@H]3C)([H])[C@](O[C@]34CC[C@@H](C)CO4)([H])C[C@@]1([H])[C@@](CC=C5[C@@]6(CC[C@H](O[C@@](O[C@H](CO)[C@@H](O[C@]([C@@H]([C@@H](O)[C@@H]7O)O)([H])O[C@@H]7CO)[C@@H]8O)([H])[C@@H]8O[C@@](O[C@@H](C)[C@H](O)[C@H]9O)([H])[C@@H]9O)C5)C)([H])[C@]6([H])CC2
89,challenge_137,XFZJEEAOWLFHDH,1.0,inf,1.0,1.0,7.0,23.0,O[C@@H]1[C@@H](C2=CC=C(O)C(O)=C2)OC3=CC(O)=CC(O)=C3[C@H]1C4=C5C(C[C@H](O)[C@@H](C6=CC=C(O)C(O)=C6)O5)=C(O)C=C4O
90,challenge_138,NWPTUAQJIALPLJ,27.0,inf,39.0,38.0,6.0,14.0,C[C@]12[C@@]3([H])[C@]([C@@]4([H])C(C(C)([C@@H](O)CC4)C)=CC3)([C@H](O)C[C@@]1([C@]([C@H](C)CC[C@H](C(C)(O)C)O[C@@H]5O[C@@H]([C@@H](O)[C@H](O)[C@H]5O)CO[C@@H]6O[C@@H]([C@@H](O)[C@H](O)[C@H]6O)CO)([H])CC2)C)C
91,challenge_141,LGZSMXJRMTYABD,92.0,inf,23.0,30.0,50.0,84.0,CCCCCCC/C=C/C(CCC1=CC=C(O)C(OC)=C1)=O
92,challenge_142,WMGBQZAELMGYNO,2.0,7.0,2.0,1.0,1.0,5.0,C[C@]12[C@@](C[C@@H](O)[C@@]3([H])[C@]2(CC[C@@H]3C(CC/C=C(C)/C)=C)C)([H])[C@@]4([C@@](C(C)([C@@H](O[C@]5([H])O[C@@H]([C@@H](O)[C@H](O)[C@H]5O)CO)CC4)C)([H])CC1)C
93,challenge_143,WRPAFPPCKSYACJ,8.0,,13.0,13.0,4.0,9.0,CC(O)(C)[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)CC[C@@H](C)[C@H]3CC[C@@]4(C)[C@@]5([H])CC=C6C(C)(C)[C@@H](O[C@H]7[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO[C@H]8[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O8)O7)CC[C@@]6([H])[C@]5(C)[C@H](O)C[C@@]43C
94,challenge_144,QCDYOIZVELGOLZ,3.0,inf,1.0,1.0,41.0,71.0,O=C1C=C(C2=CC=C(OC)C=C2)OC3=CC(OC)=C(OC)C(O)=C13
95,challenge_145,CPFJPTACQDZPLS,25.0,inf,49.0,47.0,52.0,71.0,O=C1C=C(C2=C(O)C=CC(O)=C2OC)OC3=C(OC)C(O)=CC(O)=C13
96,challenge_146,POQICXMTUPVZMX,2.0,9.0,1.0,1.0,10.0,13.0,O=C1C(O[C@@H]2O[C@@H](CO)[C@H](O)[C@H]2O)=C(C3=CC=C(O)C=C3)OC4=CC(O)=CC(O)=C41
97,challenge_148,YKGCBLWILMDSAV,1.0,inf,1.0,2.0,20.0,11.0,OC1=CC(OC)=C2C(CC(OC2=C1C/C=C(C)\C)C3=CC=C(C=C3)O)=O
98,challenge_150,KSEBMYQBYZTDHS,2.0,8.0,1.0,1.0,4.0,2.0,O=C(O)/C=C/C1=CC=C(O)C(OC)=C1
99,challenge_152,CTSPAMFJBXKSOY,inf,3.0,1.0,4.0,1.0,2.0,CC1=C(C=NC=C2)C2=C(C)C(N3)=C1C4=C3C=CC=C4
100,challenge_153,SYTYLPHCLSSCOJ,2.0,inf,1.0,1.0,14.0,9.0,O=C1C=CC2=CC(O)=C(OC)C=C2O1
101,challenge_154,JCTYWRARKVGOBK,1.0,5.0,1.0,1.0,7.0,5.0,CN1CCC(C2=C3C4=CC=CC=C4C[C@@]12[H])=CC5=C3OCO5
102,challenge_156,DXYUAIFZCFRPTH,3.0,inf,1.0,1.0,73.0,43.0,O=C(C(C1=CC=C(O)C=C1)=CO2)C3=C2C=C(O)C(OC)=C3
103,challenge_158,YXVXMURDCBMPRH,1.0,4.0,1.0,1.0,5.0,5.0,OC1=C(OC)C=C2CCN(C)[C@@]3([H])CC4=CC=CC=C4C1=C23
104,challenge_159,UFCLZKMFXSILNL,1.0,inf,2.0,2.0,9.0,14.0,O=C([C@@]1(O)C[C@@H](OC(/C=C/C2=CC=C(O)C(O)=C2)=O)[C@H](OC(/C=C/C3=CC=C(O)C(O)=C3)=O)[C@H](O)C1)O
