,Title,MolecularFormula,CanonicalSMILES,InChIKey,Database IDs,Formula Score,Structure Score,Consensus Score
10,Unshuoside A,C16H28O7,C=CC(O)(CCC=C(C)C)COC1OC(CO)C(O)C(O)C1O,GYQYEMLFBFQXSW-UHFFFAOYSA-N,FDB000991;;HMDB0029784;;PMHub:MS000130432,0.9999789273104576,0.8967827086890883,0.927741574275499
11,"(1R,2R)-p-menth-3-ene-1,2-diol 1-O-beta-D-glucopyranoside|(1R,2R)-p-Menth-3-ene-1,2-diol 2-O-??-D-glucopyranoside",C16H28O7,CC(C)C1=CC(O)C(C)(OC2OC(CO)C(O)C(O)C2O)CC1,HDVPJYNBUXNSEW-UHFFFAOYSA-N,PMHub:MS000051337,0.9999789273104576,0.8933981112121124,0.9253723560416159
12,"p-menth-1-ene-3,4-diol 4-O-beta-glucopyranoside",C16H28O7,CC1=CC(O)C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)(C(C)C)CC1,JMDWDRGHOPRHGO-BTIYSKKXSA-N,NANPDB:4779,0.9999789273104576,0.8930128760000273,0.9251026913931564
13,"1,8-Epoxy-p-menthan-4-ol glucoside",C16H28O7,CC12CCC(OC3OC(CO)C(O)C(O)C3O)(CC1)C(C)(C)O2,XFTUHHQPFOUYRF-UHFFFAOYSA-N,FDB011229;;HMDB0033215;;PMHub:MS000097938,0.9999789273104576,0.8917370897270721,0.9242096410020877
14,"(1S,2S,4S,5S)-2,4-Thujanediol 4-O-beta-D-Glucopyranoside",C16H28O7,CC(C)C12CC1C(C)(OC1OC(CO)C(O)C(O)C1O)CC2O,HVTLBEUPVKSBIB-UHFFFAOYSA-N,FDB011744;;HMDB0033644;;PMHub:MS000093964,0.9999789273104576,0.891664959415313,0.9241591497838563
15,9-hydroxylinaloyl glucoside,C16H28O7,C=C[C@@](C)(CC/C=C(\C)CO)OC1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O,NEZCMGYOACDFPH-WOXHDHDISA-N,NANPDB:1003,0.9999789273104576,0.8827269889972051,0.9179025704911808
16,monardin E,C16H28O7,CC(C)C1=CC(OC2OC(CO)C(O)C(O)C2O)C(C)(O)CC1,ORJWIYMTJYYOJK-UHFFFAOYSA-N,PMHub:MS000200233,0.9999789273104576,0.881909571260441,0.9173303780754459
17,"(3-Hydroxy-2,6,6-trimethylcyclohex-1-en-1-yl)methyl .beta.-D-glucopyranoside",C16H28O7,CC1=C(CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C(C)(C)CCC1O,XCDBIENWUFNOHL-ZSABPLCXSA-N,NIST:CASNone,0.9999789273104576,0.8817137271110349,0.9171932871708617
18,hydroxycineole-10-O-beta-D-glucopyranoside,C16H28O7,CC12CCC(CC1)C(C)(COC1OC(CO)C(O)C(O)C1O)O2,BGHMHTHMLDKWCL-UHFFFAOYSA-N,PMHub:MS000202866,0.9999789273104576,0.8796562570857503,0.9157530581531624
19,"(3R,4R)-p-Menth-1-ene-3,4-diol 3-O-??-D-glucopyranoside",C16H28O7,CC1=CC(OC2OC(CO)C(O)C(O)C2O)C(O)(C(C)C)CC1,RNAAXOMQMFFENE-UHFFFAOYSA-N,PMHub:MS000186317,0.9999789273104576,0.8777434767641543,0.9144141119280452
20,"(1R,2R)-p-menth-4(5)-ene-1,2-diol 1-O-beta-D-glucopyranoside|(1R,2R)-p-Menth-4(5)-ene-1,2-diol 1-O-??-D-glucopyranoside",C16H28O7,CC(C)C1=CCC(C)(OC2OC(CO)C(O)C(O)C2O)C(O)C1,MDDBLJFAZVVHGO-UHFFFAOYSA-N,PMHub:MS000106825,0.9999789273104576,0.873626882076516,0.9115324956466984
21,"(1R,2S,4R,5S)-2,5-Fenchanediol 2-O-b-D-glucoside",C16H28O7,CC12CC(O)C(C1)C(C)(C)C2OC1OC(CO)C(O)C(O)C1O,LDPSEQUXUZQNEM-UHFFFAOYSA-N,FDB011235;;HMDB0033221;;PMHub:MS000120942,0.9999789273104576,0.8701819750896614,0.9091210607559003
22,"10-O-beta-D-Glucopyranoside-9, 10-Pinanediol",C16H28O7,CC1(CO)C2CCC(COC3OC(CO)C(O)C(O)C3O)C1C2,KFYADNBPQFWEKA-UHFFFAOYSA-N,PMHub:MS000214323,0.9999789273104576,0.8660707286984345,0.9062431882820414
23,"(1S,2R,4R)-p-menth-5-ene-1,2-diol 1-O-beta-D-glucopyranoside|(1S,2R,4R)-p-Menth-5-ene-1,2-diol 1-O-??-D-glucopyranoside",C16H28O7,CC(C)C1C=CC(C)(OC2OC(CO)C(O)C(O)C2O)C(O)C1,XRDWIDJQBPMTAE-UHFFFAOYSA-N,PMHub:MS000121384,0.9999789273104576,0.8657864927075667,0.9060442230884339
24,"(1R,2S,4R,7S)-vicodiol 9-O-beta-D-glucopyranoside|(1R,2S,4R,7S)-Vicodiol 9-O-??-D-glucopyranoside",C16H28O7,CC12CCC(CC1O)C2(C)COC1OC(CO)C(O)C(O)C1O,GMFYAZXWJRYMFV-UHFFFAOYSA-N,PMHub:MS000161372,0.9999789273104576,0.8635591593491974,0.9044850897375754
25,MCULE-9958171223,C16H28O7,CC(C)C1=CCC(C)(O)C(OC2OC(CO)C(O)C(O)C2O)C1,DIPALNDKWHCLEA-UHFFFAOYSA-N,PMHub:MS000012453,0.9999789273104576,0.8609666831486359,0.9026703563971824
26,"(1R,2R,4S,6R)-2,6-Fenchanediol 2-O-b-D-glucoside",C16H28O7,CC1(C)C2CC(O)C(C)(C2)C1OC1OC(CO)C(O)C(O)C1O,ZXTOJNKDXKFQAG-UHFFFAOYSA-N,FDB011234;;HMDB0033220;;PMHub:MS000221550,0.9999789273104576,0.8609398771645236,0.9026515922083037
27,"1-(O-beta-D-glucopyranosyl)-3,7-dimethyloct-5-en-2-one",C16H28O7,CC(C)C=CCC(C)C(=O)COC1OC(CO)C(O)C(O)C1O,PMGOVJBRGAIEIV-UHFFFAOYSA-N,PMHub:MS000150379,0.9999789273104576,0.8584679914691694,0.9009212722215558
28,"(2E,4E,7R)-2,7-Dimethyl-2,4-octadiene-1,8-diol 8-O-b-D-glucopyranoside",C16H28O7,C/C(=C/C=C\CC(C)COC1OC(CO)C(O)C(O)C1O)CO,BMZXRCYRAQEICG-QQTPKPIZSA-N,FDB018158;;HMDB0038747,0.9999789273104576,0.8566832215079955,0.8996719332487341
29,NP-023107,C16H28O7,C=C/C(C)=C/CC(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(C)(C)O,FJGGVWIBPBUBDP-NAKILRCASA-N,NIST:CASNone,0.9999789273104576,0.855498016353278,0.8988422896404319
30,"(1R,2R,4S,6R)-6-hydroxybornan-2-yl O-beta-D-glucopyranoside|(1R,2R,4S,6R)-bornane-2,6-diol 2-O-beta-D-glucopyranoside",C16H28O7,CC1(C)C2CC(O)C1(C)C(OC1OC(CO)C(O)C(O)C1O)C2,OSLKFRYNCINSDO-UHFFFAOYSA-N,PMHub:MS000043030,0.9999789273104576,0.8538302087464351,0.8976748243156418
31,"(1R,3S,4S)-1,8-Epoxy-p-menthan-3-ol glucoside",C16H28O7,CC12CCC(C(OC3OC(CO)C(O)C(O)C3O)C1)C(C)(C)O2,WPVRGZPCRCFTNS-UHFFFAOYSA-N,FDB013325;;HMDB0034772;;PMHub:MS000175310,0.9999789273104576,0.852597745600063,0.8968121001131814
32,"3,6-dimethyl-3-(beta-D-glucosylmethyl)cycloheptanone",C16H28O7,CC1CCC(C)(COC2OC(CO)C(O)C(O)C2O)CC(=O)C1,OJIJRLSRFSISSF-UHFFFAOYSA-N,PMHub:MS000133678,0.9999789273104576,0.8519677191807068,0.896371081619632
33,"3,7-dimethyl-octa-1,7-diene-3,6-diol-6-O-beta-D-glucopyranoside",C16H28O7,C=CC(C)(CCC(O)C(=C)C)OC1OC(CO)C(O)C(O)C1O,NORXITCSTQQGRY-UHFFFAOYSA-N,PMHub:MS000216879,0.9999789273104576,0.8510307321708109,0.8957151907127049
34,,C16H28O7,CC1(C)C2CCC(O)(COC3OC(CO)C(O)C(O)C3O)C1C2,OZDOXQLAEQYDIK-UHFFFAOYSA-N,PMHub:MS000173679,0.9999789273104576,0.8505288342308596,0.895363862154739
35,"(4R)-p-Menth-1-ene-7,8-diol 7-O-??-D-glucopyranoside|4-R-p-menth-1-ene-7,8-diol 7-O-beta-D-glucopyranoside|4R-p-menth-1-ene-7,8-diol 7-O-beta-D-glucopyranoside",C16H28O7,CC(C)(O)C1CC=C(COC2OC(CO)C(O)C(O)C2O)CC1,BCTBHOXCGJDKFZ-UHFFFAOYSA-N,PMHub:MS000070462,0.9999789273104576,0.8490504564692944,0.8943289977216433
36,"6-O-beta-D-Glucopyranoside-p-Menth-1-ene-3,6-diol",C16H28O7,CC1=CC(O)C(C(C)C)CC1OC1OC(CO)C(O)C(O)C1O,MJSBJGMRWXOXGY-UHFFFAOYSA-N,PMHub:MS000030895,0.9999789273104576,0.8488489098770243,0.8941879151070543
37,"(1S,2R,4R)-p-menth-5-ene-1,2-diol 2-O-beta-D-glucopyranoside|(1S,2R,4R)-p-Menth-5-ene-1,2-diol 2-O-??-D-glucopyranoside",C16H28O7,CC(C)C1C=CC(C)(O)C(OC2OC(CO)C(O)C(O)C2O)C1,JXMXFGPPBZXWNK-UHFFFAOYSA-N,PMHub:MS000082041,0.9999789273104576,0.847815892026777,0.8934648026118811
38,Angelicoidenol 2-O-beta-D-glucopyranoside,C16H28O7,CC1(C)C2CC(OC3OC(CO)C(O)C(O)C3O)C1(C)CC2O,AOHQEWBMTRLCSX-UHFFFAOYSA-N,FDB007775;;HMDB0303101;;PMHub:MS000069787,0.9999789273104576,0.8477694262842721,0.8934322765921276
39,"(1S,2R,4S,7R)-vicodiol 2-O-beta-D-glucopyranoside",C16H28O7,CC1(CO)C2CCC1(C)C(OC1OC(CO)C(O)C(O)C1O)C2,OCDWKDASQKOTIQ-UHFFFAOYSA-N,PMHub:MS000077409,0.9999789273104576,0.8471119734165772,0.8929720595847412
40,7-Hydroxyterpineol 8-glucoside,C16H28O7,CC(C)(OC1OC(CO)C(O)C(O)C1O)C1CC=C(CO)CC1,JLDWWSSQBYGULG-UHFFFAOYSA-N,FDB011011;;HMDB0033019;;PMHub:MS000055168,0.9999789273104576,0.8468142438431181,0.8927636488833199
41,"3,7-dimethyl-octa-1,5-diene-3,7-diol-7-O-beta-D-glucopyranoside",C16H28O7,C=CC(C)(O)CC=CC(C)(C)OC1OC(CO)C(O)C(O)C1O,UZMYYPDQXJBLNF-UHFFFAOYSA-N,PMHub:MS000113322,0.9999789273104576,0.8434937809030262,0.8904393248252556
42,"(3R,4S,6R)-p-Menth-1-ene-3,6-diol 3-O-??-D-glucopyranoside|6beta-hydroxypiperitol-3-O-beta,D-glucopyranoside",C16H28O7,CC1=CC(OC2OC(CO)C(O)C(O)C2O)C(C(C)C)CC1O,XCQWGTGYNVGXJZ-UHFFFAOYSA-N,PMHub:MS000078016,0.9999789273104576,0.8427289687053425,0.889903956286877
43,"(1S,2S,4R)-p-menth-8-ene-1,2-diol 1-O-beta-D-glucopyranoside",C16H28O7,C=C(C)C1CCC(C)(OC2OC(CO)C(O)C(O)C2O)C(O)C1,MHVKRIHLNHCCSQ-UHFFFAOYSA-N,PMHub:MS000030919,0.9999789273104576,0.8405308221889102,0.8883652537253743
44,(+)-trans-sobrerol 6-O-beta-D-glucopyranoside|myrseguinoside A,C16H28O7,CC1=CCC(C(C)(C)O)CC1OC1OC(CO)C(O)C(O)C1O,VYYNNEOKRSPXHE-UHFFFAOYSA-N,PMHub:MS000133083,0.9999789273104576,0.8392537096626933,0.8874712749570225
45,"(1R,2R,4S)-1,8-Epoxy-p-menthan-2-ol glucoside",C16H28O7,CC1(C)OC2(C)CCC1CC2OC1OC(CO)C(O)C(O)C1O,NWZYTZHMCGWGOF-UHFFFAOYSA-N,FDB011107;;FDB011108;;FDB011109;;FDB011111;;HMDB0033110;;PMHub:MS000012140,0.9999789273104576,0.8380184578652067,0.8866065986987819
46,"p-menth-1-ene-8,9-diol-9-beta-D-glucopyranoside",C16H28O7,CC1=CCC(C(C)(O)COC2OC(CO)C(O)C(O)C2O)CC1,GYBPMPMHYINVCU-UHFFFAOYSA-N,PMHub:MS000158751,0.9999789273104576,0.836785263834316,0.8857433628771584
47,"(1S,2S,4R)-p-menth-8-ene-1,2-diol 2-O-beta-D-glucopyranoside|(1S,2S,4R)-p-Menth-8-ene-1,2-diol 2-O-??-D-glucopyranoside|(1S,2S,4S)-p-menth-8-ene-1,2-diol 2-O-beta-glucopyranoside",C16H28O7,C=C(C)C1CCC(C)(O)C(OC2OC(CO)C(O)C(O)C2O)C1,GDLQRWXBAMRGNZ-UHFFFAOYSA-N,PMHub:MS000209816,0.9999789273104576,0.8355165649341376,0.8848552736470335
48,"(3S,6S)-cis-linalool-3,7-oxide beta-D-glucopyranoside",C16H28O7,C=CC1(C)CCC(OC2OC(CO)C(O)C(O)C2O)C(C)(C)O1,RHGDBFCADWPFBW-UHFFFAOYSA-N,PMHub:MS000166509,0.9999789273104576,0.8347768239575148,0.8843374549633977
49,9-O-glucopyranosyl-p-menthan-3-one,C16H28O7,CC1CCC(C(C)COC2OC(CO)C(O)C(O)C2O)C(=O)C1,XBIHCBIHVVDEMU-UHFFFAOYSA-N,PMHub:MS000135110,0.9999789273104576,0.8315108996351586,0.8820513079377482
50,"(1S,2R,4R)-p-Menth-8-ene-2,10-diol 2-glucoside",C16H28O7,C=C(CO)C1CCC(C)C(OC2OC(CO)C(O)C(O)C2O)C1,QWBJNLICFDXNJB-UHFFFAOYSA-N,FDB018553;;HMDB0039055;;PMHub:MS000092741,0.9999789273104576,0.830095772522222,0.8810607189586926
51,"(3S,6R)-cis-linalool-3,6-oxide beta-D-glucopyranoside",C16H28O7,C=CC1(C)CCC(C(C)(C)OC2OC(CO)C(O)C(O)C2O)O1,ULDXKOJTIZCIHV-UHFFFAOYSA-N,PMHub:MS000139782,0.9999789273104576,0.826980068998982,0.8788797264924246
52,Sachalinoside B,C16H28O7,C=CC(C)(OC1OC(CO)C(O)C(O)C1O)C1CCC(C)(C)O1,JXPSDAVEOQZZEY-UHFFFAOYSA-N,PMHub:MS000168934,0.9999789273104576,0.8232928238140917,0.8762986548630014
53,"(2S,3S)-2-hydroxytridecane-1,2,3-tricarboxylic acid",C16H28O7,CCCCCCCCCC[C@H](C(=O)O)[C@@](O)(CC(=O)O)C(=O)O,DQIHPEKINXOMBM-WBMJQRKESA-N,CHEBI:15608;;C04655,0.9999789273104576,0.7635253761345238,0.8344614414873038
54,Heliconol C,C16H28O7,O=C(O)CCCCCCCC[C@H]1O[C@]2(O)CC[C@H](O)[C@]2(O)[C@@H]1O,MJUTVWBUXZBUHW-IPQWEPCOSA-N,NPA000668,0.9999789273104576,0.694210500152907,0.7859410283001721
55,"[1S-(1alpha,2beta,5alpha)]-5-Methyl-2-(1-methylethyl)cyclohexyl beta-D-Glucopyranosiduronic Acid",C16H28O7,CC1CCC(C(C)C)C(OC2OC(C(=O)O)C(O)C(O)C2O)C1,CLJGMBYGTHRUNF-UHFFFAOYSA-N,BloodExp:CID3536531;;BloodExp:CID13783425;;BloodExp:CID71749954;;BloodExp:CID154730899;;BloodExp:CID156619408;;BloodExp:CID183838;;HMDB0254445;;PMHub:MS000050203,0.9999789273104576,0.679779187199606,0.7758391092328614
56,Virgineol,C16H28O7,CO[C@]1(CC(C)C)OC[C@@]2(O)[C@H]3CC[C@](C)(O)[C@@H](O)[C@H]3O[C@@]12O,NGTUFCAUEDFMDI-XZEYQLJZSA-N,NPA013549,0.9999789273104576,0.5805578100567642,0.7063841452328722
