File path	File name	Title	MS1 count	MSMS count	PRECURSORMZ	PRECURSORTYPE	Formula rank 1	Theoretical mass	Mass error	Formula score	Databases	Formula rank 2	Theoretical mass	Mass error	Formula score	Databases	Formula rank 3	Theoretical mass	Mass error	Formula score	Databases	Formula rank 4	Theoretical mass	Mass error	Formula score	Databases	Formula rank 5	Theoretical mass	Mass error	Formula score	Databases	Formula rank 6	Theoretical mass	Mass error	Formula score	Databases	Formula rank 7	Theoretical mass	Mass error	Formula score	Databases	Formula rank 8	Theoretical mass	Mass error	Formula score	Databases	Formula rank 9	Theoretical mass	Mass error	Formula score	Databases	Formula rank 10	Theoretical mass	Mass error	Formula score	Databases	
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_107.msp	challenge_107	challenge107	0	33	491.140626272	[M+FA-H]-	C19H26O12	446.142426272	2.5E-06	3.707	HMDB,KNApSAcK,FooDB,NANPDB,UNPD,BLEXP,COCONUT,MINE	C12H37ClFN2O4PSSi2	446.142274254	-0.0001495	2.904		C13H35ClN4O3SSi3	446.14261925	0.0001955	2.896		C12H35N4O4PSSi3	446.14244282	1.91E-05	2.883		C15H31ClN4O5S2	446.142439772	1.6E-05	2.883		C13H37ClFN2O3PS2Si	446.142504104	8.04E-05	2.88		C14H34F4O3S2Si2	446.142402888	-2.08E-05	2.875		C12H35ClN4O4Si4	446.1423894	-3.43E-05	2.874		C14H37ClO7P2S	446.142375464	-4.83E-05	2.874		C10H31ClF3N6O2PSi2	446.142526262	0.0001025	2.87		
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_108.msp	challenge_108	challenge108	0	16	485.219426136	[M+FA-H]-	C27H28N4O2	440.221226136	2.5E-06	3.184	KNApSAcK,ChEBI,UNPD,BLEXP,NPA,COCONUT	C14H35F2N4O7P	440.22114253	-8.11E-05	2.801		C9H36N12OSi4	440.221209892	-1.37E-05	2.791		C11H38N8O4P2S	440.221195956	-2.76E-05	2.791		C16H41FN2O4S3	440.221249012	2.54E-05	2.791		C19H36N6S2Si	440.221213682	-9.9E-06	2.791		C10H38ClFN10SSi2	440.221271176	4.76E-05	2.79		C13H35F3N6O3SSi	440.22127117	4.76E-05	2.79		C19H42Cl2N2OSi2	440.221272384	4.88E-05	2.79		C15H41FN2O5S2Si	440.221019162	-0.0002044	2.783		
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_109.msp	challenge_109	challenge109	0	14	377.181703236	[M+FA-H]-	C16H28O7	332.183503236	2.5E-06	3.505	HMDB,KNApSAcK,ChEBI,FooDB,NANPDB,LipidMAPS,Urine,Serum,UNPD,BLEXP,NPA,COCONUT,MINE	C12H24F4N4O2	332.183538888	3.82E-05	2.557		C10H21FN10O2	332.183298132	-0.0002026	2.538		C11H33ClN4OSSi	332.183286886	-0.0002138	2.521		C11H25N8O2P	332.18380867	0.000308	2.512		C10H33N4O2PSSi	332.183110456	-0.0003902	2.485		C17H25FN4Si	332.18325155	-0.0002491	2.472		C14H30F2O4S	332.18328688	-0.0002138	2.458		C13H28F3N2O2P	332.184049426	0.0005487	2.418		C15H32O4Si2	332.183912564	0.0004119	2.4		
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_11.msp	challenge_11	challenge11	0	13	185.06080356	[M-H]-	C12H10O2	186.06807956	-5E-07	5.033	HMDB,KNApSAcK,ChEBI,DrugBank,FooDB,NANPDB,STOFF,PubChem,PlantCyc,UNPD,BLEXP,NPA,COCONUT,MINE	C3H12FN4O2P	186.068190474	0.0001105	3.994		C4H14N2O4S	186.067427928	-0.0006521	3.808		C4H10N6OSi	186.06853547	0.0004555	2.901		C4H12ClFN4O	186.068366904	0.0002869	2.46		C9H12F2Si	186.067633354	-0.0004467	2.405		C5H10N6S	186.06876532	0.0006853	2.291		C6H13F3OSi	186.068776226	0.0006962	2.285		C7H11ClN4	186.067224032	-0.000856	2.193		C7H13F3S	186.069006076	0.0009261	2.151		
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_110.msp	challenge_110	challenge110	0	24	827.443456792	[M+FA-H]-	C41H66O14	782.445256792	2.5E-06	4.085	HMDB,KNApSAcK,ChEBI,FooDB,NANPDB,UNPD,BLEXP,COCONUT,MINE	C24H67F3N12O7P2Si	782.445226934	-2.73E-05	3.171		C29H70F4N6O7S2Si	782.44527999	2.57E-05	3.171		C30H68F2N6O11Si2	782.445266496	1.23E-05	3.171		C27H71ClN10O8Si3	782.445266502	1.23E-05	3.171		C32H76F2N2O8S4	782.445257832	3.6E-06	3.171		C33H71F2N4O8P3	782.445281562	2.73E-05	3.171		C33H74N2O12S2Si	782.445244338	-9.9E-06	3.171		C37H71ClN4O7S2	782.445270292	1.6E-05	3.171		C16H60ClN24O8P	782.44520919	-4.51E-05	3.17		
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_111.msp	challenge_111	challenge111	0	40	395.23291882	[M+H]+	C24H30N2O3	394.22564282	5E-07	4.08	KNApSAcK,ChEBI,DrugBank,SMPDB,STOFF,UNPD,BLEXP,COCONUT,MINE	C15H32FN6O3P	394.225753734	0.0001114	3.16		C16H31F5N2O3	394.225483952	-0.0001584	3.154		C15H38N4O2SSi2	394.225400516	-0.0002419	3.137		C16H32ClFN6O2	394.225930164	0.0002878	3.125		C15H40FN2O2PS2	394.22528537	-0.000357	3.104		C9H34N10O3S2	394.225676948	3.46E-05	3.099		C14H28F2N8O3	394.225243196	-0.0003992	3.089		C16H30N8O2Si	394.22609873	0.0004564	3.067		C14H38N4O3Si3	394.225170666	-0.0004717	3.061		
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_112.msp	challenge_112	challenge112	0	132	333.206035376	[M+H]+	C20H28O4	332.198759376	5E-07	4.103	HMDB,KNApSAcK,ChEBI,SMPDB,FooDB,NANPDB,BMDB,LipidMAPS,Serum,PubChem,PlantCyc,UNPD,BLEXP,NPA,COCONUT,MINE	C11H30FN4O4P	332.19887029	0.0001114	3.131		C12H36N2O2S2Si	332.198746922	-1.2E-05	3.111		C10H26F2N6O4	332.198359752	-0.0003992	3.06		C12H28N6O3Si	332.199215286	0.0004564	3.038		C10H30F2N6SSi	332.19899893	0.00024	2.974		C12H32N2O6S	332.198107744	-0.0006512	2.952		C12H34N2O4P2	332.199380828	0.0006219	2.949		C8H29ClN10S	332.198589608	-0.0001693	2.936		C17H30F2O2Si	332.19831317	-0.0004458	2.921		
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_113.msp	challenge_113	challenge113	0	12	741.32453242	[M+Na]+	C41H50O11	718.33531242	7E-07	3.236	UNPD,BLEXP,COCONUT	C29H64BrFN4O4SSi2	718.335420908	0.0001092	2.743		C25H55BrN14O2Si2	718.33543216	0.0001204	2.742		C28H64BrFN4O5Si3	718.335191058	-0.0001207	2.742		C16H57BrFN18O2PSi2	718.335543074	0.0002314	2.723		C27H66BrF3N4OS2Si2	718.335204552	-0.0001072	2.716		C15H53BrF2N20O2Si2	718.335032536	-0.0002792	2.711		C27H68BrFN4O2Si5	718.335600386	0.0002887	2.708		C27H58BrF3N8O2Si2	718.335672916	0.0003612	2.686		C18H62N10O9S4Si	718.335334094	2.24E-05	2.679		
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_114.msp	challenge_114	challenge114	0	17	325.234929568	[M+Na]+	C17H34O4	302.245709568	7E-07	3.321	HMDB,KNApSAcK,ChEBI,FooDB,STOFF,BMDB,LipidMAPS,PubChem,UNPD,BLEXP,NPA,COCONUT,MINE	C16H38OSi2	302.246118896	0.00041	2.754	BLEXP	C17H38SSi	302.246348746	0.0006399	2.015																																					
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_115.msp	challenge_115	challenge115	0	32	313.04843988	[M-H]-	C5H11FN8O5S	314.055714672	-1.7E-06	2.821		C5H16F6N2O2S2	314.055739072	2.27E-05	2.821		C6H23ClN2O4S2Si	314.055703426	-1.29E-05	2.821		C6H23N2O4PS3	314.055756846	4.05E-05	2.82		C12H15FN2O3SSi	314.05566809	-4.82E-05	2.82		C13H15FN2O2S2	314.05589794	0.0001816	2.805		C7H23ClN2O3S3	314.055933276	0.0002169	2.798		C7H14F4N2O5S	314.055955428	0.0002391	2.793		C13H15O7P	314.05553945	-0.0001769	2.761	MINE	C6H14F4N2O6Si	314.055725578	9.2E-06	2.744		
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_116.msp	challenge_116	challenge116	0	33	145.076024256	[M+H]+	C9H8N2	144.068748256	5E-07	3.971	HMDB,KNApSAcK,ChEBI,DrugBank,FooDB,UNPD,BLEXP,NPA,COCONUT,MINE																																														
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_117.msp	challenge_117	challenge117	0	111	488.89677362	[M+H]+	C20H10Br2O5	487.88949762	5E-07	3.328	BLEXP,COCONUT	C5H20BrClFN2O6PS2Si2	487.88948605	-1.11E-05	3.04		C8H15BrClN6O2PSSi3	487.88945072	-4.64E-05	3.033		C10H17BrCl3N2O5PSi	487.889329944	-0.0001672	3.02		C6H20BrClFN2O5PS3Si	487.8897159	0.0002187	3.016		C4H8BrF2N8O7PSSi	487.889497296	1E-07	3.013		C8H17BrCl2FN4O2PSSi2	487.889282154	-0.000215	3.011		C12H18Br2N2O3S2Si	487.889485166	-1.2E-05	3.01		C11H12BrF2N2O5PSSi2	487.889450714	-4.65E-05	3.009		C11H17BrCl3N2O4PS	487.889559794	6.26E-05	3.008		
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_118.msp	challenge_118	challenge118	0	32	524.280499856	[M+Na]+	C29H43NO4S	501.291279856	7E-07	3.619	BLEXP,MINE	C20H45ClFN5O4Si	501.29133735	5.82E-05	2.911		C20H45FN5O4PS	501.29139077	0.0001116	2.907		C19H45FN5O5PSi	501.29116092	-0.0001182	2.906		C18H45F2N7OSSi2	501.29128956	1.04E-05	2.877		C14H47N9O4S3	501.291313984	3.48E-05	2.876		C18H55N3OSSi5	501.29121703	-6.21E-05	2.872		C17H45F2N7O2Si3	501.29105971	-0.0002194	2.871		C11H41F2N13O3SSi	501.291336142	5.7E-05	2.869		C21H45ClFN5O3S	501.2915672	0.000288	2.869		
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_119.msp	challenge_119	challenge119	0	18	469.090698904	[M+Cl]-	C21H22O10	434.121296904	-7E-07	3.859	HMDB,KNApSAcK,ChEBI,YMDB,FooDB,NANPDB,LipidMAPS,Urine,Serum,PubChem,PlantCyc,UNPD,BLEXP,NPA,COCONUT,MINE	C17H27ClN4O3S2	434.121310404	1.28E-05	3.288	ChEBI	C21H27BrN2O3	434.120504824	-0.0007928	3.018	ChEBI	C12H32F2N2O4S4	434.121297944	3E-07	2.786		C13H30N2O8S2Si	434.12128445	-1.32E-05	2.786		C17H18F4N4O5	434.121332556	3.49E-05	2.785		C11H26ClF3N4O6S	434.121367892	7.02E-05	2.784		C12H24FN4O10P	434.121407818	0.0001102	2.78		C10H24F2N6O7Si2	434.121306608	9E-06	2.778		C11H36FO6PS2Si2	434.121348782	5.11E-05	2.777		
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_12.msp	challenge_12	challenge12	0	15	723.396112676	[M+FA-H]-	C37H58O11	678.397912676	2.5E-06	3.149	KNApSAcK,ChEBI,NANPDB,UNPD,COCONUT,MINE	C20H59F3N12O4P2Si	678.397882818	-2.73E-05	2.582		C23H63ClN10O5Si3	678.397922386	1.23E-05	2.582		C24H59FN12O3S3	678.397924968	1.48E-05	2.582		C25H62F4N6O4S2Si	678.397935874	2.57E-05	2.582		C30H57ClF2N8O3Si	678.397948334	3.82E-05	2.581		C23H63N10O5PSSi2	678.397975806	6.57E-05	2.58		C19H56ClN18O3PSi	678.397818492	-9.16E-05	2.578		C23H53ClF2N14O5	678.397994916	8.48E-05	2.578		C30H57F2N8O3PS	678.398001754	9.16E-05	2.578		
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_120.msp	challenge_120	challenge120	0	55	537.197747224	[M+FA-H]-	C25H32O10	492.199547224	2.5E-06	3.712	HMDB,KNApSAcK,ChEBI,FooDB,UNPD,NPA,COCONUT,MINE	C17H40N2O8S2Si	492.19953477	-9.9E-06	2.924		C16H34FN4O10P	492.199658138	0.0001135	2.923		C10H36N8O10S2	492.199581352	3.67E-05	2.92		C14H34F2N6O7Si2	492.199556928	1.23E-05	2.918		C14H36F3N4O7PS	492.199441782	-0.0001029	2.918		C15H36ClF3N4O6S	492.199618212	7.35E-05	2.908		C13H33ClN10O6S	492.199377456	-0.0001672	2.901		C16H40N2O9SSi2	492.19930492	-0.0002398	2.899		C21H28F4N4O5	492.199582876	3.82E-05	2.899		
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_121.msp	challenge_121	challenge121	0	24	429.227164744	[M+H]+	C25H32O6	428.219888744	5E-07	3.75	HMDB,KNApSAcK,ChEBI,FooDB,NANPDB,PubChem,UNPD,NPA,COCONUT,MINE	C17H40N2O4S2Si	428.21987629	-1.2E-05	2.902		C10H36N8O6S2	428.219922872	3.46E-05	2.901		C14H36F3N4O3PS	428.219783302	-0.000105	2.897		C15H36ClF3N4O2S	428.219959732	7.14E-05	2.895		C14H34F2N6O3Si2	428.219898448	1.02E-05	2.889		C13H33ClN10O2S	428.219718976	-0.0001693	2.884		C15H44N2O2SSi4	428.220055768	0.0001675	2.884		C16H34FN4O6P	428.219999658	0.0001114	2.883		C16H40N2O5SSi2	428.21964644	-0.0002419	2.873		
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_122.msp	challenge_122	challenge122	0	9	657.397303436	[M+Na]+	C36H58O9	634.408083436	7E-07	3.488	HMDB,KNApSAcK,ChEBI,FooDB,NANPDB,Urine,Serum,PubChem,PlantCyc,UNPD,BLEXP,NPA,COCONUT,MINE	C25H60F2N6O6Si2	634.40809314	1.04E-05	2.455		C28H66N2O7S2Si	634.408070982	-1.18E-05	2.455		C27H60FN4O9P	634.40819435	0.0001116	2.449		C24H59ClN10O5S	634.407913668	-0.0001691	2.441		C34H60F2O6S	634.40786708	-0.0002157	2.432		C29H66N2O6S3	634.408300832	0.0002181	2.431		C26H60F2N6O5SSi	634.40832299	0.0002403	2.427		C27H66N2O8SSi2	634.407841132	-0.0002416	2.426		C30H69ClO5P2Si	634.407802778	-0.00028	2.417		
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_123.msp	challenge_123	challenge123	0	35	944.521345528	[M+NH4]+	C47H74O18	926.487515528	-4.4E-06	3.562	HMDB,KNApSAcK,ChEBI,FooDB,NANPDB,UNPD,BLEXP,COCONUT	C21H76F2N24O2S6	926.487540112	2.01E-05	2.987		C25H68F4N22O5P2S	926.487510416	-9.6E-06	2.987		C25H85F3N14O4S7	926.48752886	8.9E-06	2.987		C22H74N24O6S4Si	926.487526618	6.6E-06	2.987		C22H79F5N18O3S5Si	926.487551018	3.1E-05	2.987		C26H72F2N22O3S2Si3	926.487502194	-1.78E-05	2.987		C26H83FN14O8S5Si	926.487515366	-4.6E-06	2.987		C26H74BrClF2N22O3S	926.487491448	-2.85E-05	2.987		C19H68F2N28O5S2Si2	926.487548776	2.88E-05	2.987		
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_124.msp	challenge_124	challenge124	0	136	620.321798304	[M+NH4]+	C36H42O8	602.287968304	-4.4E-06	3.56	UNPD,COCONUT	C17H52F2N8O3S2Si3	602.287965554	-7.2E-06	3.124		C20H58N4O4S4Si2	602.287943396	-2.94E-05	3.124		C18H54ClF3N6O2S3Si	602.288026838	5.41E-05	3.123		C21H60ClFN2O3S5	602.28800468	3.19E-05	3.123		C19H52ClFN6O6SSi2	602.288013344	4.06E-05	3.123		C18H64FN2O2PS4Si3	602.288007728	3.5E-05	3.12		C19H52FN6O6PS2Si	602.288066764	9.4E-05	3.12		C18H54F3N6O2PS4	602.288080258	0.0001075	3.118		C17H54F3N6O3PS3Si	602.287850408	-0.0001223	3.117		
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_125.msp	challenge_125	challenge125	0	25	955.454418704	[M-H]-	C47H72O20	956.461694704	-5E-07	3.813	HMDB,KNApSAcK,FooDB,Urine,Serum,UNPD,BLEXP,COCONUT,MINE	C27H93N8O9PS7Si	956.461736716	4.16E-05	2.952		C29H101ClN4O6S10	956.461674632	-2.05E-05	2.944		C34H97N2O7PS7Si2	956.461690134	-5E-06	2.944		C37H93BrN4O5S2Si5	956.461708826	1.37E-05	2.944		C31H91F2N6O6PS5Si3	956.461712292	1.71E-05	2.944		C34H93F3N2O5P2SSi7	956.461738706	4.35E-05	2.943		C31H91ClF2N6O6S4Si4	956.461658872	-3.63E-05	2.943		C25H93FN10O6S7Si3	956.461635506	-5.97E-05	2.942		C26H95F2N8O5PS9	956.46175021	5.51E-05	2.942		
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_126.msp	challenge_126	challenge126	0	21	253.144533184	[M-H]-	C14H22O4	254.151809184	-5E-07	4.038	KNApSAcK,ChEBI,NANPDB,UNPD,BLEXP,NPA,COCONUT,MINE	C11H24F2O2Si	254.151362978	-0.0004467	3.022		C6H22N6O3Si	254.152265094	0.0004555	2.958		C7H22N6O2S	254.152494944	0.0006853	2.848		C9H23ClN4O2	254.150953656	-0.000856	2.78		C12H24F2OS	254.151592828	-0.0002168	2.659		C13H26OSi2	254.152218512	0.0004089	2.602		C5H16F2N10	254.152746952	0.0009373	2.516		C14H26SSi	254.152448362	0.0006387	1.936							
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_127.msp	challenge_127	challenge127	0	93	389.087806156	[M-H]-	C19H18O9	390.095082156	-5E-07	4.053	HMDB,KNApSAcK,NANPDB,LipidMAPS,PubChem,PlantCyc,UNPD,BLEXP,NPA,COCONUT,MINE	C19H23BrN2O2	390.094290076	-0.0007925	3.316	COCONUT	C11H26N2O7S2Si	390.095069702	-1.29E-05	3.169		C9H22ClF3N4O5S	390.095153144	7.05E-05	3.153		C10H20FN4O9P	390.09519307	0.0001105	3.153		C12H26N2O6S3	390.095299552	0.0002169	3.146		C8H22F3N4O6PS	390.094976714	-0.0001059	3.144		C15H14F4N4O4	390.095117808	3.52E-05	3.142		C9H30N2O5SSi4	390.09524918	0.0001666	3.141		C8H20F2N6O6Si2	390.09509186	9.3E-06	3.14		
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_129.msp	challenge_129	challenge129	0	38	173.047440158	[M+H]+	C7H9ClN2O	172.040340588	0.0001769	3.238	KNApSAcK,ChEBI,UNPD,BLEXP,NPA,COCONUT,MINE	C6H9N2O2P	172.040164158	5E-07	2.935	STOFF,BLEXP	C4H12O5S	172.040544484	0.0003808	2.331		C2H6F2N4O3	172.040796492	0.0006328	2.206		C5H5FN4O2	172.03965362	-0.0005101	2.174		C5H13FOS2	172.039185256	-0.0009784	2.112		C2H7F3N4Si	172.039207414	-0.0009563	1.943																	
