File path	File name	Title	MS1 count	MSMS count	PRECURSORMZ	PRECURSORTYPE	Structure rank 1	Total score	Databases	Formula	Ontology	InChIKey	SMILES	Structure rank 2	Total score	Databases	Formula	Ontology	InChIKey	SMILES	Structure rank 3	Total score	Databases	Formula	Ontology	InChIKey	SMILES	Structure rank 4	Total score	Databases	Formula	Ontology	InChIKey	SMILES	Structure rank 5	Total score	Databases	Formula	Ontology	InChIKey	SMILES	Structure rank 6	Total score	Databases	Formula	Ontology	InChIKey	SMILES	Structure rank 7	Total score	Databases	Formula	Ontology	InChIKey	SMILES	Structure rank 8	Total score	Databases	Formula	Ontology	InChIKey	SMILES	Structure rank 9	Total score	Databases	Formula	Ontology	InChIKey	SMILES	Structure rank 10	Total score	Databases	Formula	Ontology	InChIKey	SMILES	
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_145.msp	challenge_145	challenge145	0	27	581.187576464	[M+FA-H]-	361608	5.9854	Database ID=361608,UNPD=UNPD106542,COCONUT=CNP0216882	C26H32O12	Lignan glycosides	SDMZUDFGXDYAQB-UHFFFAOYSA-N	O=C1OCC(CC2=CC=C(O)C(OC)=C2)C1(O)CC3=CC(OC)=C(O)C(=C3)C4OC(CO)C(O)C(O)C4O	446438	5.9839	Database ID=446438,UNPD=UNPD229620,COCONUT=CNP0404061	C26H32O12	Lignan glycosides	JVEJEOJOFBJWSQ-UHFFFAOYSA-N	O=C1OCC(C(OC2OC(CO)C(O)C(O)C2O)C3=CC=C(O)C(OC)=C3)C1CC4=CC=C(O)C(OC)=C4	389919	5.9598	Database ID=389919,UNPD=UNPD142281;UNPD228013,COCONUT=CNP0226997	C26H32O12	Lignan glycosides	YAVQULWQXQRTKS-UHFFFAOYSA-N	O=C1OCC(CC2=CC=C(O)C(OC)=C2)C1(OC3OC(CO)C(O)C(O)C3O)CC4=CC=C(O)C(OC)=C4	467535	5.9494	Database ID=467535,UNPD=UNPD57183,COCONUT=CNP0301135	C26H32O12	Lignan glycosides	ITTBAZPFKIZCOW-UHFFFAOYSA-N	O=C1OCC(CC2=CC=C(OC3OC(CO)C(O)C(O)C3O)C(OC)=C2)C1(O)CC4=CC=C(O)C(OC)=C4	457739	5.9482	Database ID=457739,KNApSAcK=C00029826,ChEBI=CHEBI:65494,UNPD=UNPD40774,COCONUT=CNP0165237	C26H32O12	Flavonoid O-glycosides	SWUYIHFWXBMJBL-UHFFFAOYSA-N	O=C(C1=CC=C(O)C(OC)=C1)CC(O)C=2C=C(C=CCO)C=C(OC)C2OC3OC(CO)C(O)C(O)C3O	23832	5.9482	Database ID=23832,KNApSAcK=C00029826,ChEBI=CHEBI:65494,UNPD=UNPD40774,COCONUT=CNP0165237	C26H32O12	Flavonoid O-glycosides	SWUYIHFWXBMJBL-FZIOHWLZSA-N	O=C(C1=CC=C(O)C(OC)=C1)CC(O)C=2C=C(C=CCO)C=C(OC)C2OC3OC(CO)C(O)C(O)C3O	420888	5.9461	Database ID=420888,KNApSAcK=C00000629,UNPD=UNPD186097;UNPD84825;UNPD91529,COCONUT=CNP0145459	C26H32O12	Lignan glycosides	VXYKGOAXVHSLDD-UHFFFAOYSA-N	O=C1OCC(CC2=CC=C(O)C(OC)=C2)C1(O)CC3=CC=C(OC4OC(CO)C(O)C(O)C4O)C(OC)=C3	549019	5.9461	Database ID=549020,KNApSAcK=C00000629,UNPD=UNPD186097;UNPD84825;UNPD91529,COCONUT=CNP0145459	C26H32O12	Lignan glycosides	VXYKGOAXVHSLDD-QUPZAGOASA-N	O=C1OCC(CC2=CC=C(O)C(OC)=C2)C1(O)CC3=CC=C(OC4OC(CO)C(O)C(O)C4O)C(OC)=C3	379682	5.9007	Database ID=379682,UNPD=UNPD12893,COCONUT=CNP0259405	C26H32O12	Lignan glycosides	OCNGPRUKMVNWJN-UHFFFAOYSA-N	O=C1OCC(CC2=CC=C(OC)C(OC)=C2)C1(O)CC3=CC=C(OC4OC(CO)C(O)C(O)C4O)C(O)=C3	373062	5.8971	Database ID=373062,KNApSAcK=C00049594,UNPD=UNPD120607,COCONUT=CNP0109399	C26H32O12	Iridoid O-glycosides	UYZNVVOAAXRBNY-UHFFFAOYSA-N	O=C(O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C3C1CC(OC(=O)C=CC4=CC=C(OC)C=C4)C3C	
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_146.msp	challenge_146	challenge146	0	108	349.200949996	[M+H]+	480881	6.9481	Database ID=480881,UNPD=UNPD80964,COCONUT=CNP0247538	C20H28O5	Fatty acid esters	AOVKJVGRGBTGCG-UHFFFAOYSA-N	O=C1OC2CC(C)C3C(=CC2C1=C)C(O)(C)CC3OC(=O)CC(C)C	542125	6.9464	Database ID=542126	C20H28O5		IHDNCMDRDAONNT-KEXFQHAZSA-N	O=C1OC(CCC1=CCCC(=CC2C(=O)C(=CC2O)C)C)C(O)(C)C	543757	6.9464	Database ID=543758	C20H28O5		IHDNCMDRDAONNT-FEYAHQNISA-N	O=C1OC(CCC1=CCCC(=CC2C(=O)C(=CC2O)C)C)C(O)(C)C	450082	6.9431	Database ID=450082,UNPD=UNPD27822,COCONUT=CNP0113410	C20H28O5	Eremophilane, 8,9-secoeremophilane and furoeremophilane sesquiterpenoids	IBFTZQWTJRSFIF-UHFFFAOYSA-N	O=C(OC1CCC2CC=3OC=C(C3C(O)C2(C)C1CO)C)C(=CC)C	381414	6.9318	Database ID=381414,UNPD=UNPD131179,COCONUT=CNP0365928	C20H28O5	Diterpene lactones	JFWCSQODZHRDLG-UHFFFAOYSA-N	O=C1OCC(=C1)CCC2(C)C(C)CC(O)C3(C(=O)O)C(=CCCC32)C	452186	6.9268	Database ID=452186,KNApSAcK=C00035057,UNPD=UNPD31233,COCONUT=CNP0144813	C20H28O5	Diterpene lactones	RVXNORLERZFOTB-UHFFFAOYSA-N	O=C1OCC(C=CC2(C)C3CCC=C(C)C3(C)C(O)C(O)C2(O)C)=C1	307335	6.9251	Database ID=307335,NANPDB=NANPDB_90,UNPD=UNPD206073;UNPD220480,COCONUT=CNP0230460	C20H28O5	Macrolides and analogues	QJIDMGCCWQEXAG-SSRFXYBJSA-N	O=C1OC2C=C(C)CCC3OC3(C)CCC(OO)C(=C)CCC2=C1C	432179	6.9251	Database ID=432179,NANPDB=NANPDB_90,UNPD=UNPD206073;UNPD220480,COCONUT=CNP0230460	C20H28O5	Macrolides and analogues	QJIDMGCCWQEXAG-UHFFFAOYSA-N	O=C1OC2C=C(C)CCC3OC3(C)CCC(OO)C(=C)CCC2=C1C	77098	6.9215	Database ID=77098,UNPD=UNPD10967;UNPD39615;UNPD62196,COCONUT=CNP0240595	C20H28O5	Diterpene lactones	HDHVLYXLWIMGEO-UHFFFAOYSA-N	O=C1OCC23C1=CCCC2C(C)(CCC4COC(=O)C4)C(C)C(O)C3	361125	6.9156	Database ID=361125,KNApSAcK=C00020893;C00020959,UNPD=UNPD105951;UNPD108115;UNPD213897,COCONUT=CNP0216008	C20H28O5	Guaianolides and derivatives	LGIHDROQWYPYRA-UHFFFAOYSA-N	O=C(OC1CC2C(=CC3OC(=O)C(C)C3CC2C1(O)C)C)C(=CC)C	
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_147.msp	challenge_147	challenge147	0	60	267.159085184	[M+H]+	333929	7.08	Database ID=333929,NPA=NPA023323,COCONUT=CNP0359020	C15H22O4	Sesquiterpenoids	XTUOMMWRCSZFGR-ILYYPIBPSA-N	O=C(O)C1=CCC2(C)CC(O)C(O)C(C)(C)C32CC13	460609	7.0797	Database ID=460609,UNPD=UNPD45675,COCONUT=CNP0104993	C15H22O4	Eudesmane, isoeudesmane or cycloeudesmane sesquiterpenoids	MNLUMTSGGLOUCH-UHFFFAOYSA-N	O=C(O)C(=C)C1C=C2C(C)C(O)C(O)CC2(C)CC1	389233	7.0417	Database ID=389233,UNPD=UNPD141371,COCONUT=CNP0267691	C15H22O4	Eudesmane, isoeudesmane or cycloeudesmane sesquiterpenoids	CSRJSWYSGFYNOF-UHFFFAOYSA-N	O=C(O)C(=C)C1C=C2C(C)C(O)CC(O)C2(C)CC1	500913	7.0264	Database ID=500913,KNApSAcK=C00020263,COCONUT=CNP0423024	C15H22O4	Naphthofurans	ACCHXZDTUKFBEE-UHFFFAOYSA-N	O=C1OCC2(O)C1=CCC3C(C)(C)C(O)CCC32C	325001	7.0189	Database ID=325001,NPA=NPA013759,COCONUT=CNP0259273	C15H22O4	Naphthofurans	HITOUNKZPBQZSA-MVIRXUPPSA-N	O=C1OCC2C1=CC(O)C3C(C)(C)C(O)CCC23C	384849	7.0145	Database ID=384849,UNPD=UNPD135583;UNPD27649,COCONUT=CNP0245447	C15H22O4	Naphthofurans	WQBRGPAKTOXTFK-UHFFFAOYSA-N	O=C1OC2C(=CCC3(C)CCC(O)C(O)(C)C23)C1C	409542	7.011	Database ID=409542,UNPD=UNPD169420,COCONUT=CNP0145781	C15H22O4	Terpene lactones	QJXNUAMCHIIBHU-UHFFFAOYSA-N	O=C1OC(O)C(=C1CC2C(C(=C)C)CCC2(O)C)C	379526	7.0014	Database ID=379526,KNApSAcK=C00043345,UNPD=UNPD128738,COCONUT=CNP0278519	C15H22O4	Eremophilane, 8,9-secoeremophilane and furoeremophilane sesquiterpenoids	LISPNEILPNWOAY-UHFFFAOYSA-N	O=C(O)C(=C)C1CC=C2C(O)CC(O)C(C)C2(C)C1	451763	6.9908	Database ID=451763,KNApSAcK=C00020264,UNPD=UNPD30526;UNPD35129,COCONUT=CNP0372750	C15H22O4	Naphthofurans	KGNKJLSLHCPWOB-UHFFFAOYSA-N	O=C1OCC2C1=CCC3C(C)(CO)C(O)CCC23C	372681	6.9793	Database ID=372681,UNPD=UNPD120139,COCONUT=CNP0211429	C15H22O4	Eudesmane, isoeudesmane or cycloeudesmane sesquiterpenoids	FLFLTGYDHAHKPY-UHFFFAOYSA-N	O=C(O)C(=C)C1C=C2C(C)CCC(O)C2(C)C(O)C1	
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_148.msp	challenge_148	challenge148	0	10	353.20469206	[M+Na]+	543391	5.2677	Database ID=543392	C16H30N2O5		KMSCXNAPFWQQKD-UHFFFAOYSA-N	O=C(O)CC(NC(=O)CC(O)CCCCCCC(C)C)C(=O)N	258836	4.7245	Database ID=258836	C16H30N2O5		IFOHXRVAXASLQG-UHFFFAOYSA-N	O=C([O-])CC(OC(=O)CCCCCC(=O)C(N)C)C[N+](C)(C)C																																																									
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_149.msp	challenge_149	challenge149	0	36	542.259591972	[M+NH4]+	442605	6.396	Database ID=442605,UNPD=UNPD223599,COCONUT=CNP0201106	C26H36O11	Fatty acyl glycosides of mono- and disaccharides	CBGLETFGTARBGG-UHFFFAOYSA-N	O=C(OCC1OC(OC(C)CCC2C(=CC(=O)CC2(C)C)C)C(O)C(O)C1O)C3=CC(O)=C(O)C(O)=C3	457103	6.3764	Database ID=457103,UNPD=UNPD39726,COCONUT=CNP0107795	C26H36O11	O-glycosyl compounds	HDOOJQQREVNVBO-UHFFFAOYSA-N	OCCCC1=CC(OC)=C2OC(C=3C=CC(O)C(OC)C3)C(C2=C1)COC4OC(CO)C(O)C(O)C4O	391604	6.3351	Database ID=391604,UNPD=UNPD144539,COCONUT=CNP0272348	C26H36O11	O-glycosyl compounds	BTFARVSAIRGHHU-UHFFFAOYSA-N	OCCCC1=CC(OC)=C2OC(C=3C=CC(OC4OC(CO)C(O)C(O)C4O)C(OC)C3)C(C2=C1)CO	442776	6.283	Database ID=442776,UNPD=UNPD223813,COCONUT=CNP0158788	C26H36O11	Terpene lactones	IAVCBCAEHSFASQ-UHFFFAOYSA-N	O=C1OC(O)C=C1CC2C(C(=O)C)C(OC(=O)C)C(OC(=O)C)C3(O)C(C)(C)CCC(OC(=O)C)C23C	435053	6.2807	Database ID=435053,UNPD=UNPD207289;UNPD212140,COCONUT=CNP0232818	C26H36O11	Pentacarboxylic acids and derivatives	YVBPAIJJCGOWEG-UHFFFAOYSA-N	O=COC1C2OC2(C)C(OC(=O)C)CC=C(C)C(OC(=O)C)CC=C(C)CC(OC(=O)C)C1CC(=O)O	447078	6.2803	Database ID=447078,UNPD=UNPD230470,COCONUT=CNP0116230	C26H36O11	Diterpene glycosides	QCICFWMKPMFFSZ-UHFFFAOYSA-N	O=C1C=2C=C(C(O)=C(O)C2C3(C)CCCC(C(=O)OC4OC(CO)C(O)C(O)C4O)(C)C3C1)CC(O)C	387381	6.24	Database ID=387381,UNPD=UNPD138939;UNPD221669,COCONUT=CNP0112077	C26H36O11	Naphthofurans	OXWMFXBPLWSUMS-UHFFFAOYSA-N	O=C1OC2(O)C(=C1)C(O)(C)C3C(OC(=O)C)C(OC(=O)C)C4(O)C(C)(C)CCC(OC(=O)C)C4(C)C3C2	378347	6.2352	Database ID=378347,UNPD=UNPD127226,COCONUT=CNP0170530	C26H36O11	Diterpene lactones	SERDASPZBFBYJK-UHFFFAOYSA-N	O=C(OCC1=CC2OC(=O)C(C)C2(O)C(O)C3C4(OC4CC(OC(=O)C)C3(C)C(OC(=O)C)CC1)C)C	410463	6.2305	Database ID=410463,KNApSAcK=C00011837,UNPD=UNPD170744;UNPD184019,COCONUT=CNP0216083	C26H36O11	Germacranolides and derivatives	OQBDEQQBLOQXJR-UHFFFAOYSA-N	O=C(OC)C1=CCCC(=CC2OC(=O)C(=C)C2C(OC(=O)C(O)(C)C(O)C)C1OC(=O)C(C)C(O)C)C	363034	6.2222	Database ID=363034,KNApSAcK=C00043735,UNPD=UNPD108252;UNPD198508,COCONUT=CNP0234786	C26H36O11	Diterpene lactones	DAQFCFWHOOSGGR-UHFFFAOYSA-N	O=C(OC1CC(=O)C(O)(C)C2C(OC(=O)C)C3(O)C(OC(=O)C3C)C=C(C)CCC(OC(=O)C)C12C)C	
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_15.msp	challenge_15	challenge15	0	21	233.117220372	[M+H]+	317810	6.1286	Database ID=317810,NPA=NPA005949,COCONUT=CNP0339341	C14H16O3	Pyranones and derivatives	SXVWISLKTAUXGO-ZAJAATJQSA-N	O=C1OC(C=CC=CC=CC)=C(C(OC)=C1)C	378467	6.0156	Database ID=378467,KNApSAcK=C00043129,UNPD=UNPD127372,COCONUT=CNP0193684	C14H16O3	Isocoumarins and derivatives	JVPBEOSSMYEDID-UHFFFAOYSA-N	O=C1OC(=CC=2C=CC=CC12)CC(OC)CC	332373	6.0147	Database ID=332373,NPA=NPA021753,COCONUT=CNP0073522	C14H16O3	Aryl ketones	QDYWUYCKJOIUJH-AWEZNQCLSA-N	O=C1C=CC(C=2OC(=C(C(=O)C12)C)C)(C)CC	405833	5.988	Database ID=405833,UNPD=UNPD164134;UNPD186510;UNPD83982,COCONUT=CNP0380047	C14H16O3	Fatty aldehydes	QMRUCWGOZVOSBO-UHFFFAOYSA-N	O=CCCC=CC(O)C(O)C#CC#CC=CC	322900	5.98	Database ID=322900,UNPD=UNPD186392;UNPD85977,NPA=NPA011483,COCONUT=CNP0145157	C14H16O3	Pyranones and derivatives	QMMMQWRPZIJGPT-UHFFFAOYSA-N	O=C1C=2C=CC(=O)C(C2OC(=C1C)C)(C)CC	426945	5.98	Database ID=426945,UNPD=UNPD195190,COCONUT=CNP0148764	C14H16O3	Azaphilones	OTLNUMPEFWCDSV-UHFFFAOYSA-N	O=C1C=C2C(=COC(=C2C)C)C(=O)C1(C)CC	380500	5.9678	Database ID=380500,UNPD=UNPD129988,COCONUT=CNP0200703	C14H16O3	Heteroaromatic compounds	YIVXUDBTOBDAFL-UHFFFAOYSA-N	O1C=CC(=C1)C2OC(C)(CC=3OC=CC3)CC2	466001	5.9264	Database ID=466001,UNPD=UNPD54663,COCONUT=CNP0190651	C14H16O3	Cycloheptafurans	SFPKISXSVJMNSW-UHFFFAOYSA-N	O=C1C2=COC=C2CCC34OC14CC(C)(C)C3	317741	5.8769	Database ID=317741,UNPD=UNPD26837,NPA=NPA005869,COCONUT=CNP0257099	C14H16O3	Hydroxybenzaldehydes	SJPNUSKWVFQENW-XOPXCKKHSA-N	O=CC=1C(O)=CC=CC1C=CC(C=CC)CO	449472	5.8769	Database ID=449472,UNPD=UNPD26837,NPA=NPA005869,COCONUT=CNP0257099	C14H16O3	Hydroxybenzaldehydes	SJPNUSKWVFQENW-UHFFFAOYSA-N	O=CC=1C(O)=CC=CC1C=CC(C=CC)CO	
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_150.msp	challenge_150	challenge150	0	17	399.275213	[M-H]-	442247	6.9137	Database ID=442247,UNPD=UNPD223164,COCONUT=CNP0140721	C22H40O6	Tricarboxylic acids and derivatives	FLVBOVQKMCPBFE-UHFFFAOYSA-N	O=C(OC(C(OC(=O)C(C)C)C(=O)O)C(C)C)CCCCCCCCCCC	39279	6.7573	Database ID=39279	C22H40O6		KJJAFBMXGHHGNJ-NRFANRHFSA-N	O=C(OCC(OC(=O)C)COC(=O)CCCCCCCCCCCCCC)C	31752	6.6633	Database ID=31752,ChEBI=CHEBI:78965,COCONUT=CNP0083151	C22H40O6	Long-chain fatty acids	PHSQDXKUQRUWOG-PXMSNCRXSA-N	O=C(O)C=CCCCCCCCCCCCC(OC1OC(C)C(O)CC1O)C	31889	6.6633	Database ID=31889,ChEBI=CHEBI:79149,COCONUT=CNP0112884	C22H40O6	Long-chain fatty acids	BEKLYIAFACFFDO-UPBMBJRSSA-N	O=C(O)C=CCCCCCCCCCCCCCOC1OC(C)C(O)CC1O	483177	5.9986	Database ID=483177,UNPD=UNPD85055,COCONUT=CNP0321305	C22H40O6	Sesquiterpenoids	CWPPKIPNSISLIX-UHFFFAOYSA-N	OCC(O)C(O)C(O)C(O)COCC=C(C)CCC1=C(C)CCC(C)C1(C)C																																				
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_151.msp	challenge_151	challenge151	0	24	127.07535556	[M+H]+	439197	7.8879	Database ID=439197,UNPD=UNPD218519,COCONUT=CNP0369589	C7H10O2	Cyclohexenones	MALAYAJHKSTTNE-UHFFFAOYSA-N	O=C1C=CCCC1(O)C	100365	7.8689	Database ID=100365,HMDB=HMDB0033629,FooDB=FDB006151;FDB011723,UNPD=UNPD36849,COCONUT=CNP0288961	C7H10O2	Cyclohexenones	YYSUJSRMFRKVGC-UHFFFAOYSA-N	O=C1C=CC(O)(C)CC1	327252	7.8539	Database ID=327252,KNApSAcK=C00047172,UNPD=UNPD26541,NPA=NPA016187,COCONUT=CNP0114089	C7H10O2	Cyclohexenones	NLVFVKDQCUAOQA-WDSKDSINSA-N	O=C1C=CC(O)CC1C	449309	7.8539	Database ID=449309,KNApSAcK=C00047172,UNPD=UNPD26541,NPA=NPA016187,COCONUT=CNP0114089	C7H10O2	Cyclohexenones	NLVFVKDQCUAOQA-UHFFFAOYSA-N	O=C1C=CC(O)CC1C	465512	7.7816	Database ID=465512,UNPD=UNPD53856,COCONUT=CNP0284446	C7H10O2	Cyclic ketones	CVBNEZQOINGLSS-UHFFFAOYSA-N	O=C1C(O)=CC(C1)CC	369482	7.7192	Database ID=369482,UNPD=UNPD116054,COCONUT=CNP0318056	C7H10O2	Cyclic ketones	GXUQPCUHTNAVRJ-UHFFFAOYSA-N	O=C1C(O)=C(C)C(C)C1	433248	7.7156	Database ID=433248,UNPD=UNPD208406,COCONUT=CNP0246608	C7H10O2	Fatty alcohols	XDOQWPZVKOEVJN-UHFFFAOYSA-N	O=CC=CC=C(C)CO	370995	7.7108	Database ID=370995,UNPD=UNPD118054,COCONUT=CNP0306768	C7H10O2	Cyclic ketones	RLEJFFGSMZQXJX-UHFFFAOYSA-N	O=C1C(O)=C(C)CC1C	166326	7.694	Database ID=166326,HMDB=HMDB0031223,FooDB=FDB003247,UNPD=UNPD13636,COCONUT=CNP0259371	C7H10O2	Cyclic ketones	JHWFWLUAUPZUCP-UHFFFAOYSA-N	O=C1C(O)=C(CC)CC1	87657	7.6896	Database ID=87657,KNApSAcK=C00000336,ChEBI=CHEBI:29565,BLEXP=BLEXPDB00000069470,COCONUT=CNP0146896	C7H10O2	Carboxylic acids	NMEZJSDUZQOPFE-UHFFFAOYSA-N	O=C(O)C1=CCCCC1	
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_152.msp	challenge_152	challenge152	0	60	228.232190548	[M+H]+	417598	6.9246	Database ID=417598,KNApSAcK=C00045990,UNPD=UNPD181219,COCONUT=CNP0214968	C14H29NO	1,2-aminoalcohols	APIMNRBWCSRKIX-UHFFFAOYSA-N	OC(CC=CCCCCCCCC)C(N)C	358573	6.829	Database ID=358573,UNPD=UNPD102995,COCONUT=CNP0203668	C14H29NO	1,2-aminoalcohols	BVWZJMSWYIKRNF-UHFFFAOYSA-N	OC(CCCCCCCC=CCC)C(N)C	389917	6.8196	Database ID=389917,KNApSAcK=C00045988,LipidMAPS=LMSP01080034,UNPD=UNPD14228,COCONUT=CNP0268996	C14H29NO	1,2-aminoalcohols	KLWPMNOQFSPVII-UHFFFAOYSA-N	OC(CCCCCCCCCC=C)C(N)C	509038	6.4614	Database ID=509038,STOFF=STOFF_9464	C14H29NO	N-acyl amines	BDYUSDIJIDGWCY-UHFFFAOYSA-N	O=C(N(C)C)CCCCCCCCCCC	536659	6.4467	Database ID=536659	C14H29NO		KAXVRMIUQJXONY-UHFFFAOYSA-N	O1CCN(CC1)CCCCCCCCCC	75330	6.446	Database ID=75330	C14H29NO		OHQIZJDDHUJWRP-UHFFFAOYSA-N	O=C(N)C(C)(C)CCCCCCCCCC	81942	6.3781	Database ID=81942,BLEXP=BLEXPDB00004150392,COCONUT=CNP0001305	C14H29NO	N-acyl amines	FEQGPEABBFYLNO-UHFFFAOYSA-N	O=C(NCC)CCCCCCCCCCC	472853	6.3767	Database ID=472853,UNPD=UNPD66438,COCONUT=CNP0308804	C14H29NO	N-acyl amines	JIOJLCAPGHFHDI-UHFFFAOYSA-N	O=C(NCC(C)C)CCCCCCCCC	39722	6.2458	Database ID=39722,UNPD=UNPD122086,BLEXP=BLEXPDB00000069492,COCONUT=CNP0178369	C14H29NO	Fatty amides	QEALYLRSRQDCRA-UHFFFAOYSA-N	O=C(N)CCCCCCCCCCCCC								
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_153.msp	challenge_153	challenge153	0	14	335.174309376	[M+Cl]-	542114	5.9772	Database ID=542115	C15H28N2O4		LZOJNMQMOSTOHX-UHFFFAOYSA-N	O=C(O)CC(NC(=O)CCCCCCCC(C)C)C(=O)N	555503	5.971	Database ID=555504	C15H28N2O4		XTEZFKMYWPYZSV-UHFFFAOYSA-N	O=C(N)CC(NC(=O)CCCCCCCCCC)C(=O)O	315558	5.9653	Database ID=315558,NPA=NPA003504,COCONUT=CNP0352001	C15H28N2O4	Asparagine and derivatives	KYWXBZYPCBPDQH-UHFFFAOYSA-N	O=C(N)CC(NC(=O)CCCCCCCC(C)C)C(=O)O	555486	5.7291	Database ID=555487	C15H28N2O4		MZUBOXLGCNTCGH-UHFFFAOYSA-N	O=C(N)CCC(NC(=O)CCCCCCCCC)C(=O)O	533728	5.629	Database ID=533728	C15H28N2O4		LIWIVVWMLYSOFS-UHFFFAOYSA-N	O=C(OC(C)(C)C)N1CCC(CC1)C(N)CC(=O)OCC																																				
D:\DeepMASS2_Data_Processing\Example\CASMI\msfinder\challenge_154.msp	challenge_154	challenge154	0	23	963.472567592	[M+Cl]-	363527	6.608	Database ID=363527,UNPD=UNPD108851,COCONUT=CNP0248650	C47H76O18	Triterpenoids	FBWRBDAJTPMJKR-UHFFFAOYSA-N	O=C(O)C12CCC(C)(C)CC2C3=CCC4C5(C)CCC(OC6OCC(OC7OC(CO)C(O)C(O)C7OC8OC(CO)C(O)C(O)C8O)C(O)C6O)C(C)(CO)C5CCC4(C)C3(C)CC1	459550	6.608	Database ID=459550,UNPD=UNPD43793,COCONUT=CNP0105848	C47H76O18	Triterpenoids	VBLLFNXBZCUOKG-UHFFFAOYSA-N	O=C(O)C12CCC(C)(C)CC2C3=CCC4C5(C)CCC(OC6OCC(O)C(O)C6OC7OC(CO)C(OC8OC(CO)C(O)C(O)C8O)C(O)C7O)C(C)(CO)C5CCC4(C)C3(C)CC1	476137	6.608	Database ID=476137,UNPD=UNPD72053,COCONUT=CNP0313494	C47H76O18	Triterpenoids	HVDALZNSCWBZAF-UHFFFAOYSA-N	O=C(O)C12CCC(C)(C)CC2C3=CCC4C5(C)CCC(OC6OCC(O)C(OC7OC(CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C7O)C6O)C(C)(CO)C5CCC4(C)C3(C)CC1	502413	6.608	Database ID=502413,KNApSAcK=C00031755,COCONUT=CNP0426737	C47H76O18	Triterpenoids	YTQAPMVQQALREL-UHFFFAOYSA-N	O=C(O)C12CCC(C)(C)CC2C3=CCC4C5(C)CCC(OC6OCC(O)C(O)C6OC7OC(CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C7O)C(C)(CO)C5CCC4(C)C3(C)CC1	59135	6.6041	Database ID=59135,UNPD=UNPD106635;UNPD12002;UNPD120700;UNPD40993;UNPD60127;UNPD67597,BLEXP=BLEXPDB00014284432,COCONUT=CNP0103092	C47H76O18	Triterpene saponins	CCRXMHCQWYVXTE-UHFFFAOYSA-N	O=C(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)C34CCC(C)(C)CC4C5=CCC6C7(C)CCC(OC8OCC(O)C(O)C8O)C(C)(CO)C7CCC6(C)C5(C)CC3	380888	6.5914	Database ID=380888,UNPD=UNPD130495;UNPD160404;UNPD213129,COCONUT=CNP0312139	C47H76O18	Triterpenoids	BAJDJSKSKSAJNI-UHFFFAOYSA-N	O=C(O)C12CCC(C)(C)CC2C3=CCC4C5(C)CCC(OC6OCC(O)C(OC7OC(CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C7O)C6O)C(C)(C)C5CCC4(C)C3(C)CC1O	350864	6.5823	Database ID=350864,UNPD=UNPD214660,COCONUT=CNP0157763	C47H76O18	Triterpene saponins	MADZMXIFUWFDJK-UHFFFAOYSA-N	O=C(O)C1OC(OC2CCC3(C)C(CCC4(C)C3CC=C5C6CC(C)(C)CC(O)C6(C)CCC54C)C2(C)CO)C(OC7OC(CO)C(O)C(O)C7OC8OCC(O)C(O)C8O)C(O)C1O	348942	6.567	Database ID=348942,UNPD=UNPD58340,COCONUT=CNP0230248	C47H76O18	Triterpenoids	YLGANLNQTUGMCH-UHFFFAOYSA-N	O=C(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)C34CCC(C)(C)C(O)C4C5=CCC6C7(C)CCC(OC8OCC(O)C(O)C8O)C(C)(C)C7CCC6(C)C5(C)CC3	464229	6.5667	Database ID=464229,UNPD=UNPD51741,COCONUT=CNP0129566	C47H76O18	Triterpenoids	XJYVXYVCCLMPFI-UHFFFAOYSA-N	O=C(O)C12CCC(C)(C)CC2C3=CCC4C5(C)CC(O)C(OC6OCC(OC7OC(CO)C(O)C(O)C7O)C(O)C6OC8OC(C)C(O)C(O)C8O)C(C)(CO)C5CCC4(C)C3(C)CC1	470964	6.5647	Database ID=470964,UNPD=UNPD63163,COCONUT=CNP0164728	C47H76O18	Triterpene saponins	YGWHQUWKQJVIKL-UHFFFAOYSA-N	O=C(O)C1OC(OC2CCC3(C)C(CCC4(C)C3CC=C5C6CC(C)(C)C(O)C(O)C6(C)CCC54C)C2(C)CO)C(OC7OCC(O)C(O)C7OC8OC(C)C(O)C(O)C8O)C(O)C1O	
