confidenceRank	structurePerIdRank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id	featureId
11	1	1	1	1	0.6111145990372361	-23.431338307946014	N/A	41.29105512469039	C22H22O8	[M + H]+	YJGVMLPVUAXIQN	InChI=1S/C22H22O8/c1-25-16-4-10(5-17(26-2)21(16)27-3)18-11-6-14-15(30-9-29-14)7-12(11)20(23)13-8-28-22(24)19(13)18/h4-7,13,18-20,23H,8-9H2,1-3H3	Condylox	COC1=CC(=CC(=C1OC)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)O	2.67267656	4865;10607;1549055;72435;105111;443013;7241904;5289185;6560202;6603968;6610290;6713258;6992058;9844665;12309630;12309632;10001823;10949711;11047943;11189174;11892032;11384429;16757887;42105884;44278883;54511257;54511258;58668020;59566132;59678040;59477004;71730582;71730583;71730584;70892013;70963379;92459999;89813206;101216382;122173190;133645837;132285176;135028493;138107780	HMDB:(15310 31452);SuperNatural:(SN00294736 SN00003190 SN00304106 SN00005951 SN00002194 SN00228296 SN00005704 SN00007002 SN00308960);ZINC bio:(ZINC01532026 ZINC02572657 ZINC03861806 ZINC03874715 ZINC04098919 ZINC04098920 ZINC04475321);additional;HSDB:(518-28-5);MeSH:(10607 72435 105111 443013);Plantcyc:(CPD-18758 CPD-8959);PubMed;NORMAN:(NS00009071);COCONUT:(CNP0213414);KNApSAcK:(610);Natural Products:(UNPD178173 UNPD76983 UNPD52338 UNPD144625 UNPD5174 UNPD100744 UNPD22316 UNPD139072);database;PubChem:(4865 10607 1549055 72435 105111 443013 7241904 5289185 6560202 6603968 6610290 6713258 6992058 9844665 12309630 12309632 10001823 10949711 11047943 11189174 11892032 11384429 16757887 42105884 44278883 54511257 54511258 58668020 59566132 59678040 59477004 71730582 71730583 71730584 70892013 70963379 92459999 89813206 101216382 122173190 133645837 132285176 135028493 138107780);CHEBI:(75251 50305 125371 94679);PubChem class - bio and metabolites;KEGG:(C10871 C10874);PubChem class - safety and toxic;Training Set;PubChem class - drug;Biocyc:(CPD-18758 CPD-8959)	68841040766	415.13874366399995	NaN	21_challenge_120_	N/A
12	1	1	1	1	0.5614558659654844	-53.25133934887405	N/A	100.46123288416454	C30H42O7	[M + H]+	NISPVUDLMHQFRQ	InChI=1S/C30H42O7/c1-25(2,36)12-11-21(33)30(8,37)23-19(32)14-27(5)20-10-9-16-17(13-18(31)24(35)26(16,3)4)29(20,7)22(34)15-28(23,27)6/h9,11-13,17,19-20,23,31-32,36-37H,10,14-15H2,1-8H3	Neuro_000053	CC1(C2=CCC3C4(CC(C(C4(CC(=O)C3(C2C=C(C1=O)O)C)C)C(C)(C(=O)C=CC(C)(C)O)O)O)C)C	2.70000005	2888;3246697;5281321;5352059;5353548;6712967;10255912;10414126;11972255;11972634;16677981;16760379;17750994;21159505;23615652;25245009;23975062;24721411;44559728;44119890;49769402;53298349;58747349;125037473;125037474;125037475;125039412;125039415;125125099;125125100;129607089;133612478;132201211;137324027;137324028;137324029;138107616;137706116	SuperNatural:(SN00269308 SN00259080 SN00327843 SN00295910 SN00156969);additional;MeSH:(5281321);PubMed;COCONUT:(CNP0242459 CNP0407089);KNApSAcK:(3689);Natural Products:(UNPD165272 UNPD82686 UNPD212257 UNPD46299 UNPD40706 UNPD184755 UNPD210646);database;PubChem:(2888 3246697 5281321 5352059 5353548 6712967 10255912 10414126 11972255 11972634 16677981 16760379 17750994 21159505 23615652 25245009 23975062 24721411 44559728 44119890 49769402 53298349 58747349 125037473 125037474 125037475 125039412 125039415 125125099 125125100 129607089 133612478 132201211 137324027 137324028 137324029 138107616 137706116);CHEBI:(3947);PubChem class - bio and metabolites;KEGG:(C08800);PubChem class - safety and toxic;Training Set;Biocyc:(CPD-5303)	68807084406	515.300329684	NaN	137_challenge_77_	N/A
13	1	1	1	1	0.5389319858385235	-54.32641575344706	N/A	8.586498900257386	C20H16O4	[M + H]+	PWAACAMQKVIVPZ	InChI=1S/C20H16O4/c1-20(2)8-7-13-9-12(3-6-17(13)24-20)16-11-23-18-10-14(21)4-5-15(18)19(16)22/h3-11,21H,1-2H3	3-(2,2-dimethylchromen-6-yl)-7-hydroxychromen-4-one	CC1(C=CC2=C(O1)C=CC(=C2)C3=COC4=C(C3=O)C=CC(=C4)O)C	3.70000005	5316097	COCONUT:(CNP0227402);KNApSAcK:(9430);Natural Products:(UNPD124030);database;PubChem:(5316097);SuperNatural:(SN00158373);additional;MeSH:(5316097);Training Set;PubMed	68723195990	321.112134992	NaN	17_challenge_116_	N/A
14	1	1	1	1	0.5328763647868676	-15.701242955880158	N/A	37.74418147453415	C6H11NO2S	[M + H]+	ZFAHNWWNDFHPOH	InChI=1S/C6H11NO2S/c1-2-3-10-4-5(7)6(8)9/h2,5H,1,3-4,7H2,(H,8,9)	S-Allylcysteine	C=CCSCC(C(=O)O)N	-2.0999999	98280;9793905;10313252;25202793;36689185;40424388;71309045;129634399	HMDB:(34323);PubChem class - food;SuperNatural:(SN00002380 SN00156665);ZINC bio:(ZINC01621720 ZINC02517162);additional;MeSH:(98280 9793905 40424388);Plantcyc:(CPD-9298);PubMed;COCONUT:(CNP0206886);KNApSAcK:(37771);Natural Products:(UNPD179567);database;PubChem:(98280 9793905 10313252 25202793 36689185 40424388 71309045 129634399);CHEBI:(74077 133648);PubChem class - bio and metabolites;KEGG:(C16759);PubChem class - safety and toxic;Training Set;Biocyc:(CPD-9298)	68941441406	162.058325592	NaN	88_challenge_224_	N/A
15	1	1	1	1	0.5239622432943988	-43.65776165395261	N/A	37.368420548165844	C30H28O8	[M + H]+	DEZFNHCVIZBHBI	InChI=1S/C30H28O8/c1-15-24(33)19(27(36)22(16(2)31)25(15)34)14-20-26(35)18-12-13-30(3,4)38-29(18)23(28(20)37)21(32)11-10-17-8-6-5-7-9-17/h5-13,33-37H,14H2,1-4H3	Kamalin	CC1=C(C(=C(C(=C1O)C(=O)C)O)CC2=C(C(=C3C(=C2O)C=CC(O3)(C)C)C(=O)C=CC4=CC=CC=C4)O)O	5.9000001	5103;5281847;6603986	SuperNatural:(SN00005970);ZINC bio:(ZINC03874886);additional;MeSH:(5281847);PubMed;NORMAN:(NS00015852);COCONUT:(CNP0409597);KNApSAcK:(2708);Natural Products:(UNPD192174 UNPD226362);database;PubChem:(5103 5281847 6603986);CHEBI:(92065 8899);PubChem class - bio and metabolites;KEGG:(C10721);PubChem class - safety and toxic;Training Set	68807352694	517.185693856	NaN	104_challenge_26_	N/A
16	1	1	1	1	0.5221204858846847	-111.71408843618167	N/A	17.85196132271099	C22H20N2O4	[M + H]+	MYQKIWCVEPUPIL	InChI=1S/C22H20N2O4/c1-3-12-13-7-5-6-8-17(13)23-19-14(12)10-24-18(19)9-16-15(20(24)25)11-28-21(26)22(16,27)4-2/h5-9,27H,3-4,10-11H2,1-2H3	7-Ethylcamptothecin	CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)C4(CC)O)C2=NC5=CC=CC=C51	1.79999995	127584;9810521;29979715;46781532;133688336	COCONUT:(CNP0079200);MeSH:(127584);database;PubChem class - safety and toxic;PubChem:(127584 9810521 29979715 46781532 133688336);PubMed	68788682822	377.14958312	NaN	12_challenge_11_	N/A
17	1	1	1	1	0.5026783469725703	-11.2341003568691	N/A	44.382781531776246	C12H12O5	[M + H]+	RAYQKHLZHPFYEJ	InChI=1S/C12H12O5/c1-14-8-6-7-4-5-9(13)17-10(7)12(16-3)11(8)15-2/h4-6H,1-3H3	Spectrum_000635	COC1=C(C(=C2C(=C1)C=CC(=O)O2)OC)OC	1.79999995	3083928	SuperNatural:(SN00002988);ZINC bio:(ZINC02516970);additional;MeSH:(3083928);PubMed;COCONUT:(CNP0384025);KNApSAcK:(32667);Natural Products:(UNPD100922);database;PubChem:(3083928);CHEBI:(93172);Training Set;KEGG Mine	77313138806	237.075749484	NaN	55_challenge_167_	N/A
18	1	1	1	1	0.49864049098371194	-2.871799463416336	N/A	18.941898994916876	C19H19N7O6	[M + H]+	OVBPIULPVIDEAO	InChI=1S/C19H19N7O6/c20-19-25-15-14(17(30)26-19)23-11(8-22-15)7-21-10-3-1-9(2-4-10)16(29)24-12(18(31)32)5-6-13(27)28/h1-4,8,12,21H,5-7H2,(H,24,29)(H,27,28)(H,31,32)(H3,20,22,25,26,30)	Aspol-d4	C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)N=C(N3)N	-1.10000002	6037;27950350;123348524;135525391;135583309;135754449;135761165;135789976;135839347;137061590;136174279;136691436;136691437;136219942;136219943;136219944;135961628;135961629;137125836;136238531;137162749;137239049;135398658;135405876;135444779;135493622	HMDB:(121);PubChem class - food;ZINC bio:(ZINC08577218 ZINC18456289 ZINC18456291);additional;HSDB:(59-30-3);MeSH:(135398658);Plantcyc:(CPD-12826 FOLATE);PubMed;NORMAN:(NS00007261);COCONUT:(CNP0172497 CNP0188219 CNP0324599 CNP0416315);KNApSAcK:(1539);Natural Products:(UNPD11430);database;PubChem:(6037 27950350 123348524 135525391 135583309 135754449 135761165 135789976 135839347 137061590 136174279 136691436 136691437 136219942 136219943 136219944 135961628 135961629 137125836 136238531 137162749 137239049 135398658 135405876 135444779 135493622);CHEBI:(62501 27470);PubChem class - bio and metabolites;KEGG:(C00504);PubChem class - safety and toxic;Training Set;PubChem class - drug;Biocyc:(CPD-12826 FOLATE)	68974209918	442.1469573280001	NaN	130_challenge_69_	N/A
19	1	1	1	1	0.48540794799996806	-58.00697699933437	N/A	51.09543703285053	C28H48O6	[M + H]+	GIHKVCBPOTYEGP	InChI=1S/C28H48O6/c1-14(13-29)15(2)25(33)26(34)16(3)18-6-7-19-17-10-22(30)21-11-23(31)24(32)12-28(21,5)20(17)8-9-27(18,19)4/h14-21,23-26,29,31-34H,6-13H2,1-5H3	26-hydroxycastasterone	CC(CO)C(C)C(C(C(C)C1CCC2C1(CCC3C2CC(=O)C4C3(CC(C(C4)O)O)C)C)O)O	3.5	21631973;46926212;56928128;101408509	COCONUT:(CNP0181060);database;PubChem:(21631973 46926212 56928128 101408509);CHEBI:(133216);PubChem class - bio and metabolites;KEGG:(C19873);Plantcyc:(CPD-12500);PubMed;Biocyc:(CPD-12500)	68738484578	481.35236525599987	NaN	102_challenge_248_	N/A
20	1	1	1	1	0.4551756253462057	-14.111857612829017	N/A	42.897852270952	C47H51NO14	[M + H]+	RCINICONZNJXQF	InChI=1S/C47H51NO14/c1-25-31(60-43(56)36(52)35(28-16-10-7-11-17-28)48-41(54)29-18-12-8-13-19-29)23-47(57)40(61-42(55)30-20-14-9-15-21-30)38-45(6,32(51)22-33-46(38,24-58-33)62-27(3)50)39(53)37(59-26(2)49)34(25)44(47,4)5/h7-21,31-33,35-38,40,51-52,57H,22-24H2,1-6H3,(H,48,54)	Onxal-d5	CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C	3.86634517	4666;36314;60915;177409;184492;441276;5317123;5321715;5352019;5388972;5460441;6604028;6604616;6604814;10509787;6713921;6915727;10748131;9832549;9854162;9875988;9897470;11506104;10010804;10033513;10079295;14060298;14060299;14060302;14060304;14060306;14060309;11061883;10191144;10219162;10259998;11828953;10373368;11320430;11354895;15983941;10440621;10485732;11434421;16742549;16757828;16760177;16760674;17999760;17999772;17999773;17999778;17999987;21733096;22524843;23636632;23307219;23307242;23307253;23307913;23412627;21458255;25191011;25200067;24207713;24754091;24791027;24848897;24867246;42599845;42600097;42600098;42600099;42613129;42620039;45489039;44155032;44276363;44279927;44291178;44328863;44335735;44342632;44356895;44356961;44378736;46782671;46782672;44403716;49849846;49868078;54259297;54259298;54259299;53298534;53313247;57489669;60005248;60011010;60123436;60123443;60147315;59042813;59048611;58596717;58777027;57908851;58798493;58803237;57946364;58877402;57999380;59844545;59873251;59904698;59914794;59919147;58460861;66795656;67532653;71751427;71096818;70801836;70842048;71209844;70848451;70856170;73707502;73759704;73759783;70943371;70960599;76973439;76973782;76973783;90057663;91122402;89493063;89847578;91885464;101598423;101920282;102371253;118528174;121459571;122361554;124747271;124747272;124747273;124747274;124893098;126761000;126968948;129395998;133109996;132517454;129627423;131707644;133640187;133686962;133686963;131864322;134715514;134368714;134972678;139025352;138106885;137705323	HMDB:(15360);additional;HSDB:(33069-62-4);MeSH:(4666 36314 184492 441276 6713921 16760674 24791027 44155032 73759704 91885464 133640187);Plantcyc:(CPD-8718);PubMed;NORMAN:(NS00003967);COCONUT:(CNP0379287);KNApSAcK:(2365);database;PubChem:(4666 36314 60915 177409 184492 441276 5317123 5321715 5352019 5388972 5460441 6604028 6604616 6604814 10509787 6713921 6915727 10748131 9832549 9854162 9875988 9897470 11506104 10010804 10033513 10079295 14060298 14060299 14060302 14060304 14060306 14060309 11061883 10191144 10219162 10259998 11828953 10373368 11320430 11354895 15983941 10440621 10485732 11434421 16742549 16757828 16760177 16760674 17999760 17999772 17999773 17999778 17999987 21733096 22524843 23636632 23307219 23307242 23307253 23307913 23412627 21458255 25191011 25200067 24207713 24754091 24791027 24848897 24867246 42599845 42600097 42600098 42600099 42613129 42620039 45489039 44155032 44276363 44279927 44291178 44328863 44335735 44342632 44356895 44356961 44378736 46782671 46782672 44403716 49849846 49868078 54259297 54259298 54259299 53298534 53313247 57489669 60005248 60011010 60123436 60123443 60147315 59042813 59048611 58596717 58777027 57908851 58798493 58803237 57946364 58877402 57999380 59844545 59873251 59904698 59914794 59919147 58460861 66795656 67532653 71751427 71096818 70801836 70842048 71209844 70848451 70856170 73707502 73759704 73759783 70943371 70960599 76973439 76973782 76973783 90057663 91122402 89493063 89847578 91885464 101598423 101920282 102371253 118528174 121459571 122361554 124747271 124747272 124747273 124747274 124893098 126761000 126968948 129395998 133109996 132517454 129627423 131707644 133640187 133686962 133686963 131864322 134715514 134368714 134972678 139025352 138106885 137705323);CHEBI:(91594 45863);PubChem class - bio and metabolites;KEGG:(C07394);PubChem class - safety and toxic;Training Set;PubChem class - drug;Biocyc:(CPD-8718)	68839951230	854.3382313120003	NaN	153_challenge_95_	N/A
21	1	1	1	1	0.45309607880351965	-18.258489152272663	N/A	55.91644450853661	C18H19NO2	[M + H]+	YXVXMURDCBMPRH	InChI=1S/C18H19NO2/c1-19-8-7-12-10-15(21-2)18(20)17-13-6-4-3-5-11(13)9-14(19)16(12)17/h3-6,10,14,20H,7-9H2,1-2H3	Lirinidine	CN1CCC2=CC(=C(C3=C2C1CC4=CC=CC=C43)O)OC	3.44008493	31069;821343;286866;6947016;6947017	COCONUT:(CNP0064001 CNP0221950);KNApSAcK:(41045);Natural Products:(UNPD35743 UNPD30328);database;PubChem:(31069 821343 286866 6947016 6947017);SuperNatural:(SN00399567 SN00325883 SN00155219 SN00155220);ZINC bio:(ZINC00338130 ZINC00338132);MeSH:(31069);PubChem class - safety and toxic;Training Set;PubMed;KEGG Mine	77379723350	282.14885484800004	NaN	45_challenge_158_	N/A
22	1	1	1	1	0.4525753200008831	-46.06265997288282	N/A	32.93828765772317	C16H14O5	[M + H]+	QTAGQHZOLRFCBU	InChI=1S/C16H14O5/c1-16(2)13(21-16)8-19-15-9-3-4-14(17)20-12(9)7-11-10(15)5-6-18-11/h3-7,13H,8H2,1-2H3	Oxypeucedanin	CC1(C(O1)COC2=C3C=CC(=O)OC3=CC4=C2C=CO4)C	2.5999999	33306;160544;928465	HMDB:(30622);SuperNatural:(SN00155844 SN00001580);ZINC bio:(ZINC00518643 ZINC00518644);additional;MeSH:(33306 160544);PubMed;COCONUT:(CNP0096403 CNP0282547);KNApSAcK:(2490);Natural Products:(UNPD33110 UNPD120863);database;PubChem:(33306 160544 928465);CHEBI:(70473 69830);PubChem class - bio and metabolites;KEGG:(C09282);PubChem class - safety and toxic;Training Set;PubChem class - drug	68840644990	287.09139954799997	NaN	72_challenge_193_	N/A
23	1	1	1	1	0.44578129456198345	-8.590006002494567	N/A	15.171233125179079	C21H18O11	[M + H]+	JBFOLLJCGUCDQP	InChI=1S/C21H18O11/c22-9-3-1-8(2-4-9)13-7-12(24)15-11(23)5-10(6-14(15)31-13)30-21-18(27)16(25)17(26)19(32-21)20(28)29/h1-7,16-19,21-23,25-27H,(H,28,29)	Apigenin 7-glucuronide	C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O	0.376613319	5319484;5387370;12912213;12912214;11972410;21550869;44257800;44257801;102594484;124511063;124302234;134693084	HMDB:(132462);SuperNatural:(SN00164116 SN00020481 SN00354297 SN00161016 SN00323191 SN00404376 SN00359663);ZINC bio:(ZINC13543704);additional;MeSH:(5319484 12912214);PubMed;COCONUT:(CNP0066076 CNP0397409 CNP0398455);KNApSAcK:(4144);Natural Products:(UNPD106730 UNPD213858 UNPD11774 UNPD21511 UNPD138588);database;PubChem:(5319484 5387370 12912213 12912214 11972410 21550869 44257800 44257801 102594484 124511063 124302234 134693084);PubChem class - bio and metabolites;PubChem class - safety and toxic;KEGG Mine	77397008478	447.09218739599993	NaN	76_challenge_197_	N/A
24	1	1	1	1	0.4401130432246024	-34.858576027602496	N/A	27.791818431264137	C21H20O8	[M + H]+	YVCVYCSAAZQOJI	InChI=1S/C21H20O8/c1-25-15-3-9(4-16(26-2)20(15)23)17-10-5-13-14(29-8-28-13)6-11(10)19(22)12-7-27-21(24)18(12)17/h3-6,12,17-19,22-23H,7-8H2,1-2H3	S2254_Selleck	COC1=CC(=CC(=C1O)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)O	2.26294804	500181;1023634;1023636;122667;122797;377770;377771;456051;6548119;6710769;10001035;13337810;13337812;13337813;13337815;11732117;11327041;25880676;40553892;45033633;44386068;57710522;59566136;59890039;59916780;59997460;68300716;89703267;118701089;122172894;130374697;130374725;131676052;133613141;134692533;139024901	SuperNatural:(SN00395820 SN00036757 SN00006995 SN00013592 SN00036755 SN00019812 SN00036100 SN00003094 SN00013593 SN00014097 SN00036756 SN00001710);ZINC bio:(ZINC00689799 ZINC01318602 ZINC02556364 ZINC04098756 ZINC05670074 ZINC05670075 ZINC06403501 ZINC13298754 ZINC13783532 ZINC13783533 ZINC13783534);additional;MeSH:(122797);Plantcyc:(CPD-18757);PubMed;NORMAN:(NS00035898);COCONUT:(CNP0279340);KNApSAcK:(2595);Natural Products:(UNPD7489 UNPD48930 UNPD149755);database;PubChem:(500181 1023634 1023636 122667 122797 377770 377771 456051 6548119 6710769 10001035 13337810 13337812 13337813 13337815 11732117 11327041 25880676 40553892 45033633 44386068 57710522 59566136 59890039 59916780 59997460 68300716 89703267 118701089 122172894 130374697 130374725 131676052 133613141 134692533 139024901);CHEBI:(74422 1730);PubChem class - bio and metabolites;KEGG:(C21185 C10553);PubChem class - safety and toxic;Training Set;Biocyc:(CPD-18757)	68807485814	401.12309359999995	NaN	26_challenge_128_	N/A
25	1	1	1	1	0.4380194037765729	-79.80418931789475	N/A	6.460313592011919	C14H21N3O5	[M + H]+	WNGSUWLDMZFYNZ	InChI=1S/C14H21N3O5/c1-20-10-7-9(8-11(21-2)12(10)18)13(19)22-6-4-3-5-17-14(15)16/h7-8,18H,3-6H2,1-2H3,(H4,15,16,17)	Leonurine	COC1=CC(=CC(=C1O)OC)C(=O)OCCCCN=C(N)N	1.00236058	161464;21679746	SuperNatural:(SN00250094 SN00020590);ZINC bio:(ZINC05998954 ZINC14444766);additional;MeSH:(161464);PubMed;COCONUT:(CNP0241731 CNP0303256);KNApSAcK:(51237);Natural Products:(UNPD10320);database;PubChem:(161464 21679746);CHEBI:(80843);KEGG:(C16985);PubChem class - safety and toxic;Training Set	68790313334	312.155396772	NaN	95_challenge_235_	N/A
26	1	1	1	1	0.4274237407380135	-6.01665682954285	N/A	28.571645830947695	C25H24O12	[M + H]+	UFCLZKMFXSILNL	InChI=1S/C25H24O12/c26-15-5-1-13(9-17(15)28)3-7-21(31)36-20-12-25(35,24(33)34)11-19(30)23(20)37-22(32)8-4-14-2-6-16(27)18(29)10-14/h1-10,19-20,23,26-30,35H,11-12H2,(H,33,34)	Isochlorogenic acid C	C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O	1.5	153946;460890;3802778;5927076;5281780;5316648;6325421;5459216;6474309;6711966;9892741;10207978;13887344;13887345;13887346;10324242;44306621;60099140;58645079;68103159;89953036;91615458;102170141;118710978;123727332;124157618;129316855;129361406;131708171;134769983;138538320;138538473;137704517	HMDB:(30705 30707);SuperNatural:(SN00020489 SN00363407 SN00159344 SN00308743 SN00253585 SN00390878 SN00379963 SN00160949 SN00006991 SN00291687 SN00241272 SN00290471 SN00300059);ZINC bio:(ZINC04098735 ZINC13556374);additional;MeSH:(153946 3802778 5281780 5927076 6325421 6474309 13887346 129316855);PubMed;COCONUT:(CNP0063832 CNP0242282);KNApSAcK:(29480);Natural Products:(UNPD12489 UNPD64095 UNPD28667 UNPD82523 UNPD158840 UNPD224711 UNPD219670 UNPD111087 UNPD13564 UNPD37789 UNPD73830 UNPD124411 UNPD226773 UNPD230484);database;PubChem:(153946 460890 3802778 5927076 5281780 5316648 6325421 5459216 6474309 6711966 9892741 10207978 13887344 13887345 13887346 10324242 44306621 60099140 58645079 68103159 89953036 91615458 102170141 118710978 123727332 124157618 129316855 129361406 131708171 134769983 138538320 138538473 137704517);CHEBI:(5995 141136);PubChem class - bio and metabolites;KEGG:(C10468);Training Set	68739981694	517.134052208	NaN	46_challenge_159_	N/A
27	1	1	1	1	0.4262568401532984	-25.45101704060949	N/A	25.04740377705878	C15H24N2O2	[M + H]+	XVPBINOPNYFXID	InChI=1S/C15H24N2O2/c18-14-7-1-6-13-12-5-3-9-17(19)8-2-4-11(15(12)17)10-16(13)14/h11-13,15H,1-10H2	Oxymatrine	C1CC2C3CCC[N+]4(C3C(CCC4)CN2C(=O)C1)[O-]	1.0	114850;285670;7061140;7082413;5271986;11860506;11862104;11874615;21586634;21586635;24864132;24867691;71773433;86572672;90661721;124708617;124780974;124780975;124780976;124780977;124081966;129316835;129425772;131676173;138106884;137705180	SuperNatural:(SN00120097 SN00131494 SN00131498 SN00006787 SN00020544 SN00002192 SN00155182 SN00368620 SN00020543 SN00131497 SN00357896 SN00305530);ZINC bio:(ZINC01531936 ZINC01727062 ZINC03881804 ZINC04042223 ZINC05037482 ZINC05085219 ZINC05085220 ZINC13815057 ZINC13815061);additional;HSDB:(16837-52-8);MeSH:(114850 285670 7061140 7082413 11862104 24864132 71773433 86572672 124708617 129316835 137705180);PubMed;NORMAN:(NS00018296);COCONUT:(CNP0334248);KNApSAcK:(7758);Natural Products:(UNPD74004 UNPD109758 UNPD195399 UNPD54845 UNPD199059 UNPD123313 UNPD172208);database;PubChem:(114850 285670 7061140 7082413 5271986 11860506 11862104 11874615 21586634 21586635 24864132 24867691 71773433 86572672 90661721 124708617 124780974 124780975 124780976 124780977 124081966 129316835 129425772 131676173 138106884 137705180);CHEBI:(2672);PubChem class - bio and metabolites;KEGG:(C10749);PubChem class - safety and toxic;Training Set;PubChem class - drug	68840907638	265.191054008	NaN	135_challenge_75_	N/A
28	1	1	1	1	0.42621412513565293	-67.22815766271412	N/A	35.831133563798346	C45H49NO13	[M + H]+	TYLVGQKNNUHXIP	InChI=1S/C45H49NO13/c1-24-29(57-41(54)35(50)33(26-15-9-6-10-16-26)46-39(52)27-17-11-7-12-18-27)22-45(55)38(58-40(53)28-19-13-8-14-20-28)36-43(5,37(51)34(49)32(24)42(45,3)4)30(48)21-31-44(36,23-56-31)59-25(2)47/h6-20,29-31,33-36,38,48-50,55H,21-23H2,1-5H3,(H,46,52)	Ormosin VI	CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)O	3.52515292	155831;3307115;5316382;6325031;6712095;9832326;10079106;10079107;9987966;14355298;14355299;11970038;23307826;25199939;24791029;42613041;44634758;44310403;44310835;44332402;46781114;59112255;57946363;57946366;66509060;71315575;75355030;71449052;101111345;101598413;101598416;101598417;124516875;124518168;122172895;122173219;124937981;124937982;124937983;124937984;126968473;129317597;131699286;131704858;133688024;138107542;137705320;137795566;139473625;139473640	COCONUT:(CNP0349770);KNApSAcK:(38119);database;PubChem:(155831 3307115 5316382 6325031 6712095 9832326 10079106 10079107 9987966 14355298 14355299 11970038 23307826 25199939 24791029 42613041 44634758 44310403 44310835 44332402 46781114 59112255 57946363 57946366 66509060 71315575 75355030 71449052 101111345 101598413 101598416 101598417 124516875 124518168 122172895 122173219 124937981 124937982 124937983 124937984 126968473 129317597 131699286 131704858 133688024 138107542 137705320 137795566 139473625 139473640);SuperNatural:(SN00165310);additional;MeSH:(155831 3307115 9987966 10079106 44634758 66509060 122173219 126968473 129317597 131699286 137795566);PubChem class - safety and toxic;Training Set;PubMed;KEGG Mine	77380206678	812.3276666280002	NaN	111_challenge_38_	N/A
